Locus,Diversity
KIR2DL1,4.589429435263636
KIR2DL2,2.41335371625972
KIR2DL3,2.7362785577472475
KIR2DL4,3.1075907185123515
KIR2DL5A,3.1922802979373635
KIR2DL5B,2.8613520200884945
KIR2DP1,3.645688958904152
KIR2DS1,2.7194356769583066
KIR2DS2,3.381590901889987
KIR2DS3,3.496515788522868
KIR2DS4,2.5506202520941907
KIR2DS5,3.5473435353770966
KIR3DL1,4.364540343724338
KIR3DL2,3.9742932842644976
KIR3DL3,3.9274045531669866
KIR3DP1,4.411281712639134
KIR3DS1,2.9063463254983897
