Locus,Alleles,Frequency
KIR2DL1,KIR2DL1*0010101,0.007063572149344097
KIR2DL1,KIR2DL1*0010102,0.005045408678102927
KIR2DL1,KIR2DL1*0010103,0.006054490413723511
KIR2DL1,KIR2DL1*0010105,0.0010090817356205853
KIR2DL1,KIR2DL1*0010106,0.0005045408678102926
KIR2DL1,KIR2DL1*0010107,0.0005045408678102926
KIR2DL1,KIR2DL1*00102,0.0010090817356205853
KIR2DL1,KIR2DL1*0020101,0.0030272452068617556
KIR2DL1,KIR2DL1*0020102,0.01564076690211907
KIR2DL1,KIR2DL1*0020103,0.005045408678102927
KIR2DL1,KIR2DL1*0020104,0.0015136226034308778
KIR2DL1,KIR2DL1*0020105,0.011099899091826439
KIR2DL1,KIR2DL1*0020106,0.0010090817356205853
KIR2DL1,KIR2DL1*0020107,0.0015136226034308778
KIR2DL1,KIR2DL1*0020108,0.004036326942482341
KIR2DL1,KIR2DL1*0020111,0.0035317860746720484
KIR2DL1,KIR2DL1*0020114,0.006054490413723511
KIR2DL1,KIR2DL1*0020115,0.0010090817356205853
KIR2DL1,KIR2DL1*0020116,0.0010090817356205853
KIR2DL1,KIR2DL1*0020117,0.0010090817356205853
KIR2DL1,KIR2DL1*0020118,0.018163471241170535
KIR2DL1,KIR2DL1*0020120,0.0005045408678102926
KIR2DL1,KIR2DL1*0020121,0.0005045408678102926
KIR2DL1,KIR2DL1*0020122,0.011099899091826439
KIR2DL1,KIR2DL1*0020123,0.025731584258324926
KIR2DL1,KIR2DL1*0020124,0.0005045408678102926
KIR2DL1,KIR2DL1*0020125,0.004540867810292634
KIR2DL1,KIR2DL1*0020126,0.0010090817356205853
KIR2DL1,KIR2DL1*0020127,0.0020181634712411706
KIR2DL1,KIR2DL1*0020128,0.016649848637739658
KIR2DL1,KIR2DL1*0020130,0.0010090817356205853
KIR2DL1,KIR2DL1*0020132,0.0020181634712411706
KIR2DL1,KIR2DL1*0020133,0.0005045408678102926
KIR2DL1,KIR2DL1*0020134,0.0020181634712411706
KIR2DL1,KIR2DL1*0020135,0.0005045408678102926
KIR2DL1,KIR2DL1*0020138,0.0005045408678102926
KIR2DL1,KIR2DL1*0020139,0.0030272452068617556
KIR2DL1,KIR2DL1*0020140,0.006559031281533804
KIR2DL1,KIR2DL1*0020144,0.004036326942482341
KIR2DL1,KIR2DL1*00204,0.0020181634712411706
KIR2DL1,KIR2DL1*0020501,0.0010090817356205853
KIR2DL1,KIR2DL1*0020502,0.0010090817356205853
KIR2DL1,KIR2DL1*0020503,0.008072653884964682
KIR2DL1,KIR2DL1*0030201,0.02875882946518668
KIR2DL1,KIR2DL1*0030203,0.0005045408678102926
KIR2DL1,KIR2DL1*0030204,0.06912209889001009
KIR2DL1,KIR2DL1*0030205,0.05196770938446014
KIR2DL1,KIR2DL1*0030206,0.006559031281533804
KIR2DL1,KIR2DL1*0030207,0.025731584258324926
KIR2DL1,KIR2DL1*0030208,0.0035317860746720484
KIR2DL1,KIR2DL1*0030209,0.004036326942482341
KIR2DL1,KIR2DL1*0030210,0.005045408678102927
KIR2DL1,KIR2DL1*0030211,0.0015136226034308778
KIR2DL1,KIR2DL1*0030212,0.0030272452068617556
KIR2DL1,KIR2DL1*0030213,0.0020181634712411706
KIR2DL1,KIR2DL1*0030214,0.0005045408678102926
KIR2DL1,KIR2DL1*0030217,0.0015136226034308778
KIR2DL1,KIR2DL1*0030218,0.006054490413723511
KIR2DL1,KIR2DL1*0030219,0.013118062563067608
KIR2DL1,KIR2DL1*0030220,0.0035317860746720484
KIR2DL1,KIR2DL1*0030221,0.007063572149344097
KIR2DL1,KIR2DL1*0030222,0.0010090817356205853
KIR2DL1,KIR2DL1*0030223,0.0020181634712411706
KIR2DL1,KIR2DL1*0030224,0.004540867810292634
KIR2DL1,KIR2DL1*0030225,0.0035317860746720484
KIR2DL1,KIR2DL1*0030226,0.0005045408678102926
KIR2DL1,KIR2DL1*0030228,0.0020181634712411706
KIR2DL1,KIR2DL1*0030229,0.0010090817356205853
KIR2DL1,KIR2DL1*0030230,0.004036326942482341
KIR2DL1,KIR2DL1*0030231,0.005045408678102927
KIR2DL1,KIR2DL1*0030232,0.008577194752774974
KIR2DL1,KIR2DL1*0030233,0.0005045408678102926
KIR2DL1,KIR2DL1*0030234,0.0010090817356205853
KIR2DL1,KIR2DL1*0030235,0.0005045408678102926
KIR2DL1,KIR2DL1*0030236,0.011099899091826439
KIR2DL1,KIR2DL1*0030237,0.02320887991927346
KIR2DL1,KIR2DL1*0030239,0.0005045408678102926
KIR2DL1,KIR2DL1*0030241,0.0005045408678102926
KIR2DL1,KIR2DL1*0030242,0.0010090817356205853
KIR2DL1,KIR2DL1*0030243,0.0005045408678102926
KIR2DL1,KIR2DL1*0030244,0.005045408678102927
KIR2DL1,KIR2DL1*0030245,0.03733602421796166
KIR2DL1,KIR2DL1*0030246,0.0025227043390514633
KIR2DL1,KIR2DL1*0030247,0.00958627648839556
KIR2DL1,KIR2DL1*0030248,0.0030272452068617556
KIR2DL1,KIR2DL1*0030249,0.0010090817356205853
KIR2DL1,KIR2DL1*0030250,0.0030272452068617556
KIR2DL1,KIR2DL1*0030253,0.014631685166498487
KIR2DL1,KIR2DL1*0030254,0.0015136226034308778
KIR2DL1,KIR2DL1*0030255,0.0030272452068617556
KIR2DL1,KIR2DL1*0030256,0.0015136226034308778
KIR2DL1,KIR2DL1*0030257,0.0010090817356205853
KIR2DL1,KIR2DL1*0030258,0.0010090817356205853
KIR2DL1,KIR2DL1*0030260,0.0010090817356205853
KIR2DL1,KIR2DL1*0030262,0.0005045408678102926
KIR2DL1,KIR2DL1*0030263,0.0005045408678102926
KIR2DL1,KIR2DL1*0030264,0.0005045408678102926
KIR2DL1,KIR2DL1*0030265,0.012613521695257316
KIR2DL1,KIR2DL1*0030266,0.0005045408678102926
KIR2DL1,KIR2DL1*0030267,0.0005045408678102926
KIR2DL1,KIR2DL1*0030269,0.0015136226034308778
KIR2DL1,KIR2DL1*0030270,0.0025227043390514633
KIR2DL1,KIR2DL1*0030271,0.004036326942482341
KIR2DL1,KIR2DL1*0030273,0.0015136226034308778
KIR2DL1,KIR2DL1*0030276,0.0015136226034308778
KIR2DL1,KIR2DL1*0030279,0.0005045408678102926
KIR2DL1,KIR2DL1*0030280,0.0005045408678102926
KIR2DL1,KIR2DL1*0030282,0.027245206861755803
KIR2DL1,KIR2DL1*0030283,0.0025227043390514633
KIR2DL1,KIR2DL1*0030285,0.008577194752774974
KIR2DL1,KIR2DL1*0030286,0.0035317860746720484
KIR2DL1,KIR2DL1*0030287,0.0015136226034308778
KIR2DL1,KIR2DL1*0030289,0.0005045408678102926
KIR2DL1,KIR2DL1*0030290,0.0010090817356205853
KIR2DL1,KIR2DL1*0030291,0.0015136226034308778
KIR2DL1,KIR2DL1*0030292,0.0025227043390514633
KIR2DL1,KIR2DL1*0030294,0.0005045408678102926
KIR2DL1,KIR2DL1*0030296,0.0020181634712411706
KIR2DL1,KIR2DL1*0030298,0.0010090817356205853
KIR2DL1,KIR2DL1*00303,0.025227043390514632
KIR2DL1,KIR2DL1*00307,0.0005045408678102926
KIR2DL1,KIR2DL1*00313,0.0005045408678102926
KIR2DL1,KIR2DL1*0031402,0.0005045408678102926
KIR2DL1,KIR2DL1*00315,0.0010090817356205853
KIR2DL1,KIR2DL1*0031901,0.0020181634712411706
KIR2DL1,KIR2DL1*0031902,0.0010090817356205853
KIR2DL1,KIR2DL1*0040101,0.04490413723511604
KIR2DL1,KIR2DL1*0040102,0.013622603430877902
KIR2DL1,KIR2DL1*0040103,0.0005045408678102926
KIR2DL1,KIR2DL1*0040105,0.0035317860746720484
KIR2DL1,KIR2DL1*0040106,0.0005045408678102926
KIR2DL1,KIR2DL1*0040107,0.0075681130171543895
KIR2DL1,KIR2DL1*0040108,0.007063572149344097
KIR2DL1,KIR2DL1*0040109,0.008577194752774974
KIR2DL1,KIR2DL1*0040111,0.0010090817356205853
KIR2DL1,KIR2DL1*0040112,0.0005045408678102926
KIR2DL1,KIR2DL1*0040114,0.005045408678102927
KIR2DL1,KIR2DL1*0040115,0.0015136226034308778
KIR2DL1,KIR2DL1*0040116,0.0025227043390514633
KIR2DL1,KIR2DL1*0040117,0.0015136226034308778
KIR2DL1,KIR2DL1*0040118,0.0005045408678102926
KIR2DL1,KIR2DL1*0040120,0.0020181634712411706
KIR2DL1,KIR2DL1*0040123,0.0020181634712411706
KIR2DL1,KIR2DL1*0040124,0.0010090817356205853
KIR2DL1,KIR2DL1*0040125,0.0005045408678102926
KIR2DL1,KIR2DL1*0040126,0.0010090817356205853
KIR2DL1,KIR2DL1*0040132,0.0005045408678102926
KIR2DL1,KIR2DL1*0040133,0.0005045408678102926
KIR2DL1,KIR2DL1*0040134,0.0030272452068617556
KIR2DL1,KIR2DL1*0040201,0.0010090817356205853
KIR2DL1,KIR2DL1*0040202,0.0005045408678102926
KIR2DL1,KIR2DL1*00405,0.0010090817356205853
KIR2DL1,KIR2DL1*00407,0.0015136226034308778
KIR2DL1,KIR2DL1*00408,0.0010090817356205853
KIR2DL1,KIR2DL1*0040901,0.0010090817356205853
KIR2DL1,KIR2DL1*0040904,0.004036326942482341
KIR2DL1,KIR2DL1*0070101,0.0015136226034308778
KIR2DL1,KIR2DL1*0070102,0.004540867810292634
KIR2DL1,KIR2DL1*0070103,0.0025227043390514633
KIR2DL1,KIR2DL1*0070104,0.0005045408678102926
KIR2DL1,KIR2DL1*0070105,0.005549949545913219
KIR2DL1,KIR2DL1*00702,0.0005045408678102926
KIR2DL1,KIR2DL1*0080101,0.0005045408678102926
KIR2DL1,KIR2DL1*0080102,0.0005045408678102926
KIR2DL1,KIR2DL1*010,0.004540867810292634
KIR2DL1,KIR2DL1*01102,0.01160443995963673
KIR2DL1,KIR2DL1*01103,0.005045408678102927
KIR2DL1,KIR2DL1*01201,0.004036326942482341
KIR2DL1,KIR2DL1*01202,0.007063572149344097
KIR2DL1,KIR2DL1*014,0.004540867810292634
KIR2DL1,KIR2DL1*025,0.0005045408678102926
KIR2DL1,KIR2DL1*0320101N,0.0010090817356205853
KIR2DL1,KIR2DL1*034,0.0010090817356205853
KIR2DL1,KIR2DL1*0370101,0.0015136226034308778
KIR2DL1,KIR2DL1*0370102,0.0010090817356205853
KIR2DL1,KIR2DL1*039,0.0005045408678102926
KIR2DL1,KIR2DL1*041,0.005549949545913219
KIR2DL1,KIR2DL1*042,0.0015136226034308778
KIR2DL1,KIR2DL1*0430102,0.0010090817356205853
KIR2DL1,KIR2DL1*0450102N,0.006559031281533804
KIR2DL1,KIR2DL1*0450103N,0.0020181634712411706
KIR2DL1,KIR2DL1*0470101,0.0005045408678102926
KIR2DL1,KIR2DL1*048,0.0005045408678102926
KIR2DL1,KIR2DL1*049,0.0005045408678102926
KIR2DL1,KIR2DL1*050,0.0005045408678102926
KIR2DL1,KIR2DL1*0510101,0.0010090817356205853
KIR2DL1,KIR2DL1*053,0.0005045408678102926
KIR2DL1,KIR2DL1*0540102,0.0005045408678102926
KIR2DL1,KIR2DL1*055,0.006054490413723511
KIR2DL1,KIR2DL1*056,0.0005045408678102926
KIR2DL1,KIR2DL1*058,0.0025227043390514633
KIR2DL1,KIR2DL1*060,0.0010090817356205853
