method,cutoff,gene,correct,total,accuracy
SpecImmune,0,CYP2D6,64,64,1.0
SpecImmune,10,CYP2D6,64,64,1.0
SpecImmune,20,CYP2D6,64,64,1.0
SpecImmune,30,CYP2D6,44,44,1.0
SpecImmune,40,CYP2D6,26,26,1.0
SpecImmune,50,CYP2D6,12,12,1.0
pangu,0,CYP2D6,61,64,0.953
pangu,10,CYP2D6,61,64,0.953
pangu,20,CYP2D6,61,64,0.953
pangu,30,CYP2D6,43,44,0.977
pangu,40,CYP2D6,26,26,1.0
pangu,50,CYP2D6,12,12,1.0
