method,cutoff,gene,correct,total,accuracy
SpecImmune,0,CYP2D6,31,50,0.62
SpecImmune,5,CYP2D6,29,46,0.63
SpecImmune,10,CYP2D6,26,38,0.684
SpecImmune,15,CYP2D6,19,26,0.731
SpecImmune,20,CYP2D6,13,16,0.812
pangu,0,CYP2D6,35,50,0.7
pangu,5,CYP2D6,31,46,0.674
pangu,10,CYP2D6,25,38,0.658
pangu,15,CYP2D6,15,26,0.577
pangu,20,CYP2D6,8,16,0.5
