Method,Allele_Correct,Allele_Total,Allele_Accuracy,Sample_Correct,Sample_Total,Sample_Accuracy
Pangu,2,7,0.2857142857142857,2,7,0.2857142857142857
Spec,3,7,0.42857142857142855,3,7,0.42857142857142855
