geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002478	antigen processing and presentation of exogenous peptide antigen	http://amigo.geneontology.org/amigo/term/GO:0002478	40	3	0.0071437075842362184	419.95	1.2508724569514885e-8	1.0539846764438423e-4	3111;3112;3134	HLA-F;HLA-DOB;HLA-DOA
GO:0019884	antigen processing and presentation of exogenous antigen	http://amigo.geneontology.org/amigo/term/GO:0019884	49	3	0.008751041790689367	342.81632653061223	2.3325985978617734e-8	1.0539846764438423e-4	3111;3112;3134	HLA-F;HLA-DOB;HLA-DOA
GO:0048002	antigen processing and presentation of peptide antigen	http://amigo.geneontology.org/amigo/term/GO:0048002	71	3	0.012680080962019289	236.59154929577463	7.236195878245185e-8	2.1797834050567248e-4	3111;3112;3134	HLA-F;HLA-DOB;HLA-DOA
GO:0002580	regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	http://amigo.geneontology.org/amigo/term/GO:0002580	5	2	8.929634480295273e-4	2239.7333333333336	2.12622996383649e-7	4.80368504579759e-4	3111;3112	HLA-DOB;HLA-DOA
GO:0002583	regulation of antigen processing and presentation of peptide antigen	http://amigo.geneontology.org/amigo/term/GO:0002583	6	2	0.0010715561376354328	1866.4444444444446	3.1892183391357176e-7	4.833242077208122e-4	3111;3112	HLA-DOB;HLA-DOA
GO:0019882	antigen processing and presentation	http://amigo.geneontology.org/amigo/term/GO:0019882	116	3	0.020716751994285035	144.8103448275862	3.208968956871609e-7	4.833242077208122e-4	3111;3112;3134	HLA-F;HLA-DOB;HLA-DOA
GO:0002578	negative regulation of antigen processing and presentation	http://amigo.geneontology.org/amigo/term/GO:0002578	9	2	0.0016073342064531493	1244.2962962962963	7.653212446979543e-7	9.88029726905059e-4	3111;3112	HLA-DOB;HLA-DOA
GO:0002399	MHC class II protein complex assembly	http://amigo.geneontology.org/amigo/term/GO:0002399	15	2	0.002678890344088582	746.5777777777778	2.2316552162304454e-6	0.0022408297987860596	3111;3112	HLA-DOB;HLA-DOA
GO:0002503	peptide antigen assembly with MHC class II protein complex	http://amigo.geneontology.org/amigo/term/GO:0002503	15	2	0.002678890344088582	746.5777777777778	2.2316552162304454e-6	0.0022408297987860596	3111;3112	HLA-DOB;HLA-DOA
GO:0002396	MHC protein complex assembly	http://amigo.geneontology.org/amigo/term/GO:0002396	20	2	0.0035718537921181092	559.9333333333334	4.037431407224566e-6	0.003040522302257367	3111;3112	HLA-DOB;HLA-DOA
