Sample,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
HG02580,4.0,109.0,41.0,9.0,50.0,101.0,503.0,398.0,3139.0,42.0
NA20314,146.0,60.0,57.0,10.0,51.0,469.0,54.0,396.0,232.0,27.0
HG03171,52.0,106.0,52.0,366.0,0.0,466.0,57.0,2.0,2703.0,4068.0
HG02938,43.0,126.0,43.0,365.0,0.0,466.0,503.0,360.0,484.0,72.0
NA20289,52.0,40.0,42.0,54.0,316.0,206.0,59.0,23.0,3138.0,1.0
HG01894,96.0,124.0,29.0,366.0,1.0,465.0,57.0,390.0,0.0,4107.0
NA19114,138.0,107.0,42.0,371.0,1.0,467.0,63.0,396.0,172.0,19.0
HG03301,142.0,97.0,85.0,11.0,0.0,466.0,7.0,0.0,9.0,1.0
HG02485,52.0,40.0,57.0,11.0,5.0,103.0,0.0,2.0,0.0,47.0
HG02283,96.0,137.0,41.0,11.0,5.0,467.0,58.0,22.0,2579.0,60.0
HG03052,138.0,105.0,57.0,365.0,2.0,466.0,57.0,391.0,2697.0,7.0
HG03577,96.0,84.0,56.0,11.0,21.0,109.0,647.0,412.0,2685.0,70.0
HG03198,6.0,119.0,41.0,369.0,317.0,466.0,58.0,4.0,3546.0,15.0
NA19238,4.0,118.0,41.0,2.0,1.0,468.0,54.0,112.0,0.0,32.0
HG02679,96.0,54.0,56.0,1.0,64.0,66.0,58.0,2.0,2638.0,56.0
HG02009,143.0,54.0,41.0,365.0,0.0,478.0,389.0,284.0,845.0,39.0
HG02643,6.0,83.0,58.0,372.0,5.0,467.0,58.0,2.0,843.0,1.0
HG01985,96.0,98.0,41.0,366.0,1.0,185.0,388.0,358.0,3153.0,23.0
NA20127,144.0,131.0,41.0,372.0,6.0,9741.0,12.0,3.0,3558.0,85.0
HG01988,41.0,54.0,42.0,10.0,2.0,463.0,503.0,286.0,1633.0,5.0
NA19024,134.0,16.0,112.0,2.0,75.0,505.0,50.0,396.0,756.0,28.0
NA19147,0.0,122.0,70.0,9.0,0.0,113.0,56.0,3.0,251.0,6.0
HG03199,134.0,106.0,41.0,3.0,317.0,173.0,529.0,359.0,762.0,12.0
HG03212,81.0,107.0,49.0,10.0,51.0,464.0,57.0,393.0,2714.0,87.0
HG01890,0.0,0.0,154.0,11.0,25.0,209.0,57.0,391.0,16.0,1.0
HG02922,52.0,97.0,152.0,50.0,17.0,52.0,54.0,355.0,3553.0,7137.0
NA18520,52.0,40.0,58.0,367.0,317.0,169.0,55.0,360.0,3139.0,2.0
HG03159,55.0,103.0,51.0,366.0,1.0,467.0,58.0,2.0,3643.0,61.0
HG03442,139.0,111.0,42.0,366.0,50.0,106.0,557.0,0.0,3137.0,72.0
HG03439,138.0,119.0,42.0,6.0,305.0,472.0,55.0,395.0,3477.0,41.0
HG03132,135.0,106.0,43.0,1.0,75.0,466.0,55.0,284.0,755.0,31.0
HG03393,53.0,40.0,154.0,372.0,5.0,467.0,674.0,412.0,0.0,84.0
HG03108,4.0,105.0,41.0,51.0,0.0,80.0,7.0,0.0,3008.0,7.0
