Sample,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
HG00235,134.0,0.0,61.0,10.0,77.0,0.0,528.0,397.0,293.0,1.0
HG00255,145.0,76.0,56.0,11.0,304.0,469.0,504.0,360.0,3140.0,60.0
NA12890,42.0,106.0,54.0,11.0,304.0,66.0,508.0,360.0,215.0,30.0
HG00365,136.0,110.0,55.0,3.0,328.0,211.0,0.0,2.0,41.0,42.0
HG00342,28.0,109.0,53.0,10.0,319.0,183.0,535.0,397.0,3137.0,1.0
NA20787,0.0,83.0,50.0,1.0,50.0,196.0,52.0,27.0,320.0,60.0
HG00117,0.0,53.0,57.0,10.0,74.0,8.0,388.0,284.0,844.0,0.0
HG02224,42.0,109.0,42.0,0.0,319.0,210.0,1.0,2.0,3.0,4065.0
HG01680,92.0,106.0,56.0,11.0,320.0,209.0,529.0,360.0,845.0,72.0
HG00311,27.0,0.0,54.0,9.0,304.0,469.0,0.0,2.0,0.0,42.0
HG01700,146.0,0.0,60.0,11.0,55.0,210.0,0.0,2.0,292.0,4107.0
HG00258,135.0,54.0,54.0,0.0,80.0,210.0,55.0,21.0,846.0,28.0
HG01504,138.0,135.0,41.0,10.0,75.0,9.0,7.0,0.0,3139.0,1.0
HG00146,0.0,53.0,42.0,9.0,305.0,463.0,0.0,3.0,3.0,59.0
NA10843,27.0,110.0,44.0,376.0,61.0,465.0,0.0,2.0,4.0,72.0
HG00269,42.0,0.0,42.0,29.0,306.0,469.0,0.0,2.0,196.0,42.0
HG00242,134.0,101.0,70.0,10.0,321.0,209.0,106.0,395.0,813.0,4023.0
HG00171,144.0,131.0,53.0,9.0,305.0,469.0,535.0,360.0,3230.0,12.0
HG01779,0.0,53.0,42.0,9.0,1.0,465.0,384.0,358.0,3329.0,63.0
HG00357,0.0,55.0,53.0,30.0,61.0,166.0,388.0,358.0,249.0,4035.0
HG00278,145.0,76.0,57.0,9.0,304.0,465.0,535.0,397.0,210.0,14.0
NA20761,42.0,114.0,74.0,10.0,93.0,107.0,27.0,2.0,3475.0,43.0
HG00137,0.0,53.0,59.0,10.0,50.0,483.0,105.0,358.0,0.0,1.0
HG01789,27.0,110.0,43.0,10.0,74.0,98.0,529.0,753.0,239.0,42.0
NA20801,144.0,110.0,56.0,29.0,61.0,469.0,0.0,2.0,512.0,72.0
HG00111,27.0,100.0,62.0,11.0,100.0,466.0,528.0,397.0,73.0,29.0
HG00133,145.0,109.0,42.0,9.0,75.0,463.0,58.0,390.0,1645.0,44.0
HG00096,1.0,53.0,57.0,0.0,0.0,212.0,388.0,358.0,250.0,12.0
HG00243,134.0,106.0,56.0,0.0,321.0,211.0,54.0,286.0,754.0,12.0
HG00141,42.0,109.0,42.0,9.0,313.0,67.0,0.0,2.0,292.0,45.0
HG00367,42.0,131.0,42.0,0.0,313.0,210.0,34.0,4.0,1635.0,4015.0
HG00325,41.0,120.0,42.0,10.0,74.0,1.0,0.0,2.0,3454.0,43.0
NA20525,0.0,53.0,27.0,2.0,75.0,210.0,40.0,22.0,2677.0,61.0
HG01678,0.0,54.0,70.0,9.0,321.0,9922.0,388.0,284.0,3556.0,72.0
NA20795,41.0,82.0,50.0,13.0,89.0,465.0,56.0,4.0,59.0,59.0
NA12892,27.0,110.0,1.0,10.0,65.0,12.0,0.0,2.0,0.0,43.0
HG00261,0.0,121.0,54.0,365.0,0.0,478.0,35.0,21.0,2736.0,0.0
HG00131,0.0,121.0,53.0,9.0,64.0,178.0,503.0,398.0,3156.0,59.0
NA20805,54.0,109.0,56.0,0.0,329.0,212.0,389.0,398.0,0.0,58.0
NA10851,0.0,53.0,54.0,1.0,316.0,211.0,501.0,397.0,845.0,60.0
HG00148,27.0,55.0,54.0,12.0,74.0,0.0,58.0,390.0,1633.0,16.0
HG00268,42.0,0.0,49.0,9.0,304.0,197.0,54.0,395.0,0.0,25.0
HG00125,92.0,83.0,58.0,12.0,331.0,209.0,529.0,753.0,70.0,4084.0
NA20587,92.0,120.0,43.0,9.0,65.0,173.0,0.0,2.0,5146.0,60.0
HG01766,0.0,0.0,152.0,13.0,308.0,66.0,388.0,284.0,3549.0,4022.0
HG00323,92.0,55.0,49.0,10.0,74.0,425.0,52.0,390.0,758.0,6.0
HG00274,42.0,109.0,42.0,9.0,0.0,482.0,503.0,409.0,3139.0,30.0
HG00381,144.0,76.0,54.0,9.0,317.0,210.0,529.0,412.0,292.0,42.0
NA12802,42.0,1.0,155.0,10.0,0.0,463.0,24.0,181.0,219.0,13.0
HG02231,96.0,84.0,44.0,1.0,321.0,210.0,528.0,400.0,221.0,42.0
HG01525,49.0,100.0,0.0,9.0,58.0,463.0,0.0,2.0,0.0,43.0
HG00130,96.0,103.0,56.0,367.0,55.0,175.0,34.0,4.0,3139.0,11.0
NA06989,145.0,100.0,0.0,10.0,74.0,1.0,528.0,426.0,813.0,28.0
HG01512,44.0,84.0,50.0,10.0,321.0,66.0,106.0,395.0,3139.0,44.0
HG00368,144.0,125.0,2.0,11.0,321.0,99.0,530.0,360.0,839.0,26.0
NA20757,54.0,84.0,49.0,10.0,171.0,24.0,527.0,360.0,261.0,28.0
HG00313,42.0,0.0,42.0,10.0,75.0,1.0,0.0,2.0,0.0,42.0
HG00252,144.0,97.0,56.0,10.0,75.0,1.0,503.0,360.0,153.0,61.0
HG00312,27.0,102.0,59.0,9.0,321.0,1.0,505.0,360.0,3403.0,6.0
HG00139,96.0,106.0,56.0,9.0,6.0,172.0,503.0,360.0,211.0,4068.0
NA10861,0.0,0.0,53.0,4.0,88.0,174.0,105.0,400.0,293.0,1.0
HG00271,41.0,100.0,53.0,9.0,74.0,1.0,54.0,395.0,754.0,60.0
HG01676,55.0,100.0,49.0,2.0,306.0,6333.0,54.0,394.0,3137.0,166.0
NA20503,0.0,131.0,42.0,10.0,321.0,463.0,0.0,3.0,76.0,61.0
HG02223,92.0,19.0,54.0,11.0,321.0,67.0,62.0,395.0,665.0,29.0
NA20762,144.0,85.0,42.0,0.0,317.0,210.0,12.0,8.0,0.0,19.0
HG01518,134.0,82.0,57.0,10.0,76.0,71.0,503.0,360.0,208.0,0.0
HG00377,42.0,109.0,0.0,0.0,316.0,210.0,56.0,27.0,6116.0,4075.0
HG00254,43.0,83.0,58.0,10.0,61.0,478.0,8.0,0.0,249.0,4053.0
HG01776,28.0,81.0,57.0,366.0,50.0,170.0,60.0,27.0,203.0,4062.0
HG00378,92.0,55.0,44.0,9.0,74.0,11.0,0.0,2.0,0.0,28.0
HG00149,144.0,106.0,53.0,9.0,55.0,9881.0,0.0,2.0,3154.0,71.0
NA20520,53.0,128.0,50.0,1.0,74.0,463.0,36.0,21.0,3670.0,17.0
HG00338,42.0,110.0,42.0,1.0,321.0,170.0,1.0,2.0,1076.0,4058.0
HG00361,42.0,3.0,43.0,1.0,68.0,6175.0,21.0,2.0,5.0,61.0
HG00152,145.0,89.0,57.0,9.0,305.0,9877.0,529.0,400.0,172.0,16.0
HG00173,145.0,54.0,54.0,9.0,318.0,470.0,58.0,27.0,728.0,61.0
HG00360,127.0,76.0,59.0,12.0,88.0,176.0,528.0,400.0,252.0,28.0
NA20753,52.0,131.0,42.0,11.0,75.0,176.0,503.0,360.0,2992.0,62.0
HG00158,138.0,0.0,0.0,143.0,0.0,210.0,55.0,400.0,1622.0,19.0
HG00120,1.0,63.0,87.0,9.0,325.0,67.0,55.0,395.0,3549.0,7.0
NA10850,43.0,54.0,1.0,10.0,73.0,1.0,0.0,2.0,145.0,18.0
HG01786,43.0,109.0,58.0,11.0,317.0,67.0,74.0,390.0,7419.0,56.0
HG02239,28.0,54.0,54.0,9.0,60.0,464.0,528.0,401.0,846.0,28.0
HG01506,145.0,84.0,57.0,11.0,305.0,464.0,54.0,396.0,0.0,60.0
HG03709,145.0,56.0,54.0,15.0,318.0,67.0,51.0,21.0,0.0,59.0
HG04198,0.0,124.0,42.0,0.0,322.0,119.0,52.0,4.0,101.0,0.0
HG03802,93.0,2.0,54.0,11.0,66.0,173.0,54.0,27.0,415.0,11.0
HG03705,92.0,102.0,57.0,0.0,65.0,147.0,72.0,398.0,664.0,60.0
HG03856,28.0,132.0,27.0,0.0,74.0,38.0,37.0,21.0,3433.0,43.0
HG03009,89.0,84.0,53.0,12.0,66.0,70.0,36.0,21.0,0.0,43.0
NA21110,92.0,133.0,42.0,0.0,322.0,211.0,72.0,506.0,0.0,8.0
HG02657,0.0,107.0,2.0,367.0,63.0,108.0,105.0,360.0,251.0,12.0
HG03854,144.0,111.0,57.0,287.0,65.0,71.0,105.0,396.0,0.0,1.0
HG03784,144.0,131.0,41.0,1.0,323.0,3.0,58.0,21.0,3431.0,4070.0
HG04039,27.0,107.0,49.0,9.0,65.0,463.0,72.0,506.0,507.0,43.0
HG03598,134.0,84.0,58.0,2.0,309.0,67.0,48.0,3.0,0.0,31.0
HG03681,1.0,109.0,29.0,367.0,12.0,170.0,54.0,506.0,598.0,40.0
HG03794,27.0,107.0,50.0,1.0,12.0,210.0,105.0,395.0,3445.0,1.0
HG03595,134.0,100.0,27.0,11.0,316.0,66.0,503.0,360.0,293.0,4075.0
NA21114,27.0,131.0,43.0,11.0,75.0,66.0,528.0,400.0,175.0,17.0
HG04062,136.0,54.0,50.0,11.0,65.0,66.0,36.0,21.0,0.0,4030.0
HG03976,28.0,103.0,49.0,1.0,66.0,72.0,71.0,396.0,0.0,60.0
NA21113,0.0,121.0,41.0,1.0,325.0,68.0,503.0,410.0,3174.0,63.0
NA20899,28.0,3.0,54.0,1.0,304.0,171.0,503.0,360.0,172.0,27.0
HG04200,144.0,137.0,27.0,1.0,75.0,3.0,36.0,129.0,0.0,14.0
HG03977,92.0,102.0,42.0,0.0,312.0,210.0,60.0,22.0,172.0,60.0
HG02688,0.0,102.0,50.0,9.0,312.0,69.0,638.0,753.0,2817.0,36.0
HG02684,27.0,102.0,49.0,1.0,305.0,195.0,72.0,400.0,292.0,27.0
NA21101,0.0,121.0,27.0,0.0,311.0,210.0,503.0,398.0,3557.0,36.0
NA21102,136.0,54.0,57.0,367.0,68.0,69.0,57.0,4.0,447.0,11.0
HG04149,42.0,100.0,0.0,0.0,305.0,168.0,15.0,2.0,77.0,50.0
NA20888,0.0,103.0,53.0,4.0,321.0,210.0,37.0,21.0,3495.0,4071.0
HG03800,42.0,98.0,70.0,1.0,61.0,479.0,55.0,506.0,722.0,60.0
HG04140,0.0,107.0,49.0,0.0,329.0,210.0,528.0,360.0,1652.0,6.0
HG04020,136.0,131.0,42.0,9.0,62.0,463.0,503.0,360.0,813.0,14.0
HG02490,146.0,93.0,52.0,0.0,66.0,171.0,503.0,360.0,210.0,13.0
HG04131,1.0,111.0,41.0,367.0,65.0,2.0,56.0,27.0,0.0,61.0
HG03640,93.0,55.0,58.0,9.0,317.0,181.0,389.0,284.0,0.0,59.0
HG02724,27.0,107.0,27.0,4.0,52.0,196.0,54.0,360.0,122.0,33.0
HG01589,92.0,54.0,27.0,11.0,325.0,6173.0,86.0,22.0,347.0,74.0
HG03941,27.0,102.0,43.0,11.0,12.0,98.0,55.0,28.0,0.0,24.0
HG03837,27.0,0.0,27.0,0.0,59.0,210.0,71.0,506.0,0.0,60.0
HG04132,94.0,121.0,46.0,11.0,319.0,66.0,76.0,398.0,6406.0,43.0
HG03916,27.0,131.0,43.0,0.0,306.0,214.0,0.0,4.0,243.0,4020.0
HG03821,0.0,107.0,53.0,367.0,53.0,2.0,503.0,360.0,211.0,60.0
HG03816,28.0,100.0,1.0,1.0,305.0,170.0,0.0,2.0,2993.0,42.0
HG03904,28.0,101.0,53.0,0.0,303.0,210.0,1.0,2.0,2.0,2505.0
HG02781,93.0,102.0,50.0,2.0,66.0,178.0,503.0,426.0,206.0,38.0
NA21111,134.0,54.0,44.0,29.0,67.0,173.0,67.0,358.0,0.0,60.0
HG03812,28.0,55.0,27.0,11.0,57.0,66.0,30.0,6.0,512.0,44.0
NA21098,134.0,131.0,42.0,1.0,66.0,189.0,30.0,2.0,41.0,1.0
HG03687,147.0,107.0,49.0,12.0,66.0,3.0,107.0,397.0,3434.0,60.0
NA20861,1.0,107.0,49.0,0.0,65.0,169.0,105.0,395.0,2568.0,1.0
HG03686,0.0,101.0,56.0,0.0,325.0,191.0,533.0,400.0,1656.0,27.0
HG03786,28.0,102.0,49.0,0.0,72.0,463.0,72.0,670.0,207.0,35.0
HG03882,93.0,104.0,51.0,0.0,321.0,210.0,73.0,507.0,0.0,7.0
HG02793,27.0,103.0,49.0,0.0,321.0,210.0,40.0,4.0,765.0,39.0
HG03645,134.0,106.0,53.0,11.0,316.0,66.0,72.0,358.0,782.0,71.0
HG04017,27.0,22.0,0.0,10.0,77.0,464.0,36.0,23.0,2707.0,17.0
NA21099,28.0,5.0,58.0,369.0,61.0,465.0,72.0,400.0,292.0,3997.0
HG03929,28.0,100.0,60.0,9.0,91.0,3.0,51.0,398.0,411.0,29.0
HG03928,27.0,107.0,59.0,10.0,74.0,2.0,37.0,4.0,3139.0,57.0
HG03019,93.0,107.0,58.0,1.0,317.0,172.0,54.0,358.0,1011.0,34.0
HG03753,146.0,105.0,57.0,2.0,315.0,85.0,389.0,358.0,844.0,60.0
HG03729,0.0,107.0,59.0,1.0,10.0,465.0,503.0,286.0,249.0,16.0
HG03931,27.0,133.0,43.0,2.0,66.0,145.0,10.0,4.0,0.0,42.0
HG03746,92.0,107.0,59.0,0.0,323.0,216.0,15.0,3.0,3176.0,60.0
NA20885,28.0,102.0,49.0,9.0,321.0,70.0,49.0,4.0,765.0,44.0
NA20847,1.0,107.0,58.0,15.0,62.0,66.0,487.0,360.0,165.0,29.0
HG03742,0.0,137.0,49.0,0.0,243.0,185.0,39.0,8.0,1654.0,0.0
HG03973,0.0,109.0,63.0,10.0,65.0,2.0,428.0,391.0,3139.0,44.0
HG03972,28.0,22.0,0.0,2.0,304.0,1.0,529.0,401.0,293.0,17.0
NA20866,28.0,0.0,41.0,367.0,66.0,69.0,0.0,2.0,95.0,61.0
HG03016,27.0,102.0,57.0,367.0,65.0,112.0,54.0,506.0,754.0,34.0
HG03604,0.0,116.0,53.0,0.0,12.0,164.0,57.0,391.0,249.0,38.0
NA21103,89.0,107.0,57.0,368.0,49.0,66.0,71.0,506.0,0.0,4010.0
HG02737,42.0,54.0,52.0,353.0,66.0,189.0,389.0,284.0,2662.0,4084.0
HG03900,92.0,0.0,49.0,1.0,71.0,463.0,503.0,360.0,62.0,43.0
NA20883,5.0,127.0,42.0,366.0,50.0,170.0,34.0,4.0,3173.0,12.0
