population,mean_residual,std_residual,n_samples
EUR,-0.13791286075237608,3.730416856897185,64736
EAS,-0.06871654602439291,3.9416543468168523,67468
AMR,-0.1011680883251355,3.564668529862308,57786
SAS,-0.03947549949457716,3.6676645694589936,70507
AFR,0.2280747017271559,4.208566241194714,97308
