population,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p
EUR,69495,0.10892109472352592,2.2158703196511682e-182,0.19519869678547302,0.0
EAS,73382,0.13833738440018625,2.72013624092323e-310,0.20972568769592853,0.0
AMR,63403,0.13976828257981172,5.569847133145923e-274,0.22458870313790846,0.0
SAS,76890,0.15172709450932792,0.0,0.2337748022333296,0.0
AFR,104747,0.12765918420800174,0.0,0.24317998793606224,0.0
