bin,depth_min,depth_max,depth_mean,hete_mean,hete_std,hete_median,n_samples
0,0.01,4.0,2.3806171964036977,0.0017981511966569583,0.15387411978214657,0.0,39485
1,4.01,6.97,5.787739544871291,0.4150627176787912,1.9186655062311468,0.0,38187
2,6.98,9.5,8.31496289807276,0.8781562403380397,2.8597583005960723,0.0,38812
3,9.51,11.44,10.388562830944078,0.9751517499677128,3.05759194834616,0.0,38715
4,11.45,13.36,12.318489807489112,1.062211684663557,3.238559739603133,0.0,38803
5,13.37,15.48,14.34753944760483,1.1823727766480476,3.579156410027099,0.0,38849
6,15.49,17.75,16.580023173180905,1.276327308306298,4.0109232863218915,0.0,38838
7,17.76,20.91,19.289557107748028,1.3588410296210063,4.357769690339381,0.0,38655
8,20.92,26.06,23.20515906161382,1.58543439030678,5.259499643336464,0.0,38790
9,26.07,278.95,34.608603769692905,2.0837996029188046,6.699275804497246,0.0,38783
