,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HLA-E,HLA-F,HLA-G,HLA-H,HLA-J,HLA-K,HLA-L,HLA-P,HLA-V,HLA-DQA2,HLA-DPA2,HLA-N,HLA-S,HLA-T,HLA-U,HLA-W,MICA,MICB,TAP1,TAP2,HFE,HLA-Y
HG00741,22,29,20,34,36,26,27,28,22,24,32,34,16,25,25,23,3,7,35,27,27,25,30,12,46,36,2,19,12,3,2,26,17,20,43,39,26,35,3,0
HG01952,13,25,30,27,19,10,19,14,17,29,11,17,12,21,33,9,23,4,17,19,16,14,34,14,21,17,2,22,14,2,1,14,10,17,25,28,16,24,1,0
HG02148,9,14,16,20,19,10,10,7,8,13,14,10,10,16,17,12,3,2,14,17,11,14,8,8,21,11,1,11,5,0,0,11,7,5,22,14,12,14,2,0
HG00621,15,29,26,19,18,15,13,29,19,21,18,19,17,25,31,15,16,3,30,24,15,13,31,5,32,24,1,22,8,2,0,14,8,17,31,34,19,24,3,0
HG01978,18,28,28,30,24,22,18,30,24,30,28,23,22,30,45,2,17,17,36,19,19,23,24,12,18,29,0,19,24,2,1,22,15,22,42,35,22,26,1,0
HG02559,14,8,14,16,15,10,11,11,13,14,19,13,8,16,14,5,13,4,21,15,8,4,17,8,21,12,1,12,8,1,2,3,5,15,18,13,18,23,0,0
HG03540,8,17,20,30,24,15,10,18,27,26,17,15,14,17,21,3,3,3,20,19,9,13,20,8,23,24,0,14,9,2,1,12,4,14,20,22,13,15,2,0
HG00733,43,47,42,51,50,51,44,45,45,38,41,42,30,46,62,49,9,8,59,45,43,24,60,17,54,46,5,44,41,5,4,23,30,43,44,62,53,52,2,0
HG00673,16,26,32,19,17,21,23,35,32,29,33,30,13,26,35,20,2,5,32,25,21,19,24,21,30,22,0,24,14,2,0,16,15,26,17,34,20,20,2,0
HG01891,15,30,34,29,20,21,10,19,19,23,22,25,8,31,30,3,5,21,34,33,20,22,31,12,32,21,2,26,15,0,2,24,10,28,33,21,20,23,1,1
HG01258,12,22,13,17,13,5,9,12,14,18,7,18,9,12,14,8,3,3,18,12,9,11,12,4,18,13,1,12,11,2,1,13,5,14,20,11,13,18,0,0
HG00438,23,29,33,30,38,25,18,26,25,34,31,18,22,36,36,10,20,7,28,35,20,10,34,7,32,38,2,18,22,2,3,10,9,27,38,31,21,23,2,0
