,NA19129,HG02611,NA20314,NA18873,HG02976,NA20127,NA19327,HG02943,HG03039,HG03511,HG01992,HG01390,HG01148,HG01055,HG02253,HG01939,HG00739,HG02006,HG00551,NA19723,HG00983,NA18553,HG00607,HG02139,HG02116,HG02178,HG02138,HG02017,HG00584,HG02189,HG00137,NA20795,HG01789,NA20762,HG00141,NA20787,HG01680,HG00149,NA20757,HG00367,HG03929,HG03686,HG03687,HG03977,NA21113,HG03709,HG01589,NA20866,NA21101,HG03786
HG01992,8028.5,11714.5,2152.0,1334.0,2627.0,11132.5,3552.0,1903.5,2173.5,2631.0,0.0,6085.5,10216.5,10356.5,4345.0,5659.5,2489.0,2295.5,8419.5,6859.0,6947.5,6484.0,2333.5,2383.5,8075.5,1540.5,6456.0,1662.0,2411.0,10856.5,6744.5,1829.5,5536.5,1324.0,2562.0,1543.0,2447.0,13087.0,1744.0,4675.5,2155.5,1456.0,1762.5,916.5,1855.0,1347.0,10023.0,2013.5,1541.0,1825.5
HG01390,3644.0,18898.0,6227.5,8718.5,6274.5,7700.0,1203.0,5626.0,12105.5,8384.0,6085.5,0.0,13626.5,2363.0,11965.5,6918.5,13376.0,11443.0,3318.0,20588.5,7724.5,8254.0,6441.5,11718.5,3315.5,6555.5,6528.5,6878.0,18947.5,11380.0,4053.0,5921.0,11851.0,5991.5,10560.5,6403.0,6601.5,5993.5,6877.5,6581.5,6470.5,7029.0,6833.5,6500.5,6847.5,6120.0,12535.5,6781.0,6870.0,6289.0
HG01148,12622.0,18528.0,10778.0,8945.5,9122.5,20460.5,11574.0,8810.5,9282.0,11386.5,10216.5,13626.5,0.0,15330.5,8983.5,10584.5,9587.5,9345.0,15841.0,14344.5,12031.0,11582.5,10938.5,9195.0,16925.0,10667.5,12762.5,11161.5,9966.0,17988.5,13685.0,10856.5,8934.5,10815.5,8632.5,10698.5,15655.0,22710.5,10763.5,10859.0,9248.5,11176.0,12166.0,10618.0,11190.0,3356.5,17726.5,10628.5,10486.5,9275.0
HG01055,3996.0,6373.5,10167.5,8557.0,8826.5,12192.0,6142.5,6603.0,6475.5,11091.0,10356.5,2363.0,15330.5,0.0,6306.5,6054.0,6052.0,6225.5,4506.0,1811.5,6383.5,6416.0,11098.5,6354.0,6840.5,10743.0,1813.0,11363.0,6683.0,6931.0,1345.0,9987.5,6192.0,11006.5,7190.5,10267.0,15795.0,13243.5,10273.0,6895.5,9427.0,10591.5,10600.0,10242.0,10499.5,10036.5,16492.5,10590.0,5680.0,6105.0
HG02253,6087.0,12409.0,2369.5,4208.5,2172.5,13286.0,2872.5,2292.0,7265.5,2081.0,4345.0,11965.5,8983.5,6306.5,0.0,5408.0,7389.5,3670.5,9275.0,26462.0,2699.0,2550.5,2371.0,7767.5,8409.5,6592.0,15172.0,5785.0,2695.0,18856.5,7175.0,2390.5,6821.0,2473.5,8375.5,1897.5,10080.0,16870.0,1923.5,5494.0,2418.5,5599.0,6679.5,2011.5,6792.0,2398.5,8872.5,6961.5,9799.5,2459.5
HG01939,7611.0,11574.5,5441.5,3918.0,4139.5,15758.0,7144.5,1972.0,1683.5,7098.0,5659.5,6918.5,10584.5,6054.0,5408.0,0.0,2092.5,2151.5,9016.5,7086.0,2358.5,2118.0,6370.5,1893.0,11585.0,6214.5,5924.0,6743.5,1933.5,11165.5,6107.5,6099.5,7011.0,6901.0,1785.0,5504.0,7110.5,17751.5,5569.0,2043.5,4747.5,6673.0,6305.5,6559.5,6831.5,6065.0,12635.5,5929.5,1744.0,17102.0
HG00739,6064.0,21982.5,3046.0,3168.0,3805.5,13494.0,3618.0,3504.0,12027.0,2518.5,2489.0,13376.0,9587.5,6052.0,7389.5,2092.5,0.0,2029.0,10542.0,8205.0,1416.5,2782.5,3059.5,6694.0,7887.0,4098.5,7810.5,4693.5,15372.0,14314.0,6399.5,1356.5,2422.5,2484.0,9141.0,3467.5,1993.5,13997.0,2375.5,2853.5,4828.5,2332.5,2327.5,2145.5,2000.5,1491.0,9771.5,2439.5,11349.5,2893.0
HG02006,5335.5,10782.0,1294.5,3162.5,2362.5,12817.0,4436.0,1978.5,8097.5,1816.0,2295.5,11443.0,9345.0,6225.5,3670.5,2151.5,2029.0,0.0,8932.5,5810.0,1645.5,1003.0,2542.0,3174.5,8376.5,2645.0,7849.0,2938.5,6556.0,12546.0,6042.5,1125.0,2674.0,2436.5,3220.0,2127.0,2307.5,13420.5,2381.0,2663.5,2587.0,1712.5,2782.0,2440.5,2295.0,1364.0,8169.5,2728.0,11879.5,1335.5
HG00551,6048.5,9139.5,9946.5,9065.5,8770.5,11210.5,5432.5,8644.0,9257.5,10698.5,8419.5,3318.0,15841.0,4506.0,9275.0,9016.5,10542.0,8932.5,0.0,4431.0,9845.5,10475.5,8547.5,9404.0,5554.0,10511.0,4918.5,9867.0,9418.0,9017.0,3924.0,8683.0,12896.5,8262.5,8151.0,9798.0,9452.0,11011.5,9221.0,8490.5,9715.5,9034.5,8907.5,8743.0,10525.5,8206.0,10317.0,8916.5,21670.0,8733.5
NA19723,6188.0,26422.5,6268.5,6823.0,9627.0,12269.5,2281.5,8298.0,11763.5,10072.0,6859.0,20588.5,14344.5,1811.5,26462.0,7086.0,8205.0,5810.0,4431.0,0.0,6678.5,8194.0,8842.0,21875.5,3239.0,7262.0,3756.5,7619.5,23565.5,6991.0,11697.0,5992.0,6953.5,7021.5,6709.0,7217.0,6877.0,6755.0,7148.0,7196.5,10538.5,6837.0,7149.0,7119.0,6591.0,5855.0,16755.5,7537.5,6334.5,7021.5
