Comparison,Class,Common_Samples,SpecLong_Accuracy,HLA*LA_Accuracy,Accuracy_Difference,Fisher_P,McNemar_P,Effect_Size,Both_Correct,SpecLong_Only_Correct,HLA*LA_Only_Correct,Both_Wrong,SpecHLA_Accuracy,SpecHLA_Only_Correct,Fisher_P_Adjusted,Fisher_Significant,McNemar_P_Adjusted,McNemar_Significant,Dataset
SpecLong vs SpecHLA,Class II Genes,225,0.9577777777777777,,0.1266666666666666,4.04741629239999e-10,1.0167485039666578e-10,Large,148,59.0,,10,0.8311111111111111,8.0,1.0118540730999974e-09,True,2.5418712599166443e-10,True,hprc_hifi
SpecLong vs SpecHLA,All Genes,360,0.9722222222222222,,0.10277777777777775,1.5029799345843956e-13,7.707195762739296e-14,Large,267,74.0,,10,0.8694444444444445,9.0,5.009933115281319e-13,True,2.569065254246432e-13,True,hprc_hifi
HLA*LA vs SpecHLA,Class I Genes,135,,0.8814814814814815,-0.051851851851851816,0.05270428630851787,0.024306510109454393,Medium,96,,10.0,5,0.9333333333333333,24.0,0.05270428630851787,False,0.03038313763681799,True,hprc_hifi
HLA*LA vs SpecHLA,Class II Genes,225,,0.7666666666666667,-0.06444444444444442,0.019722222941963265,0.3865726089882613,Medium,97,,49.0,20,0.8311111111111111,59.0,0.02191358104662585,True,0.3865726089882613,False,hprc_hifi
HLA*LA vs SpecHLA,All Genes,360,,0.8097222222222222,-0.05972222222222223,0.0025095638711175277,0.053208406947274245,Medium,193,,59.0,25,0.8694444444444445,83.0,0.0031369548388969094,True,0.05912045216363805,False,hprc_hifi
SpecLong vs HLA*LA,Class I Genes,216,0.9953703703703703,0.9236111111111112,0.07175925925925919,2.0922407917424142e-08,5.774199962615967e-08,Medium,185,29.0,1.0,1,,,3.487067986237357e-08,True,9.623666604359946e-08,True,hprc_ont
SpecLong vs HLA*LA,Class I Pseudogenes,85,0.888235294117647,0.8647058823529412,0.0235294117647058,0.6214092660557619,0.296206368599087,Small,51,20.0,13.0,1,,,0.6214092660557619,False,0.296206368599087,False,hprc_ont
SpecLong vs HLA*LA,Class II Genes,228,0.9495614035087719,0.7982456140350878,0.15131578947368418,2.9706695878788124e-12,8.554268404736831e-14,Large,155,53.0,2.0,18,,,5.941339175757625e-12,True,1.7108536809473662e-13,True,hprc_ont
SpecLong vs HLA*LA,All Genes,529,0.9584120982986768,0.8601134215500945,0.09829867674858228,1.422723384569331e-15,1.6554428099502255e-16,Medium,391,102.0,16.0,20,,,3.556808461423327e-15,True,5.518142699834085e-16,True,hprc_ont
SpecLong vs SpecHLA,Class I Genes,108,0.9907407407407407,,0.3194444444444444,8.019213122499855e-22,5.684341886080802e-14,Large,61,45.0,,2,0.6712962962962963,0.0,2.673071040833285e-21,True,1.4210854715202004e-13,True,hprc_ont
SpecLong vs SpecHLA,Class II Genes,180,0.9555555555555556,,0.29166666666666674,3.135273697990978e-25,5.238237034277805e-19,Large,91,75.0,,11,0.6638888888888889,3.0,1.5676368489954889e-24,True,2.6191185171389026e-18,True,hprc_ont
SpecLong vs SpecHLA,All Genes,288,0.96875,,0.30208333333333337,6.504400293160049e-45,5.835116341662609e-32,Large,152,120.0,,13,0.6666666666666666,3.0,6.504400293160048e-44,True,5.835116341662609e-31,True,hprc_ont
HLA*LA vs SpecHLA,Class I Genes,108,,0.8472222222222222,0.17592592592592593,2.6955445617177332e-05,0.016094360031274842,Large,47,,31.0,16,0.6712962962962963,14.0,3.369430702147166e-05,True,0.02011795003909355,True,hprc_ont
HLA*LA vs SpecHLA,Class II Genes,180,,0.7583333333333333,0.09444444444444444,0.006584514344791547,0.034415913668175036,Medium,67,,46.0,40,0.6638888888888889,27.0,0.007316127049768386,True,0.038239904075750036,True,hprc_ont
HLA*LA vs SpecHLA,All Genes,288,,0.7916666666666666,0.125,2.3307899165424035e-06,0.0011783931030854508,Large,114,,77.0,56,0.6666666666666666,41.0,3.3296998807748624e-06,True,0.0016834187186935013,True,hprc_ont
SpecLong vs HLA*LA,Class I Genes,2901,0.901585660117201,0.8107549120992761,0.0908307480179249,1.2247166880212145e-44,2.8261627450996978e-14,Medium,1869,525.0,306.0,201,,,1.8370750320318218e-44,True,3.6336378151281827e-14,True,1kg_ont
SpecLong vs HLA*LA,Class II Genes,1934,0.7631851085832472,0.7148397104446742,0.04834539813857297,1.4516960377337094e-06,0.23893168501581313,Small,862,340.0,309.0,423,,,1.4516960377337094e-06,True,0.23893168501581313,False,1kg_ont
SpecLong vs HLA*LA,All Genes,4835,0.8462254395036194,0.7723888314374354,0.07383660806618397,4.043582134514625e-39,8.727001319135385e-11,Medium,2731,865.0,615.0,624,,,4.549029901328954e-39,True,9.817876484027309e-11,True,1kg_ont
SpecLong vs SpecHLA,Class I Genes,2901,0.901585660117201,,0.2021716649431231,1.852799828211291e-169,4.856215624345895e-170,Large,1545,849.0,,436,0.6994139951740779,71.0,8.337599226950809e-169,True,2.1852970309556527e-169,True,1kg_ont
SpecLong vs SpecHLA,Class II Genes,1934,0.7631851085832472,,0.21690796277145818,1.9354691220296367e-90,2.0945449782516945e-103,Large,448,754.0,,594,0.546277145811789,138.0,4.354805524566683e-90,True,4.712726201066313e-103,True,1kg_ont
SpecLong vs SpecHLA,All Genes,4835,0.8462254395036194,,0.20806618407445698,5.726529245065615e-245,5.3231061369188026e-266,Large,1993,1603.0,,1030,0.6381592554291624,209.0,5.153876320559054e-244,True,4.7907955232269224e-265,True,1kg_ont
HLA*LA vs SpecHLA,Class I Genes,2901,,0.8107549120992761,0.11134091692519821,2.348108393832268e-44,3.392117193800434e-61,Large,1301,,874.0,411,0.6994139951740779,315.0,3.018996506355773e-44,True,5.088175790700652e-61,True,1kg_ont
HLA*LA vs SpecHLA,Class II Genes,1934,,0.7148397104446742,0.16856256463288521,2.0324283803342352e-53,1.0433419518344934e-87,Large,412,,759.0,589,0.546277145811789,174.0,3.658371084601623e-53,True,1.8780155133020881e-87,True,1kg_ont
HLA*LA vs SpecHLA,All Genes,4835,,0.7723888314374354,0.134229576008273,1.3145351278011573e-93,2.8700933881200737e-143,Large,1713,,1633.0,1000,0.6381592554291624,489.0,3.9436053834034724e-93,True,8.610280164360221e-143,True,1kg_ont
