Group,Gene,Count,Freq
YRI,KIR2DS1,8,0.1111111111111111
YRI,KIR2DL5A,2,0.027777777777777776
CHB,KIR2DP1,62,0.8857142857142857
CHB,KIR3DL2,70,1.0
CHB,KIR2DL4,64,0.9142857142857143
CHB,KIR2DS4,58,0.8285714285714286
CHB,KIR3DL3,68,0.9714285714285714
CHB,KIR2DL1,66,0.9428571428571428
CHB,KIR3DL1,58,0.8285714285714286
CHB,KIR2DL3,64,0.9142857142857143
CHB,KIR3DP1,14,0.2
CHB,KIR2DL2,10,0.14285714285714285
CHB,KIR2DS1,14,0.2
CHB,KIR2DS5,12,0.17142857142857143
CHB,KIR2DS2,12,0.17142857142857143
CHB,KIR3DS1,22,0.3142857142857143
CHB,KIR2DS3,10,0.14285714285714285
CHB,KIR2DL5A,6,0.08571428571428572
JPT,KIR2DP1,58,0.90625
JPT,KIR3DL2,64,1.0
JPT,KIR2DS4,58,0.90625
JPT,KIR3DL3,58,0.90625
JPT,KIR2DL3,62,0.96875
JPT,KIR2DL4,56,0.875
JPT,KIR2DL1,58,0.90625
JPT,KIR3DL1,50,0.78125
JPT,KIR3DP1,16,0.25
JPT,KIR2DS1,12,0.1875
JPT,KIR2DS3,10,0.15625
JPT,KIR2DL5A,8,0.125
JPT,KIR3DS1,10,0.15625
JPT,KIR2DS2,4,0.0625
JPT,KIR2DS5,4,0.0625
LWK,KIR2DP1,50,0.7142857142857143
LWK,KIR3DL2,70,1.0
LWK,KIR2DL4,58,0.8285714285714286
LWK,KIR2DS4,54,0.7714285714285715
LWK,KIR3DL3,58,0.8285714285714286
LWK,KIR2DL1,56,0.8
LWK,KIR2DS1,8,0.11428571428571428
LWK,KIR3DL1,60,0.8571428571428571
LWK,KIR2DL3,48,0.6857142857142857
LWK,KIR3DS1,4,0.05714285714285714
LWK,KIR2DL2,28,0.4
LWK,KIR2DL5B,8,0.11428571428571428
LWK,KIR2DS3,2,0.02857142857142857
LWK,KIR2DS2,24,0.34285714285714286
LWK,KIR2DS5,16,0.22857142857142856
LWK,KIR3DP1,18,0.2571428571428571
LWK,KIR2DL5A,2,0.02857142857142857
MXL,KIR2DP1,54,0.8181818181818182
MXL,KIR3DL2,66,1.0
MXL,KIR2DS4,46,0.696969696969697
MXL,KIR3DL3,58,0.8787878787878788
MXL,KIR2DL1,60,0.9090909090909091
MXL,KIR3DL1,48,0.7272727272727273
MXL,KIR2DL4,54,0.8181818181818182
MXL,KIR2DL3,50,0.7575757575757576
MXL,KIR2DS3,8,0.12121212121212122
MXL,KIR2DL2,10,0.15151515151515152
MXL,KIR2DS2,14,0.21212121212121213
MXL,KIR2DS5,16,0.24242424242424243
MXL,KIR3DS1,16,0.24242424242424243
MXL,KIR3DP1,18,0.2727272727272727
MXL,KIR2DS1,14,0.21212121212121213
MXL,KIR2DL5A,12,0.18181818181818182
MXL,KIR2DL5B,2,0.030303030303030304
ASW,KIR2DP1,60,0.8333333333333334
ASW,KIR3DL2,72,1.0
ASW,KIR2DL4,68,0.9444444444444444
ASW,KIR2DL2,22,0.3055555555555556
ASW,KIR2DS4,70,0.9722222222222222
ASW,KIR3DL3,72,1.0
ASW,KIR2DL1,68,0.9444444444444444
ASW,KIR3DL1,66,0.9166666666666666
ASW,KIR2DL3,62,0.8611111111111112
ASW,KIR2DS2,20,0.2777777777777778
ASW,KIR2DS3,14,0.19444444444444445
ASW,KIR2DS1,16,0.2222222222222222
ASW,KIR2DL5B,4,0.05555555555555555
ASW,KIR3DP1,16,0.2222222222222222
ASW,KIR2DS5,12,0.16666666666666666
ASW,KIR2DL5A,8,0.1111111111111111
ASW,KIR3DS1,12,0.16666666666666666
TSI,KIR2DP1,58,0.8529411764705882
TSI,KIR3DL2,68,1.0
TSI,KIR2DL4,64,0.9411764705882353
TSI,KIR2DL2,18,0.2647058823529412
TSI,KIR3DL3,68,1.0
TSI,KIR2DL1,60,0.8823529411764706
TSI,KIR2DS1,20,0.29411764705882354
TSI,KIR3DP1,24,0.35294117647058826
TSI,KIR2DL3,56,0.8235294117647058
TSI,KIR2DS5,14,0.20588235294117646
TSI,KIR2DS3,12,0.17647058823529413
TSI,KIR2DL5A,8,0.11764705882352941
TSI,KIR2DS2,14,0.20588235294117646
TSI,KIR3DS1,26,0.38235294117647056
TSI,KIR2DS4,52,0.7647058823529411
TSI,KIR3DL1,52,0.7647058823529411
GIH,KIR2DP1,50,0.6756756756756757
GIH,KIR3DL2,74,1.0
GIH,KIR2DS4,56,0.7567567567567568
GIH,KIR3DL3,70,0.9459459459459459
GIH,KIR2DL1,60,0.8108108108108109
GIH,KIR2DL3,38,0.5135135135135135
GIH,KIR2DL4,62,0.8378378378378378
GIH,KIR2DL2,28,0.3783783783783784
GIH,KIR2DL5B,10,0.13513513513513514
GIH,KIR3DL1,56,0.7567567567567568
GIH,KIR2DS3,18,0.24324324324324326
GIH,KIR2DS2,30,0.40540540540540543
GIH,KIR2DS1,16,0.21621621621621623
GIH,KIR3DP1,26,0.35135135135135137
GIH,KIR2DL5A,12,0.16216216216216217
GIH,KIR3DS1,14,0.1891891891891892
GIH,KIR2DS5,16,0.21621621621621623
