gene1,gene2,D,Wn
HLA-A,CYP2D6,0.529720008214822,0.460664295200026
CYP2D6,HLA-A,0.529720008214822,0.460664295200026
HLA-A,HLA-B,0.780879506411339,0.437413722963715
HLA-B,HLA-A,0.780879506411339,0.437413722963715
HLA-A,HLA-C,0.712686801888494,0.446029440954398
HLA-C,HLA-A,0.712686801888494,0.446029440954398
HLA-A,HLA-DMA,0.379637740970841,0.598053134270521
HLA-DMA,HLA-A,0.379637740970841,0.598053134270521
HLA-A,HLA-DMB,0.424302560949683,0.45510903081592
HLA-DMB,HLA-A,0.424302560949683,0.45510903081592
HLA-A,HLA-DOA,0.583069987693948,0.442310881368603
HLA-DOA,HLA-A,0.583069987693948,0.442310881368603
HLA-A,HLA-DOB,0.406795946409205,0.421327667219932
HLA-DOB,HLA-A,0.406795946409205,0.421327667219932
HLA-A,HLA-DPA1,0.550284171499315,0.465964820588699
HLA-DPA1,HLA-A,0.550284171499315,0.465964820588699
HLA-A,HLA-DPA2,0.385561081345292,0.451037189817028
HLA-DPA2,HLA-A,0.385561081345292,0.451037189817028
HLA-A,HLA-DPB1,0.752361835439544,0.468036517584273
HLA-DPB1,HLA-A,0.752361835439544,0.468036517584273
HLA-A,HLA-DPB2,0.440919694408647,0.468062836916129
HLA-DPB2,HLA-A,0.440919694408647,0.468062836916129
HLA-A,HLA-DQA1,0.595208315538913,0.410536516208963
HLA-DQA1,HLA-A,0.595208315538913,0.410536516208963
HLA-A,HLA-DQA2,0.444647721951831,0.441361915347173
HLA-DQA2,HLA-A,0.444647721951831,0.441361915347173
HLA-A,HLA-DQB1,0.670983345922166,0.439080296449041
HLA-DQB1,HLA-A,0.670983345922166,0.439080296449041
HLA-A,HLA-DQB2,0.435485807781989,0.410140092911817
HLA-DQB2,HLA-A,0.435485807781989,0.410140092911817
HLA-A,HLA-DRA,0.570094245197306,0.426112316920245
HLA-DRA,HLA-A,0.570094245197306,0.426112316920245
HLA-A,HLA-DRB1,0.766517948154134,0.438304180618211
HLA-DRB1,HLA-A,0.766517948154134,0.438304180618211
HLA-A,HLA-DRB3,0.414952970571664,0.425540823437164
HLA-DRB3,HLA-A,0.414952970571664,0.425540823437164
HLA-A,HLA-DRB4,0.409417811356758,0.469781035673229
HLA-DRB4,HLA-A,0.409417811356758,0.469781035673229
HLA-A,HLA-DRB5,0.401791131550281,0.433083319185799
HLA-DRB5,HLA-A,0.401791131550281,0.433083319185799
HLA-A,HLA-E,0.452067326628431,0.379068691834008
HLA-E,HLA-A,0.452067326628431,0.379068691834008
HLA-A,HLA-F,0.818376364934488,0.57680492139453
HLA-F,HLA-A,0.818376364934488,0.57680492139453
HLA-A,HLA-G,0.889278358513536,0.601393457891179
HLA-G,HLA-A,0.889278358513536,0.601393457891179
HLA-A,HLA-H,0.907951545118393,0.70825653271175
HLA-H,HLA-A,0.907951545118393,0.70825653271175
HLA-A,HLA-J,0.879483763459758,0.784351478285587
HLA-J,HLA-A,0.879483763459758,0.784351478285587
HLA-A,HLA-K,0.864416767350914,0.895522613653651
HLA-K,HLA-A,0.864416767350914,0.895522613653651
HLA-A,HLA-L,0.57042291350486,0.61127232011258
HLA-L,HLA-A,0.57042291350486,0.61127232011258
HLA-A,HLA-N,0.439243623751776,0.549044582377903
HLA-N,HLA-A,0.439243623751776,0.549044582377903
HLA-A,HLA-P,0.815777209589132,0.84330576055778
HLA-P,HLA-A,0.815777209589132,0.84330576055778
HLA-A,HLA-S,0.760843293940856,0.785218455168434
HLA-S,HLA-A,0.760843293940856,0.785218455168434
HLA-A,HLA-U,0.769142397171227,0.616963148650638
HLA-U,HLA-A,0.769142397171227,0.616963148650638
HLA-A,HLA-V,0.784432890463759,0.765350615612752
HLA-V,HLA-A,0.784432890463759,0.765350615612752
HLA-A,HLA-W,0.88476024467032,0.768918187728415
HLA-W,HLA-A,0.88476024467032,0.768918187728415
HLA-A,HLA-Y,0,NaN
HLA-Y,HLA-A,0,NaN
HLA-A,MICA,0.511261450578779,0.547138804422693
MICA,HLA-A,0.511261450578779,0.547138804422693
HLA-A,MICB,0.402714137592948,0.44545345329262
MICB,HLA-A,0.402714137592948,0.44545345329262
HLA-A,TAP1,0.375385238691898,0.582351553309327
TAP1,HLA-A,0.375385238691898,0.582351553309327
HLA-A,TAP2,0.435538987903488,0.518735673082885
TAP2,HLA-A,0.435538987903488,0.518735673082885
HLA-B,CYP2D6,0.544737833874717,0.379744175485275
CYP2D6,HLA-B,0.544737833874717,0.379744175485275
HLA-B,HLA-C,0.910756600010525,0.580170322311921
HLA-C,HLA-B,0.910756600010525,0.580170322311921
HLA-B,HLA-DMB,0.455313532010224,0.442120172071123
HLA-DMB,HLA-B,0.455313532010224,0.442120172071123
HLA-B,HLA-DOA,0.624773175021618,0.36742393277267
HLA-DOA,HLA-B,0.624773175021618,0.36742393277267
HLA-B,HLA-DOB,0.48648798426075,0.446279823994992
HLA-DOB,HLA-B,0.48648798426075,0.446279823994992
HLA-B,HLA-DPB1,0.799458462287589,0.428322708549146
HLA-DPB1,HLA-B,0.799458462287589,0.428322708549146
HLA-B,HLA-DPB2,0.471259807489332,0.446465059826881
HLA-DPB2,HLA-B,0.471259807489332,0.446465059826881
HLA-B,HLA-DQA2,0.482802665135558,0.356988314879075
HLA-DQA2,HLA-B,0.482802665135558,0.356988314879075
HLA-B,HLA-DRA,0.64783669126654,0.407442579426366
HLA-DRA,HLA-B,0.64783669126654,0.407442579426366
HLA-B,HLA-DRB1,0.812909579728421,0.428095140327577
HLA-DRB1,HLA-B,0.812909579728421,0.428095140327577
HLA-B,HLA-DRB3,0.463556481444033,0.444258248362826
HLA-DRB3,HLA-B,0.463556481444033,0.444258248362826
HLA-B,HLA-DRB4,0.438899722786543,0.384345299559254
HLA-DRB4,HLA-B,0.438899722786543,0.384345299559254
