Sample_Num,Allele_Num
1,16
2,29
3,40
4,56
5,63
6,71
7,79
8,87
9,105
10,115
11,121
12,129
13,137
14,143
15,153
16,159
17,165
18,171
19,177
20,195
21,205
22,211
23,220
24,231
25,238
26,241
27,251
28,254
29,259
30,267
31,277
32,289
33,291
34,302
35,303
36,307
37,309
38,312
39,314
40,321
41,331
42,336
43,338
44,340
45,342
46,346
47,349
48,358
49,363
50,364
51,365
52,367
53,367
54,369
55,372
56,375
57,381
58,383
59,390
60,392
61,392
62,393
63,394
64,401
65,401
66,403
67,412
68,419
69,419
70,419
71,423
72,424
73,425
74,431
75,436
76,441
77,443
78,447
79,449
80,454
81,456
82,460
83,463
84,466
85,474
86,474
87,476
88,478
89,480
90,480
91,481
92,482
93,483
94,484
95,484
96,485
97,485
98,487
99,491
100,492
101,497
102,501
103,503
104,504
105,506
106,507
107,507
108,508
109,509
110,515
111,516
112,518
113,518
114,518
115,520
116,520
117,520
118,520
119,521
120,526
121,527
122,529
123,530
124,530
125,532
126,537
127,537
128,541
129,544
130,544
131,544
132,545
133,547
134,548
135,549
136,551
137,551
138,552
139,552
140,553
141,556
142,556
143,562
144,565
145,565
146,568
147,572
148,575
149,576
150,584
151,586
152,587
153,590
154,590
155,593
156,594
157,597
158,597
159,598
160,601
161,608
162,611
163,613
164,614
165,617
166,618
167,625
168,627
169,629
170,631
171,633
172,636
173,636
174,638
175,640
176,640
177,643
178,643
179,643
180,646
181,648
182,649
183,651
184,652
185,655
186,656
187,657
188,657
189,657
190,657
191,657
192,659
193,664
194,666
195,668
196,670
197,671
198,672
199,673
200,675
201,677
202,678
203,680
204,681
205,682
206,685
207,690
208,690
209,692
210,693
211,695
212,698
213,701
214,702
215,704
216,705
217,706
218,706
219,709
220,712
221,713
222,714
223,715
224,715
225,715
226,720
227,725
228,729
229,731
230,732
231,733
232,733
233,733
234,733
235,735
236,737
237,738
238,739
239,740
240,741
241,741
242,741
243,744
244,745
245,745
246,747
247,748
248,748
249,748
250,748
251,749
252,749
253,750
254,753
255,754
256,755
257,756
258,757
259,759
260,761
261,762
262,763
263,763
264,763
265,763
266,763
267,764
268,764
269,766
270,767
271,768
272,768
273,768
274,768
275,768
276,768
277,769
278,769
279,769
280,769
281,769
282,769
283,773
284,776
285,780
286,781
287,781
288,782
289,784
290,784
291,784
292,785
293,785
294,786
295,786
296,788
297,791
298,792
299,796
300,796
301,799
302,800
303,801
304,802
305,802
306,802
307,802
308,802
309,802
310,802
311,805
312,806
313,807
314,807
315,809
316,809
317,812
318,812
319,812
320,814
321,814
322,816
323,817
324,820
325,820
326,820
327,822
328,823
329,823
330,827
331,829
332,829
333,830
334,833
335,833
336,833
337,833
338,835
339,835
340,837
341,837
342,837
343,838
344,838
345,839
346,839
347,840
348,840
349,840
350,841
351,841
352,842
353,844
354,845
355,846
356,846
357,847
358,847
359,850
360,851
361,852
362,852
363,853
364,855
365,856
366,857
367,858
368,859
369,862
370,862
371,862
372,863
373,863
374,863
375,865
376,865
377,865
378,866
379,867
380,867
381,868
382,870
383,870
384,871
385,871
386,873
387,873
388,873
389,873
390,873
391,873
392,875
393,875
394,876
395,877
396,878
397,879
398,879
399,879
400,879
401,879
402,879
403,879
404,879
405,880
406,881
407,883
408,883
409,887
410,887
411,890
412,890
413,890
414,891
415,894
416,895
417,896
418,897
419,897
420,897
421,898
422,898
423,898
424,898
425,899
426,899
427,899
428,900
429,900
430,900
431,901
432,904
433,904
