Gene,Count,Type
KIR3DL2,97,uniq
KIR3DL2,2028,all
KIR2DL4,54,uniq
KIR2DL4,1864,all
KIR2DL2,15,uniq
KIR2DL2,658,all
KIR2DS4,17,uniq
KIR2DS4,1712,all
KIR3DL3,91,uniq
KIR3DL3,1946,all
KIR3DL1,155,uniq
KIR3DL1,1694,all
KIR3DP1,104,uniq
KIR3DP1,566,all
KIR2DS2,51,uniq
KIR2DS2,606,all
KIR2DP1,84,uniq
KIR2DP1,1704,all
KIR2DL1,212,uniq
KIR2DL1,1816,all
KIR2DL3,23,uniq
KIR2DL3,1588,all
KIR2DS1,24,uniq
KIR2DS1,490,all
KIR2DS5,59,uniq
KIR2DS5,458,all
KIR3DS1,53,uniq
KIR3DS1,478,all
KIR2DL5B,22,uniq
KIR2DL5B,198,all
KIR2DS3,49,uniq
KIR2DS3,346,all
KIR2DL5A,32,uniq
KIR2DL5A,266,all
