Allele,Count
KIR2DS2*0090101,1
KIR2DS2*0210102,1
KIR2DS1*0020109,1
KIR2DS5*026,1
KIR2DS5*0230101,7
KIR2DS5*0020119,1
KIR2DS5*0250102,4
KIR2DS5*0020107,2
KIR2DS5*033,1
KIR2DS5*0020112,1
KIR2DS5*035,2
KIR2DS5*0020124,1
KIR2DS5*0250101,2
KIR2DS5*0020109,4
KIR2DS5*0020122,2
KIR2DS5*0230102,3
KIR2DS5*0020121,1
KIR2DS5*0020501,1
KIR2DS5*0060101,11
KIR2DS5*0020127,1
KIR2DS5*0020503,1
KIR2DL5A*029,7
KIR2DL5A*0210101,6
KIR2DL5A*0050103,1
KIR2DL5A*0010104,5
KIR2DL5A*0340102,1
KIR3DS1*0130117,3
KIR3DS1*0130112,4
KIR3DS1*0130130,1
KIR3DS1*132,1
KIR3DS1*0130124,2
KIR3DS1*0130129,2
KIR3DS1*0130122,1
KIR2DP1*0010402,1
KIR2DP1*0020304,1
KIR2DP1*00105,7
KIR2DP1*0160202,1
KIR3DL2*00207,1
KIR3DL2*1390101,4
KIR3DL2*136,1
KIR3DL2*145,1
KIR3DL2*1200102,1
KIR3DL2*00110,2
KIR2DL4*0050104,11
KIR2DL4*0010309,2
KIR2DL4*00805,1
KIR2DL5B*011,1
KIR2DL5B*0390101,3
KIR2DL5B*00602,1
KIR3DL3*0140202,11
KIR3DL3*1090101,1
KIR3DL3*01503,2
KIR3DL3*0070101,1
KIR2DL1*0030267,1
KIR2DL1*0030258,2
KIR2DL1*01103,9
KIR2DL1*0040134,5
KIR2DL1*1260101,2
KIR2DL1*0020121,1
KIR2DL1*0030239,1
KIR2DL1*01202,14
KIR2DL1*0040102,26
KIR2DL1*0070105,9
KIR2DL1*1260102,6
KIR2DL1*0010105,2
KIR2DL1*0070101,3
KIR2DL1*0031902,2
KIR2DL1*0031901,4
KIR2DL1*0030294,1
KIR2DL1*0850102,1
KIR2DL1*0850103,1
KIR2DL1*0030264,1
KIR2DL1*0910101,1
KIR2DL1*049,1
KIR2DL1*122,1
KIR2DL1*0780102,1
KIR2DL1*0070104,1
KIR3DP1*0030203,5
KIR3DP1*0030402,6
KIR3DP1*0280102,4
KIR3DP1*01003,3
KIR3DP1*024,2
KIR3DP1*0100101,2
KIR3DP1*0030209,7
KIR3DP1*0270101,1
KIR3DP1*086,2
KIR3DP1*0060102,1
KIR3DP1*077,1
KIR3DP1*093,1
KIR3DP1*021,1
KIR3DP1*00309,1
KIR2DS5*00203,1
KIR2DS2*0010117,1
KIR3DS1*01311,1
KIR3DS1*0130121,1
KIR3DL1*053,1
KIR3DL1*0150102,9
KIR3DL1*0250103,7
KIR3DL1*0050102,3
KIR3DL1*169,1
KIR3DL1*0250101,1
KIR3DL1*0070103,1
KIR3DL1*0040701,1
KIR3DL1*167,1
KIR3DL1*158,1
KIR3DL1*0250102,1
KIR2DS3*0030101N,1
KIR2DS3*0010302,9
KIR2DS3*00107,1
KIR2DS3*0010308,2
KIR2DS3*0010318,1
KIR2DL1*0080102,1
KIR3DL1*1640103,1
KIR2DL5B*0080102,1
