Allele,Count
KIR3DL1*0010116,30
KIR3DL1*00107,13
KIR3DL1*171,4
KIR3DL1*0010109,46
KIR3DL1*0070101,47
KIR3DL1*0070102,7
KIR3DL1*0040111,18
KIR3DL1*0040108,5
KIR3DL1*0010106,6
KIR3DL1*0020101,8
KIR3DL1*0050101,28
KIR3DL1*0150219,38
KIR3DL1*0080101,42
KIR3DL1*0050103,64
KIR3DL1*0040113,10
KIR3DL1*019,5
KIR3DL1*0020105,7
KIR3DL1*0150214,19
KIR3DL1*0020109,2
KIR3DL1*0010110,15
KIR3DL1*0150205,6
KIR3DL1*0150201,4
KIR3DL1*174,2
KIR3DL1*0200103,27
KIR3DL1*0080102,6
KIR3DL1*0050110,1
KIR3DL1*0050115,20
KIR3DL1*0150213,40
KIR3DL1*0040107,4
KIR3DL1*0200102,19
KIR3DL1*0080103,7
KIR3DL1*0040702,3
KIR3DL1*0090103,9
KIR3DL1*0040201,10
KIR3DL1*139,10
KIR3DL1*141,16
KIR3DL1*0050111,1
KIR3DL1*0010108,7
KIR3DL1*0010107,4
KIR3DL1*153,3
KIR3DL1*162,3
KIR3DL1*0050109,8
KIR3DL1*143,9
KIR3DL1*0050107,4
KIR3DL1*0020104,6
KIR3DL1*0150221,2
KIR3DL1*0040105,1
KIR3DL1*0020202,1
KIR3DL1*0310101,46
KIR3DL1*0040118,4
KIR3DL1*0010114,4
KIR3DL1*0050108,3
KIR3DL1*0050113,4
KIR3DL1*062,4
KIR3DL1*179,4
KIR3DL1*0010113,7
KIR3DL1*00106,3
KIR3DL1*0010101,2
KIR3DL1*0010104,18
KIR3DL1*1680101N,1
KIR3DL1*1420102,2
KIR3DL1*112,19
KIR3DL1*0010119,10
KIR3DL1*0070104,25
KIR3DL1*0040117,3
KIR3DL1*0070105,9
KIR3DL1*154,2
KIR3DL1*0010117,5
KIR3DP1*0090102,17
KIR3DP1*002,21
KIR3DP1*07002,2
KIR3DP1*01601,6
KIR3DP1*0030201,1
KIR3DP1*0030101,37
KIR3DP1*0030202,42
KIR3DP1*0030205,9
KIR3DP1*0840101,9
KIR3DP1*0090101,19
KIR3DP1*0030214,4
KIR3DP1*0060101,16
KIR3DP1*0140103,4
KIR3DP1*0150101,12
KIR3DP1*0630101,13
KIR3DP1*0030207,9
KIR3DP1*0890102,1
KIR3DP1*0090103,14
KIR3DP1*00311,2
KIR3DP1*0090106,16
KIR3DP1*0010102,29
KIR3DP1*00501,1
KIR3DP1*0030211,4
KIR3DP1*074,6
KIR3DP1*0840102,2
KIR3DP1*057,9
KIR3DP1*0610101,3
KIR3DP1*079,1
KIR3DP1*00320,9
KIR3DP1*058,2
KIR3DP1*0560102,3
KIR3DP1*051,2
KIR3DP1*026,6
KIR3DP1*045,1
KIR3DP1*076,1
KIR3DP1*0010103,30
KIR3DP1*0060103,2
KIR3DP1*0030102,16
KIR3DP1*023,4
KIR3DP1*087,5
KIR3DP1*048,4
KIR3DP1*0610102,2
KIR3DP1*0320101,2
KIR2DS2*0010114,10
KIR2DS2*0010101,23
KIR2DS2*0010115,8
KIR2DS2*016,45
KIR2DS2*0010107,11
KIR2DS2*0200101,4
KIR2DS2*0010112,41
KIR2DS2*0010109,17
KIR2DS2*014,1
KIR2DS2*0010108,43
KIR2DS2*0200102,17
KIR2DS2*0010104,28
KIR2DS2*0010123,9
KIR2DS2*0010119,1
KIR2DS2*0010102,95
KIR2DS2*0010103,13
KIR2DS2*0010702,6
KIR2DS2*0090102,17
KIR2DS2*0010105,25
KIR2DS2*0010124,25
KIR2DS2*0210103,15
KIR2DS2*0010120,3
KIR2DS2*0010106,16
KIR2DS2*00106,9
KIR2DS2*0010130,9
KIR2DS2*011,6
KIR2DS2*0200104,19
KIR2DS2*0010129,6
KIR2DS2*0010110,28
KIR2DS2*019,6
KIR2DP1*0030102,99
KIR2DP1*0030103,65
KIR2DP1*0020123,167
KIR2DP1*0020120,129
KIR2DP1*0020301,27
KIR2DP1*0090101,15
KIR2DP1*0090102,47
KIR2DP1*0020111,49
KIR2DP1*036,7
KIR2DP1*0020113,1
KIR2DP1*0020124,30
KIR2DP1*0250201,7
KIR2DP1*0010201,118
KIR2DP1*010,52
KIR2DP1*0010212,8
KIR2DP1*0320101,4
KIR2DP1*00205,9
KIR2DP1*0250202,36
KIR2DP1*0030106,19
KIR2DP1*0040102,18
KIR2DP1*031,7
KIR2DP1*0020117,4
KIR2DP1*0160102,1
KIR2DP1*0160104,11
KIR2DP1*0030108,26
KIR2DP1*0160103,20
KIR2DP1*0020109,132
KIR2DP1*00101,16
KIR2DP1*0080102,11
KIR2DP1*0020302,10
KIR2DP1*035,4
KIR2DP1*0020102,54
KIR2DP1*0250204,52
KIR2DP1*029,9
KIR2DP1*0010211,4
KIR2DP1*0250102,25
KIR2DP1*0010203,39
KIR2DP1*00108,25
KIR2DP1*0030101,6
KIR2DP1*012,10
KIR2DP1*0020119,136
KIR2DP1*0010204,6
KIR2DP1*033,6
KIR2DP1*0020126,6
KIR2DP1*0020122,3
KIR2DP1*0020116,2
KIR2DP1*0040101,3
KIR2DP1*0160101,1
KIR2DP1*027,3
KIR2DP1*0010206,8
KIR2DP1*0020103,3
KIR2DP1*0320102,2
KIR2DP1*007,22
KIR2DP1*0010208,1
KIR2DL1*0020128,30
KIR2DL1*0020140,11
KIR2DL1*0030236,21
KIR2DL1*0030245,71
KIR2DL1*0030271,8
KIR2DL1*0030247,16
KIR2DL1*0030283,5
KIR2DL1*0450103N,4
KIR2DL1*0030209,7
KIR2DL1*0030237,42
KIR2DL1*0030204,134
KIR2DL1*0030287,2
KIR2DL1*0040123,4
KIR2DL1*0020118,35
KIR2DL1*0020108,8
KIR2DL1*0030256,3
KIR2DL1*062,2
KIR2DL1*0030282,52
KIR2DL1*0040109,16
KIR2DL1*0020103,8
KIR2DL1*0040124,2
KIR2DL1*0040101,89
KIR2DL1*0030296,4
KIR2DL1*0030262,1
KIR2DL1*0020125,9
KIR2DL1*0020123,47
KIR2DL1*0020126,2
KIR2DL1*0030201,51
KIR2DL1*0450102N,12
KIR2DL1*0010101,13
KIR2DL1*0020102,31
KIR2DL1*0030210,10
KIR2DL1*131,4
KIR2DL1*0030208,7
KIR2DL1*0020101,5
KIR2DL1*0020105,21
KIR2DL1*0020122,21
KIR2DL1*0030206,11
KIR2DL1*0010102,9
KIR2DL1*0020138,1
KIR2DL1*0030218,12
KIR2DL1*0030219,26
KIR2DL1*0070103,5
KIR2DL1*0020134,4
KIR2DL1*0020114,10
KIR2DL1*0030224,9
KIR2DL1*110,3
KIR2DL1*058,4
KIR2DL1*1110103,2
KIR2DL1*0030212,6
KIR2DL1*0030222,2
KIR2DL1*0040201,2
KIR2DL1*0040111,2
KIR2DL1*0020111,7
KIR2DL1*0020116,2
KIR2DL1*0030291,3
KIR2DL1*00313,1
KIR2DL1*0030231,10
KIR2DL1*0030229,2
KIR2DL1*0470101,1
KIR2DL1*079,13
KIR2DL1*127,31
KIR2DL1*0030230,8
KIR2DL1*0020144,8
KIR2DL1*128,19
KIR2DL1*0030286,6
KIR2DL1*0020107,3
KIR2DL1*0370101,3
KIR2DL1*0430102,2
KIR2DL1*0030280,1
KIR2DL1*0010103,9
KIR2DL1*0040116,4
KIR2DL1*0020132,4
KIR2DL1*102,3
KIR2DL1*0020106,2
KIR2DL1*0030273,3
KIR2DL1*0030207,49
KIR2DL1*0020104,3
KIR2DL1*0030211,3
KIR2DL1*0030223,4
KIR2DL1*0320101N,2
KIR2DL1*0030228,2
KIR2DL1*0030276,2
KIR2DL1*130,1
KIR2DL1*0640101,3
KIR2DL1*0040904,6
KIR2DL1*0030290,2
KIR2DL1*0690101,3
KIR2DL1*1170101,4
KIR2DL1*0040112,1
KIR2DL1*0040107,15
KIR2DL1*0020127,3
KIR2DL1*0040114,10
KIR2DL1*0030250,5
KIR2DL1*0040120,4
KIR2DL1*092,3
KIR2DL1*088,1
KIR2DL1*1110101,5
KIR2DL1*0030225,7
KIR2DL1*0030214,1
KIR2DL1*014,8
KIR2DL1*096,3
KIR2DL1*0030232,16
KIR2DL3*0020101,150
KIR2DL3*0010107,59
KIR2DL3*0010110,272
KIR2DL3*0010101,142
KIR2DL3*0010103,140
KIR2DL3*0020103,80
KIR2DL3*00110,43
KIR2DL3*0010109,213
KIR2DL3*00501,81
KIR2DL3*0010114,49
KIR2DL3*006,57
KIR2DL3*0020102,47
KIR2DL3*0010111,9
KIR2DL3*0010105,9
KIR2DL3*0010106,44
KIR2DL3*0010112,17
KIR2DL3*036,26
KIR2DL3*0010108,87
KIR2DL3*0010102,10
KIR2DL3*0010115,16
KIR2DL3*0010104,13
KIR2DL3*0010113,6
KIR2DS1*006,22
KIR2DS1*0020102,10
