Gene,Gene Group,Count,Frequency,Group
KIR3DL2,KIR3,50,0.5154639175257731,rare
KIR3DL2,KIR3,44,0.4536082474226804,low-frequency
KIR3DL2,KIR3,3,0.030927835051546393,common
KIR2DL4,KIR2,30,0.5555555555555556,rare
KIR2DL4,KIR2,16,0.2962962962962963,low-frequency
KIR2DL4,KIR2,8,0.14814814814814814,common
KIR2DL2,KIR2,0,0.0,rare
KIR2DL2,KIR2,8,0.5333333333333333,low-frequency
KIR2DL2,KIR2,7,0.4666666666666667,common
KIR2DS4,KIR2,1,0.058823529411764705,rare
KIR2DS4,KIR2,9,0.5294117647058824,low-frequency
KIR2DS4,KIR2,7,0.4117647058823529,common
KIR3DL3,KIR3,42,0.46153846153846156,rare
KIR3DL3,KIR3,46,0.5054945054945055,low-frequency
KIR3DL3,KIR3,3,0.03296703296703297,common
KIR3DL1,KIR3,106,0.6838709677419355,rare
KIR3DL1,KIR3,46,0.2967741935483871,low-frequency
KIR3DL1,KIR3,3,0.01935483870967742,common
KIR3DP1,KIR3,56,0.5384615384615384,rare
KIR3DP1,KIR3,44,0.4230769230769231,low-frequency
KIR3DP1,KIR3,4,0.038461538461538464,common
KIR2DS2,KIR2,22,0.43137254901960786,rare
KIR2DS2,KIR2,25,0.49019607843137253,low-frequency
KIR2DS2,KIR2,4,0.0784313725490196,common
KIR2DP1,KIR2,50,0.5952380952380952,rare
KIR2DP1,KIR2,28,0.3333333333333333,low-frequency
KIR2DP1,KIR2,6,0.07142857142857142,common
KIR2DL1,KIR2,166,0.7830188679245284,rare
KIR2DL1,KIR2,44,0.20754716981132076,low-frequency
KIR2DL1,KIR2,2,0.009433962264150943,common
KIR2DL3,KIR2,1,0.043478260869565216,rare
KIR2DL3,KIR2,14,0.6086956521739131,low-frequency
KIR2DL3,KIR2,8,0.34782608695652173,common
KIR2DS1,KIR2,1,0.041666666666666664,rare
KIR2DS1,KIR2,18,0.75,low-frequency
KIR2DS1,KIR2,5,0.20833333333333334,common
KIR2DS5,KIR2,27,0.4576271186440678,rare
KIR2DS5,KIR2,29,0.4915254237288136,low-frequency
KIR2DS5,KIR2,3,0.05084745762711865,common
KIR3DS1,KIR3,20,0.37735849056603776,rare
KIR3DS1,KIR3,30,0.5660377358490566,low-frequency
KIR3DS1,KIR3,3,0.05660377358490566,common
KIR2DL5B,KIR2,0,0.0,rare
KIR2DL5B,KIR2,15,0.6818181818181818,low-frequency
KIR2DL5B,KIR2,7,0.3181818181818182,common
KIR2DS3,KIR2,9,0.1836734693877551,rare
KIR2DS3,KIR2,36,0.7346938775510204,low-frequency
KIR2DS3,KIR2,4,0.08163265306122448,common
KIR2DL5A,KIR2,5,0.15625,rare
KIR2DL5A,KIR2,19,0.59375,low-frequency
KIR2DL5A,KIR2,8,0.25,common
