Allele,locus,EUR,EAS,AMR,SAS,AFR,Non-pop
KIR2DL4*0050103,KIR2DL4,0.005952380952380952,0.008620689655172414,0.003424657534246575,0.002824858757062147,0.0,0.0
KIR2DL1*0020106,KIR2DL1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0
KIR2DL1*0030265,KIR2DL1,0.0,0.005555555555555556,0.006993006993006993,0.0,0.04251012145748988,0.0
KIR3DL1*0080103,KIR3DL1,0.0033333333333333335,0.0,0.007462686567164179,0.006944444444444444,0.004016064257028112,0.0
KIR2DL1*0020122,KIR2DL1,0.01644736842105263,0.019444444444444445,0.006993006993006993,0.014450867052023121,0.0020242914979757085,0.038461538461538464
KIR3DP1*0030201,KIR3DP1,0.00980392156862745,0.0,0.0,0.0,0.0,0.0
KIR2DP1*0020102,KIR2DP1,0.02702702702702703,0.014534883720930232,0.05859375,0.018633540372670808,0.043478260869565216,0.0
KIR2DS2*0010103,KIR2DS2,0.03488372093023256,0.014705882352941176,0.04081632653061224,0.0,0.034722222222222224,0.0
KIR2DL1*0450103N,KIR2DL1,0.003289473684210526,0.002777777777777778,0.0034965034965034965,0.0,0.0020242914979757085,0.0
KIR2DL1*0470101,KIR2DL1,0.003289473684210526,0.0,0.0,0.0,0.0,0.0
KIR2DL4*00107,KIR2DL4,0.0,0.005747126436781609,0.0136986301369863,0.0,0.001968503937007874,0.0
KIR2DS1*013,KIR2DS1,0.013513513513513514,0.0,0.024390243902439025,0.01282051282051282,0.0,0.0
KIR3DP1*0610102,KIR3DP1,0.00980392156862745,0.0,0.0,0.007692307692307693,0.0,0.0
KIR2DL1*0030222,KIR2DL1,0.003289473684210526,0.0,0.0034965034965034965,0.0,0.0,0.0
KIR3DP1*078,KIR3DP1,0.0,0.0,0.011111111111111112,0.015384615384615385,0.0,0.0
KIR2DL5B*0020101,KIR2DL5B,0.16666666666666666,0.0,0.06666666666666667,0.14634146341463414,0.015625,0.3333333333333333
KIR3DL2*0010304,KIR3DL2,0.0335195530726257,0.021164021164021163,0.021604938271604937,0.020202020202020204,0.045787545787545784,0.038461538461538464
KIR2DL4*0110102,KIR2DL4,0.002976190476190476,0.0,0.0,0.0,0.001968503937007874,0.038461538461538464
KIR2DL1*0030225,KIR2DL1,0.003289473684210526,0.0,0.006993006993006993,0.008670520231213872,0.0020242914979757085,0.0
KIR2DL1*0030280,KIR2DL1,0.003289473684210526,0.0,0.0,0.0,0.0,0.0
KIR2DL1*0040904,KIR2DL1,0.003289473684210526,0.0,0.0034965034965034965,0.002890173410404624,0.006072874493927126,0.0
KIR2DS4*0030101,KIR2DS4,0.14093959731543623,0.06134969325153374,0.11851851851851852,0.2181208053691275,0.08669354838709678,0.125
KIR3DS1*1250102,KIR3DS1,0.0,0.0,0.0125,0.006666666666666667,0.0,0.0
KIR3DL3*01001,KIR3DL3,0.01744186046511628,0.19889502762430938,0.0064516129032258064,0.031413612565445025,0.01532567049808429,0.07692307692307693
KIR2DS3*0010310,KIR2DS3,0.0,0.0,0.022727272727272728,0.0,0.0,0.0
KIR3DL2*01101,KIR3DL2,0.025139664804469275,0.0,0.009259259259259259,0.0,0.0,0.0
KIR2DP1*0340102,KIR2DP1,0.0,0.0029069767441860465,0.0,0.003105590062111801,0.0,0.0
KIR2DL1*0030209,KIR2DL1,0.003289473684210526,0.0,0.0034965034965034965,0.0,0.010121457489878543,0.0
KIR2DP1*035,KIR2DP1,0.010135135135135136,0.0,0.00390625,0.0,0.0,0.0
KIR3DS1*01308,KIR3DS1,0.010869565217391304,0.0196078431372549,0.0125,0.02666666666666667,0.0,0.0
KIR3DL1*0010108,KIR3DL1,0.01,0.0,0.0037313432835820895,0.0,0.002008032128514056,0.08333333333333333
KIR3DP1*0840101,KIR3DP1,0.0392156862745098,0.028846153846153848,0.0,0.015384615384615385,0.0,0.0
KIR2DL1*128,KIR2DL1,0.003289473684210526,0.019444444444444445,0.013986013986013986,0.014450867052023121,0.004048582995951417,0.0
KIR2DL1*0040120,KIR2DL1,0.003289473684210526,0.0,0.0034965034965034965,0.005780346820809248,0.0,0.0
KIR3DL1*01509,KIR3DL1,0.0,0.0031645569620253164,0.011194029850746268,0.003472222222222222,0.0,0.0
KIR3DL3*0020203,KIR3DL3,0.00872093023255814,0.0,0.0032258064516129032,0.0,0.005747126436781609,0.0
KIR2DS2*0010117,KIR2DS2,0.0,0.0,0.0,0.0,0.006944444444444444,0.0
KIR2DP1*0020122,KIR2DP1,0.0033783783783783786,0.005813953488372093,0.0,0.0,0.0,0.0
KIR3DS1*129,KIR3DS1,0.0,0.0,0.0125,0.013333333333333334,0.0,0.0
KIR3DL3*0010101,KIR3DL3,0.055232558139534885,0.03038674033149171,0.01935483870967742,0.07853403141361257,0.0038314176245210726,0.038461538461538464
KIR2DP1*0010202,KIR2DP1,0.0,0.0029069767441860465,0.01171875,0.009316770186335404,0.002173913043478261,0.0
KIR2DS3*0010306,KIR2DS3,0.020833333333333332,0.0,0.0,0.007246376811594203,0.0,0.0
KIR3DL3*01503,KIR3DL3,0.0,0.0,0.0,0.0,0.0019157088122605363,0.038461538461538464
KIR2DL1*0780102,KIR2DL1,0.0,0.0,0.0,0.0,0.0020242914979757085,0.0
KIR3DP1*0090103,KIR3DP1,0.049019607843137254,0.038461538461538464,0.03333333333333333,0.015384615384615385,0.0,0.0
KIR3DL1*0060101,KIR3DL1,0.0,0.0031645569620253164,0.0037313432835820895,0.0,0.004016064257028112,0.0
KIR2DL1*0030213,KIR2DL1,0.0,0.002777777777777778,0.0034965034965034965,0.005780346820809248,0.0,0.0
KIR3DL1*0020103,KIR3DL1,0.09,0.00949367088607595,0.048507462686567165,0.017361111111111112,0.012048192771084338,0.041666666666666664
KIR2DL1*0030242,KIR2DL1,0.0,0.0,0.0034965034965034965,0.0,0.0,0.0
KIR3DP1*00501,KIR3DP1,0.00980392156862745,0.0,0.0,0.0,0.0,0.0
KIR2DS3*0020104,KIR2DS3,0.020833333333333332,0.023809523809523808,0.0,0.007246376811594203,0.029411764705882353,0.0
KIR2DL1*0070104,KIR2DL1,0.0,0.0,0.0,0.0,0.0020242914979757085,0.0
KIR2DS1*0020117,KIR2DS1,0.013513513513513514,0.03125,0.024390243902439025,0.0,0.0,0.0
KIR2DP1*0020302,KIR2DP1,0.02364864864864865,0.0,0.0078125,0.003105590062111801,0.0,0.0
KIR3DL1*0150202,KIR3DL1,0.0,0.0,0.0037313432835820895,0.003472222222222222,0.028112449799196786,0.0
KIR2DL5B*00802,KIR2DL5B,0.0,0.0,0.0,0.012195121951219513,0.0,0.0
KIR2DP1*0030104,KIR2DP1,0.0,0.0,0.00390625,0.003105590062111801,0.0,0.0
KIR2DL2*0010102,KIR2DL2,0.16666666666666666,0.11290322580645161,0.17592592592592593,0.3112244897959184,0.17553191489361702,0.25
KIR2DL1*122,KIR2DL1,0.0,0.0,0.0,0.0,0.0020242914979757085,0.0
KIR3DL3*0060101,KIR3DL3,0.014534883720930232,0.04143646408839779,0.0032258064516129032,0.020942408376963352,0.0019157088122605363,0.038461538461538464
KIR3DP1*0030215,KIR3DP1,0.0,0.028846153846153848,0.022222222222222223,0.0,0.007575757575757576,0.125
KIR2DS2*00106,KIR2DS2,0.03488372093023256,0.0,0.02040816326530612,0.019801980198019802,0.0,0.0
KIR3DP1*00315,KIR3DP1,0.0,0.009615384615384616,0.0,0.007692307692307693,0.0,0.0
KIR3DL1*0020109,KIR3DL1,0.0033333333333333335,0.0,0.0037313432835820895,0.0,0.0,0.0
KIR3DP1*0060103,KIR3DP1,0.0196078431372549,0.0,0.0,0.0,0.0,0.0
KIR3DL1*0010107,KIR3DL1,0.01,0.0,0.0,0.003472222222222222,0.0,0.0
KIR3DL3*0140205,KIR3DL3,0.029069767441860465,0.0,0.02258064516129032,0.013089005235602094,0.0019157088122605363,0.0
KIR2DL1*0430102,KIR2DL1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0
KIR3DP1*0030602,KIR3DP1,0.0,0.009615384615384616,0.0,0.007692307692307693,0.007575757575757576,0.0
