Locus,Alleles,Count,Total,Frequency
KIR2DL1,KIR2DL1*0010101,14,1982,0.007063572149344097
KIR2DL1,KIR2DL1*0010102,10,1982,0.005045408678102927
KIR2DL1,KIR2DL1*0010103,12,1982,0.006054490413723511
KIR2DL1,KIR2DL1*0010105,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0010106,1,1982,0.0005045408678102926
KIR2DL1,KIR2DL1*0010107,1,1982,0.0005045408678102926
KIR2DL1,KIR2DL1*00102,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0020101,6,1982,0.0030272452068617556
KIR2DL1,KIR2DL1*0020102,31,1982,0.01564076690211907
KIR2DL1,KIR2DL1*0020103,10,1982,0.005045408678102927
KIR2DL1,KIR2DL1*0020104,3,1982,0.0015136226034308778
KIR2DL1,KIR2DL1*0020105,22,1982,0.011099899091826439
KIR2DL1,KIR2DL1*0020106,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0020107,3,1982,0.0015136226034308778
KIR2DL1,KIR2DL1*0020108,8,1982,0.004036326942482341
KIR2DL1,KIR2DL1*0020111,7,1982,0.0035317860746720484
KIR2DL1,KIR2DL1*0020114,12,1982,0.006054490413723511
KIR2DL1,KIR2DL1*0020115,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0020116,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0020117,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0020118,36,1982,0.018163471241170535
KIR2DL1,KIR2DL1*0020120,1,1982,0.0005045408678102926
KIR2DL1,KIR2DL1*0020121,1,1982,0.0005045408678102926
KIR2DL1,KIR2DL1*0020122,22,1982,0.011099899091826439
KIR2DL1,KIR2DL1*0020123,51,1982,0.025731584258324926
KIR2DL1,KIR2DL1*0020124,1,1982,0.0005045408678102926
KIR2DL1,KIR2DL1*0020125,9,1982,0.004540867810292634
KIR2DL1,KIR2DL1*0020126,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0020127,4,1982,0.0020181634712411706
KIR2DL1,KIR2DL1*0020128,33,1982,0.016649848637739658
KIR2DL1,KIR2DL1*0020130,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0020132,4,1982,0.0020181634712411706
KIR2DL1,KIR2DL1*0020133,1,1982,0.0005045408678102926
KIR2DL1,KIR2DL1*0020134,4,1982,0.0020181634712411706
KIR2DL1,KIR2DL1*0020135,1,1982,0.0005045408678102926
KIR2DL1,KIR2DL1*0020138,1,1982,0.0005045408678102926
KIR2DL1,KIR2DL1*0020139,6,1982,0.0030272452068617556
KIR2DL1,KIR2DL1*0020140,13,1982,0.006559031281533804
KIR2DL1,KIR2DL1*0020144,8,1982,0.004036326942482341
KIR2DL1,KIR2DL1*00204,4,1982,0.0020181634712411706
KIR2DL1,KIR2DL1*0020501,2,1982,0.0010090817356205853
KIR2DL1,KIR2DL1*0020502,2,1982,0.0010090817356205853
