Group1,Group2,JSD,compare
GBR,GBR,0.0,intra
GBR,FIN,0.4845188439271531,intra
GBR,CHS,0.6033347428875827,inter
GBR,PUR,0.46585020802486987,inter
GBR,CDX,0.5950131019222049,inter
GBR,CLM,0.49814386011467804,inter
GBR,IBS,0.46138818163135276,intra
GBR,PEL,0.5955411000349514,inter
GBR,PJL,0.5539577269169402,inter
GBR,KHV,0.5913186398690893,inter
GBR,ACB,0.568317351133622,inter
GBR,GWD,0.6011437344884999,inter
GBR,ESN,0.6169096509775178,inter
GBR,BEB,0.5144649155634827,inter
GBR,MSL,0.6213695954659226,inter
GBR,STU,0.5483574390233062,inter
GBR,ITU,0.5384188573893691,inter
GBR,CEU,0.4939835210113633,intra
GBR,YRI,0.6149294016842941,inter
GBR,CHB,0.6158111502985237,inter
GBR,JPT,0.6293174687504777,inter
GBR,LWK,0.6016932597366254,inter
GBR,MXL,0.5373866383670844,inter
GBR,ASW,0.5540573116100587,inter
GBR,TSI,0.495974507230935,intra
GBR,GIH,0.5319183717316215,inter
FIN,GBR,0.4845188439271531,intra
FIN,FIN,0.0,intra
FIN,CHS,0.5984126876288504,inter
FIN,PUR,0.4984036294601551,inter
FIN,CDX,0.5910415853139913,inter
FIN,CLM,0.5180570848063744,inter
FIN,IBS,0.4867586325998661,intra
FIN,PEL,0.5931391536461447,inter
FIN,PJL,0.5718214797699513,inter
FIN,KHV,0.5895701349174982,inter
FIN,ACB,0.5799098164427458,inter
FIN,GWD,0.6228324535610789,inter
FIN,ESN,0.639378979586433,inter
FIN,BEB,0.549404513869782,inter
FIN,MSL,0.6378056200636717,inter
FIN,STU,0.5760765729917713,inter
FIN,ITU,0.5405604830785451,inter
FIN,CEU,0.49740935730154906,intra
FIN,YRI,0.6420417639707082,inter
FIN,CHB,0.5998833740027603,inter
FIN,JPT,0.6134556964116799,inter
FIN,LWK,0.6263304220282715,inter
FIN,MXL,0.5633522253873023,inter
FIN,ASW,0.5676116749628997,inter
FIN,TSI,0.5103116173553638,intra
FIN,GIH,0.5618486736397057,inter
CHS,GBR,0.6033347428875827,inter
CHS,FIN,0.5984126876288504,inter
CHS,CHS,0.0,intra
CHS,PUR,0.5866371197909075,inter
CHS,CDX,0.4238704771891026,intra
CHS,CLM,0.5483809460109744,inter
CHS,IBS,0.5860753709168449,inter
CHS,PEL,0.5084950161343426,inter
CHS,PJL,0.6034301293685556,inter
CHS,KHV,0.3884917865135316,intra
CHS,ACB,0.6086599377727949,inter
CHS,GWD,0.6499680362818662,inter
CHS,ESN,0.6470941217329842,inter
CHS,BEB,0.525479643406128,inter
CHS,MSL,0.650891428829123,inter
CHS,STU,0.5880921876425393,inter
CHS,ITU,0.5401966501575622,inter
CHS,CEU,0.6026553739928916,inter
CHS,YRI,0.6607758652420888,inter
CHS,CHB,0.39852826946105596,intra
CHS,JPT,0.4088261842687807,intra
CHS,LWK,0.6270416370772326,inter
CHS,MXL,0.5491040018473956,inter
CHS,ASW,0.6117033452605402,inter
CHS,TSI,0.5877914429693677,inter
CHS,GIH,0.6013159162399357,inter
PUR,GBR,0.46585020802486987,inter
PUR,FIN,0.4984036294601551,inter
PUR,CHS,0.5866371197909075,inter
PUR,PUR,0.0,intra
PUR,CDX,0.5797748737473107,inter
PUR,CLM,0.49188706810493343,intra
PUR,IBS,0.48543268808636714,inter
PUR,PEL,0.565715003752322,intra
PUR,PJL,0.5173683233105151,inter
PUR,KHV,0.5785662232499903,inter
PUR,ACB,0.5200638015724297,inter
PUR,GWD,0.5603083010330141,inter
PUR,ESN,0.5626054663472408,inter
PUR,BEB,0.5138233266482393,inter
PUR,MSL,0.5770105415221695,inter
PUR,STU,0.5260905430884311,inter
PUR,ITU,0.4920774110119997,inter
PUR,CEU,0.5135507084545979,inter
PUR,YRI,0.5719928465968561,inter
PUR,CHB,0.6059813903533855,inter
PUR,JPT,0.6219772657095245,inter
PUR,LWK,0.5372874543606886,inter
PUR,MXL,0.5165354404405121,intra
PUR,ASW,0.5265571060775842,inter
PUR,TSI,0.5173957439985148,inter
PUR,GIH,0.5238386075581514,inter
CDX,GBR,0.5950131019222049,inter
CDX,FIN,0.5910415853139913,inter
CDX,CHS,0.4238704771891026,intra
CDX,PUR,0.5797748737473107,inter
CDX,CDX,0.0,intra
CDX,CLM,0.5388495683640191,inter
CDX,IBS,0.5911009518622312,inter
CDX,PEL,0.5008818270353036,inter
CDX,PJL,0.5680660144807462,inter
CDX,KHV,0.41646743862749935,intra
CDX,ACB,0.6003252573307584,inter
CDX,GWD,0.645454348122806,inter
CDX,ESN,0.6435974038366818,inter
CDX,BEB,0.5198660346744084,inter
CDX,MSL,0.6478426559747966,inter
CDX,STU,0.549983712100065,inter
CDX,ITU,0.5234960180534326,inter
CDX,CEU,0.5902070098990764,inter
CDX,YRI,0.6436316666466195,inter
CDX,CHB,0.4360755206593475,intra
CDX,JPT,0.4460734334175565,intra
CDX,LWK,0.6192989580459839,inter
CDX,MXL,0.5365968015148735,inter
CDX,ASW,0.5989745682917582,inter
CDX,TSI,0.5706191052693579,inter
CDX,GIH,0.594712182280659,inter
CLM,GBR,0.49814386011467804,inter
CLM,FIN,0.5180570848063744,inter
CLM,CHS,0.5483809460109744,inter
CLM,PUR,0.49188706810493343,intra
CLM,CDX,0.5388495683640191,inter
CLM,CLM,0.0,intra
CLM,IBS,0.493700513816922,inter
CLM,PEL,0.5112437539983589,intra
CLM,PJL,0.527716666608367,inter
CLM,KHV,0.5328641069993993,inter
CLM,ACB,0.5239879863145512,inter
CLM,GWD,0.5858036068241186,inter
