gene1,gene2,D,Wn
HLA-A,HLA-B,0.779372363993456,0.442929017709831
HLA-B,HLA-A,0.779372363993456,0.442929017709831
HLA-A,HLA-C,0.710414291151217,0.451037415241084
HLA-C,HLA-A,0.710414291151217,0.451037415241084
HLA-A,HLA-DMA,0.379593047852014,0.598141282732452
HLA-DMA,HLA-A,0.379593047852014,0.598141282732452
HLA-A,HLA-DMB,0.423114819932457,0.454582131334034
HLA-DMB,HLA-A,0.423114819932457,0.454582131334034
HLA-A,HLA-DOA,0.579871418570593,0.443260732254611
HLA-DOA,HLA-A,0.579871418570593,0.443260732254611
HLA-A,HLA-DOB,0.407741072790873,0.424297128896248
HLA-DOB,HLA-A,0.407741072790873,0.424297128896248
HLA-A,HLA-DPA1,0.549896454371989,0.475810377607225
HLA-DPA1,HLA-A,0.549896454371989,0.475810377607225
HLA-A,HLA-DPA2,0.382796040047182,0.450735209838493
HLA-DPA2,HLA-A,0.382796040047182,0.450735209838493
HLA-A,HLA-DPB1,0.753244418316488,0.471803539039376
HLA-DPB1,HLA-A,0.753244418316488,0.471803539039376
HLA-A,HLA-DPB2,0.440920584313306,0.468063355316294
HLA-DPB2,HLA-A,0.440920584313306,0.468063355316294
HLA-A,HLA-DQA1,0.595324253499708,0.426072152507451
HLA-DQA1,HLA-A,0.595324253499708,0.426072152507451
HLA-A,HLA-DQA2,0.446288485735249,0.431436543684579
HLA-DQA2,HLA-A,0.446288485735249,0.431436543684579
HLA-A,HLA-DQB1,0.669728308253495,0.443562201468757
HLA-DQB1,HLA-A,0.669728308253495,0.443562201468757
HLA-A,HLA-DQB2,0.436046830066985,0.40988929652644
HLA-DQB2,HLA-A,0.436046830066985,0.40988929652644
HLA-A,HLA-DRA,0.568140996037722,0.427022150399281
HLA-DRA,HLA-A,0.568140996037722,0.427022150399281
HLA-A,HLA-DRB1,0.76607407434566,0.436764272373593
HLA-DRB1,HLA-A,0.76607407434566,0.436764272373593
HLA-A,HLA-DRB3,0.414520074265948,0.410694729234427
HLA-DRB3,HLA-A,0.414520074265948,0.410694729234427
HLA-A,HLA-DRB4,0.408693534776072,0.465716932103371
HLA-DRB4,HLA-A,0.408693534776072,0.465716932103371
HLA-A,HLA-DRB5,0.402240273731547,0.434617076686966
HLA-DRB5,HLA-A,0.402240273731547,0.434617076686966
HLA-A,HLA-E,0.450787861561673,0.389034753632453
HLA-E,HLA-A,0.450787861561673,0.389034753632453
HLA-A,HLA-F,0.818861876442666,0.578745235099494
HLA-F,HLA-A,0.818861876442666,0.578745235099494
HLA-A,HLA-G,0.88960643261148,0.595345199874602
HLA-G,HLA-A,0.88960643261148,0.595345199874602
HLA-A,HLA-H,0.907951535612819,0.708256531229342
HLA-H,HLA-A,0.907951535612819,0.708256531229342
HLA-A,HLA-J,0.879891072205048,0.784322709974894
HLA-J,HLA-A,0.879891072205048,0.784322709974894
HLA-A,HLA-K,0.864480981169114,0.895373427080302
HLA-K,HLA-A,0.864480981169114,0.895373427080302
HLA-A,HLA-L,0.57058681599658,0.609579632341486
HLA-L,HLA-A,0.57058681599658,0.609579632341486
HLA-A,HLA-N,0.429659722376315,0.520233078796963
HLA-N,HLA-A,0.429659722376315,0.520233078796963
HLA-A,HLA-P,0.815777287983411,0.843305783740069
HLA-P,HLA-A,0.815777287983411,0.843305783740069
HLA-A,HLA-S,0.760843315966481,0.785218404057511
HLA-S,HLA-A,0.760843315966481,0.785218404057511
HLA-A,HLA-U,0.769142289340866,0.616963289409166
HLA-U,HLA-A,0.769142289340866,0.616963289409166
HLA-A,HLA-V,0.784432202423681,0.765350098791571
HLA-V,HLA-A,0.784432202423681,0.765350098791571
HLA-A,HLA-W,0.884414200544851,0.771821799777676
HLA-W,HLA-A,0.884414200544851,0.771821799777676
HLA-A,HLA-Y,0,NaN
HLA-Y,HLA-A,0,NaN
HLA-A,MICA,0.508929497172217,0.540285738934314
MICA,HLA-A,0.508929497172217,0.540285738934314
HLA-A,MICB,0.40150815779419,0.445348613874764
MICB,HLA-A,0.40150815779419,0.445348613874764
HLA-A,TAP1,0.370774967446358,0.605378464336972
TAP1,HLA-A,0.370774967446358,0.605378464336972
HLA-A,TAP2,0.434171836913241,0.519975173694502
TAP2,HLA-A,0.434171836913241,0.519975173694502
HLA-B,HLA-C,0.910317377578761,0.58485520948465
HLA-C,HLA-B,0.910317377578761,0.58485520948465
HLA-B,HLA-DMB,0.455158293460771,0.442889439253186
HLA-DMB,HLA-B,0.455158293460771,0.442889439253186
HLA-B,HLA-DOA,0.626265023001437,0.366818665263092
HLA-DOA,HLA-B,0.626265023001437,0.366818665263092
HLA-B,HLA-DOB,0.486493885613469,0.446267434607733
HLA-DOB,HLA-B,0.486493885613469,0.446267434607733
HLA-B,HLA-DPB1,0.802129465362643,0.423901300884291
HLA-DPB1,HLA-B,0.802129465362643,0.423901300884291
HLA-B,HLA-DPB2,0.471124071991487,0.446837105306756
HLA-DPB2,HLA-B,0.471124071991487,0.446837105306756
HLA-B,HLA-DQA2,0.482814364262948,0.356989940817587
HLA-DQA2,HLA-B,0.482814364262948,0.356989940817587
HLA-B,HLA-DRA,0.646772950796718,0.432811778802843
HLA-DRA,HLA-B,0.646772950796718,0.432811778802843
HLA-B,HLA-DRB1,0.813653254096303,0.438617182591944
HLA-DRB1,HLA-B,0.813653254096303,0.438617182591944
HLA-B,HLA-DRB3,0.461644363296072,0.454200415107029
HLA-DRB3,HLA-B,0.461644363296072,0.454200415107029
HLA-B,HLA-DRB4,0.438698337847316,0.372039716032209
HLA-DRB4,HLA-B,0.438698337847316,0.372039716032209
HLA-B,HLA-DRB5,0.423381868763411,0.367363944497433
HLA-DRB5,HLA-B,0.423381868763411,0.367363944497433
HLA-B,HLA-F,0.626759083465772,0.462285957487192
HLA-F,HLA-B,0.626759083465772,0.462285957487192
HLA-B,HLA-H,0.642450771294002,0.450248420888445
HLA-H,HLA-B,0.642450771294002,0.450248420888445
HLA-B,HLA-K,0.488034455264116,0.509024787568728
HLA-K,HLA-B,0.488034455264116,0.509024787568728
HLA-B,HLA-L,0.488748381366041,0.480736644081132
HLA-L,HLA-B,0.488748381366041,0.480736644081132
HLA-B,HLA-N,0.506029527503124,0.556156561464606
HLA-N,HLA-B,0.506029527503124,0.556156561464606
HLA-B,HLA-S,0.915156204145238,0.903568022617809
HLA-S,HLA-B,0.915156204145238,0.903568022617809
HLA-B,HLA-V,0.565068011747026,0.590585769672157
HLA-V,HLA-B,0.565068011747026,0.590585769672157
HLA-B,HLA-W,0.520392292583596,0.455990313468006
HLA-W,HLA-B,0.520392292583596,0.455990313468006
HLA-B,HLA-Y,0,NaN
HLA-Y,HLA-B,0,NaN
HLA-C,HLA-DPB1,0.733880701581498,0.415532631621724
HLA-DPB1,HLA-C,0.733880701581498,0.415532631621724
HLA-C,HLA-DPB2,0.397216529925914,0.391250182865942
HLA-DPB2,HLA-C,0.397216529925914,0.391250182865942
HLA-C,HLA-DRB4,0.353975422249812,0.325137831511232
HLA-DRB4,HLA-C,0.353975422249812,0.325137831511232
HLA-C,HLA-DRB5,0.353336702417382,0.341806205811463
HLA-DRB5,HLA-C,0.353336702417382,0.341806205811463
HLA-C,HLA-L,0.430694488342594,0.452655409609094
HLA-L,HLA-C,0.430694488342594,0.452655409609094
HLA-C,HLA-S,0.833608946271496,0.869899624646192
HLA-S,HLA-C,0.833608946271496,0.869899624646192
HLA-C,HLA-V,0.450480474822441,0.465437651552442
HLA-V,HLA-C,0.450480474822441,0.465437651552442
HLA-C,HLA-W,0.443892221259474,0.4036994601952
HLA-W,HLA-C,0.443892221259474,0.4036994601952
HLA-C,HLA-Y,0,NaN
HLA-Y,HLA-C,0,NaN
HLA-DMA,HLA-B,0.411937992024803,0.414793627034474
HLA-B,HLA-DMA,0.411937992024803,0.414793627034474
HLA-DMA,HLA-C,0.337323315601948,0.342469134878829
