Population,Locus,Diversity
ACB,KIR2DL1,3.549550494980629
ACB,KIR2DL2,2.1604688023713425
ACB,KIR2DL3,2.632640774921563
ACB,KIR2DL4,2.868999091971336
ACB,KIR2DL5A,2.811765197811869
ACB,KIR2DL5B,2.6561080829377333
ACB,KIR2DP1,3.011479717081829
ACB,KIR2DS1,2.5042734763520498
ACB,KIR2DS2,2.492163403838848
ACB,KIR2DS3,2.5665989181145106
ACB,KIR2DS4,2.438700508552099
ACB,KIR2DS5,2.7696228816896613
ACB,KIR3DL1,3.2102540840606473
ACB,KIR3DL2,3.2048178530624094
ACB,KIR3DL3,3.204418331004552
ACB,KIR3DP1,3.7663737061124287
ACB,KIR3DS1,2.5484011007463394
ASW,KIR2DL1,3.770963986662379
ASW,KIR2DL2,2.0084180524896733
ASW,KIR2DL3,2.6481534652726624
ASW,KIR2DL4,3.078065487565394
ASW,KIR2DL5A,2.771169641088684
ASW,KIR2DL5B,2.535106292731527
ASW,KIR2DP1,3.0655613020534567
ASW,KIR2DS1,2.3341679050270843
ASW,KIR2DS2,2.8513361342092836
ASW,KIR2DS3,2.183187269602014
ASW,KIR2DS4,2.3734700598681098
ASW,KIR2DS5,2.6261647864672346
ASW,KIR3DL1,3.4641086638353906
ASW,KIR3DL2,3.368214639684797
ASW,KIR3DL3,3.4032134894490205
ASW,KIR3DP1,3.687653741624566
ASW,KIR3DS1,2.4848413956513
BEB,KIR2DL1,3.644419566496804
BEB,KIR2DL2,2.2130185242109484
BEB,KIR2DL3,2.6097248729714937
BEB,KIR2DL4,2.393777661944061
BEB,KIR2DL5A,3.0002900124598817
BEB,KIR2DL5B,2.5007092136023865
BEB,KIR2DP1,2.9879302519655573
BEB,KIR2DS1,2.52372159226777
BEB,KIR2DS2,2.8122439827479204
BEB,KIR2DS3,2.7644904831394457
BEB,KIR2DS4,2.241641343588439
BEB,KIR2DS5,3.163196484822638
BEB,KIR3DL1,3.428783450335608
BEB,KIR3DL2,3.0915918013117847
BEB,KIR3DL3,3.2116950705699376
BEB,KIR3DP1,3.3982727282204768
BEB,KIR3DS1,2.679615618755597
CDX,KIR2DL1,3.186899247174316
CDX,KIR2DL2,1.9960309859581937
CDX,KIR2DL3,2.303443003673933
CDX,KIR2DL4,2.354225461898334
CDX,KIR2DL5A,2.5744274536210545
CDX,KIR2DL5B,2.4153991082765054
CDX,KIR2DP1,2.479858870148047
CDX,KIR2DS1,2.487335003263108
CDX,KIR2DS2,1.666332585328325
CDX,KIR2DS3,2.3221879428070658
CDX,KIR2DS4,2.087725912446168
CDX,KIR2DS5,2.414236329788662
CDX,KIR3DL1,3.3192061615350763
CDX,KIR3DL2,2.756081051275024
CDX,KIR3DL3,2.7833775748627203
CDX,KIR3DP1,3.6214026550197693
CDX,KIR3DS1,2.695873322904693
CEU,KIR2DL1,3.636072313536639
CEU,KIR2DL2,2.3302481118727325
