y,x,Type,subtype,color
TRAJ43,1,VDJ,TCR,#d6d69b
TRAJ42,1,VDJ,TCR,#d6d69b
TRAJ41,1,VDJ,TCR,#d6d69b
TRAJ40,1,VDJ,TCR,#d6d69b
TRAJ39,1,VDJ,TCR,#d6d69b
TRAJ38,1,VDJ,TCR,#d6d69b
TRAJ37,1,VDJ,TCR,#d6d69b
TRAJ36,1,VDJ,TCR,#d6d69b
TRAJ35,1,VDJ,TCR,#d6d69b
TRAJ34,1,VDJ,TCR,#d6d69b
TRAJ33,1,VDJ,TCR,#d6d69b
TRAJ32,1,VDJ,TCR,#d6d69b
TRAJ31,1,VDJ,TCR,#d6d69b
TRAJ30,1,VDJ,TCR,#d6d69b
TRAJ29,1,VDJ,TCR,#d6d69b
TRAJ28,1,VDJ,TCR,#d6d69b
TRAJ27,1,VDJ,TCR,#d6d69b
TRAJ26,1,VDJ,TCR,#d6d69b
TRAJ25,1,VDJ,TCR,#d6d69b
TRAJ24,1,VDJ,TCR,#d6d69b
TRAJ23,1,VDJ,TCR,#d6d69b
TRAJ22,1,VDJ,TCR,#d6d69b
TRAJ21,1,VDJ,TCR,#d6d69b
TRAJ20,1,VDJ,TCR,#d6d69b
TRAJ19,1,VDJ,TCR,#d6d69b
TRAJ18,1,VDJ,TCR,#d6d69b
TRAJ17,1,VDJ,TCR,#d6d69b
TRAJ16,1,VDJ,TCR,#d6d69b
TRAJ14,1,VDJ,TCR,#d6d69b
TRAJ13,1,VDJ,TCR,#d6d69b
TRAJ12,1,VDJ,TCR,#d6d69b
TRAJ11,1,VDJ,TCR,#d6d69b
TRAJ10,1,VDJ,TCR,#d6d69b
TRAJ9,1,VDJ,TCR,#d6d69b
TRAJ8,1,VDJ,TCR,#d6d69b
TRAJ7,1,VDJ,TCR,#d6d69b
TRAJ6,1,VDJ,TCR,#d6d69b
TRAJ5,1,VDJ,TCR,#d6d69b
TRAJ4,1,VDJ,TCR,#d6d69b
TRAJ3,1,VDJ,TCR,#d6d69b
TRAJ1,1,VDJ,TCR,#d6d69b
IGHJ6,1,VDJ,IG,#2a347a
IGHD2-2,1,VDJ,IG,#2a347a
IGHD1-1,1,VDJ,IG,#2a347a
IGHV1-2,1,VDJ,IG,#2a347a
IGHV1-3,1,VDJ,IG,#2a347a
IGHV2-5,1,VDJ,IG,#2a347a
IGHV3-7,1,VDJ,IG,#2a347a
IGHV5-10-1,1,VDJ,IG,#2a347a
IGHV3-11,1,VDJ,IG,#2a347a
IGHV3-13,1,VDJ,IG,#2a347a
IGHV3-16,1,VDJ,IG,#2a347a
IGHV3-19,1,VDJ,IG,#2a347a
IGHV3-23,1,VDJ,IG,#2a347a
IGHV1-24,1,VDJ,IG,#2a347a
IGHV3-25,1,VDJ,IG,#2a347a
IGHV2-26,1,VDJ,IG,#2a347a
IGHV4-28,1,VDJ,IG,#2a347a
IGHV3-30,1,VDJ,IG,#2a347a
IGHV3-30-2,1,VDJ,IG,#2a347a
IGHV3-33,1,VDJ,IG,#2a347a
IGHV3-33-2,1,VDJ,IG,#2a347a
IGHV4-34,1,VDJ,IG,#2a347a
IGHV7-34-1,1,VDJ,IG,#2a347a
IGHV3-35,1,VDJ,IG,#2a347a
IGHV3-38,1,VDJ,IG,#2a347a
IGHV4-39,1,VDJ,IG,#2a347a
IGHV7-40,1,VDJ,IG,#2a347a
IGHV3-41,1,VDJ,IG,#2a347a
IGHV3-43,1,VDJ,IG,#2a347a
IGHV1-45,1,VDJ,IG,#2a347a
IGHV1-46,1,VDJ,IG,#2a347a
IGHV3-47,1,VDJ,IG,#2a347a
IGHV3-48,1,VDJ,IG,#2a347a
IGHV3-49,1,VDJ,IG,#2a347a
IGHV5-51,1,VDJ,IG,#2a347a
IGHV8-51-1,1,VDJ,IG,#2a347a
IGHV3-52,1,VDJ,IG,#2a347a
IGHV3-53,1,VDJ,IG,#2a347a
IGHV4-55,1,VDJ,IG,#2a347a
IGHV1-58,1,VDJ,IG,#2a347a
IGHV4-59,1,VDJ,IG,#2a347a
IGHV4-61,1,VDJ,IG,#2a347a
IGHV3-62,1,VDJ,IG,#2a347a
IGHV3-63,1,VDJ,IG,#2a347a
IGHV3-64,1,VDJ,IG,#2a347a
IGHV3-66,1,VDJ,IG,#2a347a
IGHV1-68,1,VDJ,IG,#2a347a
IGHV1-69D,1,VDJ,IG,#2a347a
IGHV2-70,1,VDJ,IG,#2a347a
IGHV3-71,1,VDJ,IG,#2a347a
IGHV3-72,1,VDJ,IG,#2a347a
IGHV3-73,1,VDJ,IG,#2a347a
IGHV3-74,1,VDJ,IG,#2a347a
IGHV5-78,1,VDJ,IG,#2a347a
IGHV7-81,1,VDJ,IG,#2a347a
IGKJ5,1,VDJ,IG,#2a347a
IGKJ4,1,VDJ,IG,#2a347a
IGKJ3,1,VDJ,IG,#2a347a
IGKV4-1,1,VDJ,IG,#2a347a
IGKV1-5,1,VDJ,IG,#2a347a
IGKV1-9,1,VDJ,IG,#2a347a
IGKV3-11,1,VDJ,IG,#2a347a
IGKV1-12,1,VDJ,IG,#2a347a
IGKV1-13,1,VDJ,IG,#2a347a
IGKV1-16,1,VDJ,IG,#2a347a
IGKV1-17,1,VDJ,IG,#2a347a
IGKV2-18,1,VDJ,IG,#2a347a
IGKV3-20,1,VDJ,IG,#2a347a
IGKV6-21,1,VDJ,IG,#2a347a
IGKV2-24,1,VDJ,IG,#2a347a
IGKV1-27,1,VDJ,IG,#2a347a
IGKV2-28,1,VDJ,IG,#2a347a
IGKV2-29,1,VDJ,IG,#2a347a
IGKV2-30,1,VDJ,IG,#2a347a
IGKV1-33,1,VDJ,IG,#2a347a
IGKV1-37,1,VDJ,IG,#2a347a
IGKV1-39,1,VDJ,IG,#2a347a
IGKV2D-40,1,VDJ,IG,#2a347a
IGKV1D-39,1,VDJ,IG,#2a347a
IGKV1D-37,1,VDJ,IG,#2a347a
IGKV1D-33,1,VDJ,IG,#2a347a
IGKV2D-30,1,VDJ,IG,#2a347a
IGKV2D-29,1,VDJ,IG,#2a347a
IGKV2D-28,1,VDJ,IG,#2a347a
IGKV2D-26,1,VDJ,IG,#2a347a
IGKV2D-24,1,VDJ,IG,#2a347a
IGKV6D-21,1,VDJ,IG,#2a347a
IGKV3D-20,1,VDJ,IG,#2a347a
IGKV2D-18,1,VDJ,IG,#2a347a
IGKV6D-41,1,VDJ,IG,#2a347a
IGKV1D-17,1,VDJ,IG,#2a347a
IGKV1D-16,1,VDJ,IG,#2a347a
