Family	Allele	ACB	ASW	BEB	CDX	CEU	CHB	CHS	CLM	ESN	FIN	GBR	GIH	GWD	IBS	ITU	JPT	KHV	LWK	MSL	MXL	PEL	PJL	PUR	STU	TSI	YRI
HLA	HLA-T*03	0.1956521739130435	0.1111111111111111	0.3372093023255814	0.32051282051282054	0.2413793103448276	0.2857142857142857	0.2	0.125	0.15625	0.3194444444444444	0.14634146341463414	0.16216216216216217	0.21212121212121213	0.1625	0.19230769230769232	0.25	0.313953488372093	0.14705882352941177	0.16666666666666666	0.27941176470588236	0.07954545454545454	0.275	0.23170731707317074	0.3625	0.20588235294117646	0.375
HLA	HLA-A*24	0.021739130434782608	0.041666666666666664	0.19767441860465115	0.05128205128205128	0.10344827586206896	0.17142857142857143	0.25	0.1590909090909091	0.0	0.06944444444444445	0.024390243902439025	0.0945945945945946	0.0	0.0875	0.19230769230769232	0.3125	0.16279069767441862	0.0	0.01282051282051282	0.19117647058823528	0.09090909090909091	0.175	0.13414634146341464	0.2125	0.10294117647058823	0.0
HLA	HLA-A*33	0.09782608695652174	0.027777777777777776	0.09302325581395349	0.038461538461538464	0.0	0.05714285714285714	0.05	0.045454545454545456	0.07291666666666667	0.0	0.012195121951219513	0.06756756756756757	0.12121212121212122	0.0	0.02564102564102564	0.03125	0.11627906976744186	0.029411764705882353	0.15384615384615385	0.0	0.0	0.025	0.0	0.15	0.029411764705882353	0.06944444444444445
HLA	HLA-U*01	0.967391304347826	1.0	0.9767441860465116	0.9615384615384616	0.9655172413793104	0.9428571428571428	0.9875	0.9772727272727273	0.9895833333333334	1.0	0.9878048780487805	1.0	0.9848484848484849	0.95	1.0	0.953125	0.9069767441860465	0.9705882352941176	0.9615384615384616	0.9264705882352942	0.9545454545454546	0.9625	0.926829268292683	0.9625	1.0	0.9444444444444444
HLA	HLA-DQA1*01	0.4891304347826087	0.4861111111111111	0.5813953488372093	0.6923076923076923	0.41379310344827586	0.4142857142857143	0.4625	0.4659090909090909	0.4583333333333333	0.4444444444444444	0.35365853658536583	0.4594594594594595	0.4090909090909091	0.3625	0.5641025641025641	0.40625	0.3488372093023256	0.6323529411764706	0.3333333333333333	0.20588235294117646	0.14772727272727273	0.55	0.3780487804878049	0.475	0.4264705882352941	0.4861111111111111
HLA	HLA-DQA1*05	0.1956521739130435	0.20833333333333334	0.03488372093023256	0.02564102564102564	0.1206896551724138	0.18571428571428572	0.2375	0.1590909090909091	0.14583333333333334	0.1388888888888889	0.2073170731707317	0.20270270270270271	0.3181818181818182	0.275	0.02564102564102564	0.046875	0.05813953488372093	0.19117647058823528	0.34615384615384615	0.2647058823529412	0.3068181818181818	0.175	0.24390243902439024	0.075	0.27941176470588236	0.20833333333333334
HLA	HLA-DPA2*01	0.8152173913043478	0.8333333333333334	0.7790697674418605	0.6923076923076923	0.896551724137931	0.6714285714285714	0.5375	0.8181818181818182	0.8125	0.8055555555555556	0.9512195121951219	0.7297297297297297	0.8181818181818182	0.825	0.6025641025641025	0.78125	0.7790697674418605	0.6176470588235294	0.6794871794871795	0.9264705882352942	0.8181818181818182	0.7375	0.8048780487804879	0.675	0.75	0.7361111111111112
HLA	HLA-G*01	0.9891304347826086	0.9861111111111112	0.9767441860465116	0.9871794871794872	0.9482758620689655	0.9285714285714286	0.9625	0.9886363636363636	0.9791666666666666	0.9861111111111112	1.0	0.972972972972973	1.0	0.975	0.9358974358974359	0.90625	0.9302325581395349	0.9705882352941176	0.9743589743589743	0.9411764705882353	0.9659090909090909	0.95	0.9634146341463414	1.0	0.9852941176470589	0.9166666666666666
HLA	MICA*001	0.2717391304347826	0.3055555555555556	0.27906976744186046	0.2564102564102564	0.13793103448275862	0.2571428571428571	0.25	0.2159090909090909	0.3958333333333333	0.2638888888888889	0.2073170731707317	0.24324324324324326	0.3333333333333333	0.2	0.32051282051282054	0.3125	0.3488372093023256	0.27941176470588236	0.3333333333333333	0.36764705882352944	0.3409090909090909	0.2125	0.17073170731707318	0.2	0.35294117647058826	0.3888888888888889
HLA	MICA*010	0.0	0.027777777777777776	0.08139534883720931	0.32051282051282054	0.08620689655172414	0.17142857142857143	0.1875	0.022727272727272728	0.0	0.05555555555555555	0.036585365853658534	0.06756756756756757	0.0	0.0125	0.05128205128205128	0.109375	0.18604651162790697	0.0	0.0	0.14705882352941177	0.18181818181818182	0.05	0.04878048780487805	0.1375	0.058823529411764705	0.0
HLA	HLA-DQB1*06	0.29347826086956524	0.2361111111111111	0.29069767441860467	0.14102564102564102	0.2413793103448276	0.2571428571428571	0.2875	0.19318181818181818	0.2916666666666667	0.19444444444444445	0.21951219512195122	0.2702702702702703	0.09090909090909091	0.15	0.2948717948717949	0.296875	0.12790697674418605	0.3088235294117647	0.21794871794871795	0.08823529411764706	0.09090909090909091	0.35	0.1951219512195122	0.3	0.14705882352941177	0.2916666666666667
HLA	HLA-DQB1*03	0.22826086956521738	0.2916666666666667	0.23255813953488372	0.23076923076923078	0.41379310344827586	0.34285714285714286	0.5	0.3522727272727273	0.20833333333333334	0.3055555555555556	0.32926829268292684	0.32432432432432434	0.36363636363636365	0.35	0.38461538461538464	0.40625	0.47674418604651164	0.22058823529411764	0.2948717948717949	0.5294117647058824	0.6590909090909091	0.225	0.4146341463414634	0.375	0.3235294117647059	0.16666666666666666
HLA	MICB*002	0.20652173913043478	0.2638888888888889	0.18604651162790697	0.23076923076923078	0.15517241379310345	0.17142857142857143	0.2125	0.20454545454545456	0.2916666666666667	0.18055555555555555	0.15853658536585366	0.22972972972972974	0.2878787878787879	0.175	0.15384615384615385	0.15625	0.1744186046511628	0.23529411764705882	0.3076923076923077	0.14705882352941177	0.125	0.1	0.13414634146341464	0.125	0.14705882352941177	0.16666666666666666
HLA	MICB*005	0.5978260869565217	0.4583333333333333	0.6511627906976745	0.7051282051282052	0.41379310344827586	0.6428571428571429	0.625	0.48863636363636365	0.5104166666666666	0.4722222222222222	0.5975609756097561	0.5	0.3787878787878788	0.55	0.5641025641025641	0.546875	0.5348837209302325	0.5147058823529411	0.4230769230769231	0.5588235294117647	0.7386363636363636	0.6625	0.573170731707317	0.5875	0.5441176470588235	0.4583333333333333
HLA	TAP2*01	0.8152173913043478	0.75	0.6511627906976745	0.6923076923076923	0.7758620689655172	0.6285714285714286	0.7	0.75	0.8541666666666666	0.7916666666666666	0.8170731707317073	0.581081081081081	0.9393939393939394	0.7375	0.5256410256410257	0.609375	0.5930232558139535	0.8235294117647058	0.8589743589743589	0.6323529411764706	0.6363636363636364	0.5375	0.7317073170731707	0.6125	0.7647058823529411	0.8194444444444444
HLA	HLA-B*58	0.010869565217391304	0.05555555555555555	0.0	0.05128205128205128	0.0	0.08571428571428572	0.0625	0.011363636363636364	0.13541666666666666	0.0	0.0	0.04054054054054054	0.10606060606060606	0.0	0.02564102564102564	0.015625	0.05813953488372093	0.11764705882352941	0.07692307692307693	0.0	0.0	0.0125	0.012195121951219513	0.075	0.029411764705882353	0.1111111111111111
HLA	HLA-B*15	0.14130434782608695	0.08333333333333333	0.1511627906976744	0.08974358974358974	0.1206896551724138	0.18571428571428572	0.125	0.125	0.17708333333333334	0.06944444444444445	0.06097560975609756	0.06756756756756757	0.06060606060606061	0.0375	0.10256410256410256	0.078125	0.1744186046511628	0.11764705882352941	0.02564102564102564	0.08823529411764706	0.13636363636363635	0.1375	0.04878048780487805	0.2	0.04411764705882353	0.18055555555555555
HLA	HLA-V*01	0.6521739130434783	0.4583333333333333	0.47674418604651164	0.6282051282051282	0.3275862068965517	0.2857142857142857	0.6	0.4090909090909091	0.4479166666666667	0.4861111111111111	0.5975609756097561	0.527027027027027	0.45454545454545453	0.525	0.5384615384615384	0.46875	0.6046511627906976	0.5	0.5256410256410257	0.35294117647058826	0.5795454545454546	0.3875	0.5853658536585366	0.5875	0.5	0.3472222222222222
HLA	HLA-DOA*01	1.0	0.9861111111111112	1.0	1.0	1.0	0.9857142857142858	1.0	1.0	0.9895833333333334	0.9861111111111112	1.0	0.9864864864864865	0.9848484848484849	1.0	0.9615384615384616	0.9375	0.9418604651162791	0.9705882352941176	0.9615384615384616	0.8970588235294118	0.9886363636363636	1.0	0.9512195121951219	0.925	0.8676470588235294	0.9166666666666666
