HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_CI_lower,bootstrap_CI_upper,bootstrap_sign_stability,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate
HLA-DPB1*04,KIR2DL4*008,0.7503844890308649,1.0109180092105556e-05,0.014040651968787926,0.5374547929318265,0.9194470224185375,1.0,0.0,HLA_vs_KIR,0.0077,0.0003234937629473778,0.0,1.0
HLA-A*02,KIR3DL2*002,0.6750056075795907,0.00015506927941756404,0.003320929531535964,0.26633417168616313,0.8416945457470768,0.998,0.002,HLA_vs_KIR,0.0259,0.0016837743716370654,0.004901960784313725,0.8765432098765432
MICA*008,KIR3DL1*002,0.6744314668156505,0.00015785384734097487,0.019151246431521822,0.3797315424061265,0.851420443490959,1.0,0.0,HLA_vs_KIR,0.0261,0.0016837743716370654,0.00980392156862745,
HLA-DPA1*01,CYP2A13*2,-0.7614660964645587,6.24227334419996e-06,0.022071952513133656,-0.8811031635253697,-0.571432330726113,1.0,0.0,HLA_vs_CYP,0.0065,0.00030445463712210085,0.0,0.9795918367346939
MICA*004,CYP4F2*1,-0.7494913508898823,1.0498435762831064e-05,0.0074846140254011114,-0.8730210404252522,-0.557360573364065,1.0,0.0,HLA_vs_CYP,0.0078,0.00030445463712210085,0.0,
HLA-DPA1*01,CYP2A13*1,0.7225295832039552,3.067907549062203e-05,0.003269010452063903,0.5179427032929473,0.8504229250405427,1.0,0.0,HLA_vs_CYP,0.0119,0.00032113640825561315,0.0,0.5294117647058824
HLA-DPA1*01,CYP3A5*3,0.7193226241054895,3.457031794863223e-05,0.022192457196990804,0.5067013087169776,0.863171317718734,1.0,0.0,HLA_vs_CYP,0.0124,0.00032113640825561315,0.0,1.0
HLA-DRB3*02,CYP2A13*1,-0.7304704311310122,2.2664377745086447e-05,0.012774025491253178,-0.9012586379506535,-0.5041860869095179,1.0,0.0,HLA_vs_CYP,0.0102,0.00032113640825561315,0.0,0.4117647058823529
HLA-DQA1*05,CYP2C19*2,-0.72833847457209,2.460872973945371e-05,0.015154891924135308,-0.8600215130911503,-0.5081383023616356,1.0,0.0,HLA_vs_CYP,0.0107,0.00032113640825561315,0.0,1.0
HLA-DPB1*04,SLCO1B1*37,-0.7162110616321649,3.8757842375677454e-05,0.012206063953214486,-0.8577415544220655,-0.5438497788322649,1.0,0.0,HLA_vs_CYP,0.0129,0.00032113640825561315,0.0,
