HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate,replication_count,replication_pvalue,replication_pvalue_FDR
MICB*002,IGHV3-30*18,-0.7764501965278284,3.118177626975815e-06,0.0085604574250367,0.018,HLA_vs_IG,0.0057,0.0002046813944756,0.0053539559785841,0.2857142857142857,29,6.913335547011718e-15,9.926027643186549e-15
HLA-DPA1*02,IGKV3D-11*01,-0.7577202988074968,7.367820262243709e-06,0.0466272643373662,0.043,HLA_vs_IG,0.0084,0.00023363181198,0.0065437239738251,0.1,10,0.028188294163416113,0.029215020109765708
HLA-P*02,IGHV5-51*03,-0.7612341760123528,6.30721737799575e-06,0.0107287643053844,0.012,HLA_vs_IG,0.0081,0.00023363181198,0.0059488399762046,0.3111111111111111,31,1.0108323132423014e-16,1.6142373165553077e-16
HLA-G*01,IGLV2-33*01,0.7565223173950414,7.764199189670443e-06,0.009035821183185,0.044,HLA_vs_IG,0.0084,0.00023363181198,0.0068411659726353,0.7,70,5.461396206007878e-67,4.884048607087045e-66
HLA-DOB*01,IGLV4-69*01,0.7599460075092226,6.679044722430224e-06,0.0017497821217691,0.032,HLA_vs_IG,0.0081,0.00023363181198,0.0059488399762046,0.7647058823529411,76,3.1342710664854492e-77,4.087611849208107e-76
HLA-P*02,IGHV5-51*01,0.7427825490875616,1.3875955755466762e-05,0.0128675001129717,0.006,HLA_vs_IG,0.0102,0.0003280672396471,0.0080309339678762,0.3684210526315789,37,1.0764600283749784e-22,2.173754766976569e-22
TAP2*01,IGLV1-47*01,0.743126026992949,1.3682008187793365e-05,0.0404715514267731,0.006,HLA_vs_IG,0.0101,0.0003280672396471,0.0080309339678762,0.4545454545454545,45,1.1094588683593808e-31,2.8699225272436873e-31
HLA-DPB1*04,IGLV2-18*01,0.7368102708859302,1.7663158883925815e-05,0.0174570119034447,0.043,HLA_vs_IG,0.011,0.0003450497103849,0.0086258179654967,0.4545454545454545,45,1.1094588683593808e-31,2.8699225272436873e-31
HLA-DOB*01,IGHV4-34*01,0.7339628441130696,1.9772873001807312e-05,0.0044901622343543,0.018,HLA_vs_IG,0.0116,0.0003450497103849,0.0092207019631171,0.6153846153846154,62,1.8080709981428965e-54,1.0105825400334403e-53
HLA-DOA*01,IGLV1-36*01,0.7389443061997821,1.621579679232538e-05,0.000820268645113,0.009,HLA_vs_IG,0.0105,0.0003450497103849,0.0083283759666864,0.5384615384615384,54,4.029924491868508e-43,1.5572424271047448e-42
HLA-DPA1*01,IGHJ6*02,0.7308385783927207,2.234281314911431e-05,0.0234001196062805,0.034,HLA_vs_IG,0.0121,0.0003450497103849,0.0104104699583581,0.4615384615384615,46,6.963551147342128e-33,1.8952969644505097e-32
TAP2*01,IGHV4-55*01,0.7301655153635841,2.2933817608668444e-05,0.0147018648647241,0.033,HLA_vs_IG,0.0123,0.0003450497103849,0.0104104699583581,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
HLA-F*01,IGLV7-43*01,0.7281195375250737,2.481655174897746e-05,0.0146280737156602,0.016,HLA_vs_IG,0.013,0.0003473850409466,0.0107079119571683,0.6428571428571429,64,1.741858474816415e-57,1.160003622590506e-56
HLA-DRB4*01,IGHV7-81*01,0.7223514139259147,3.088459831277968e-05,0.0407716424964653,0.034,HLA_vs_IG,0.0139,0.0003786222978344,0.0121951219512195,0.2,20,1.0522953420147289e-07,1.2244180001881418e-07
MICA*001,IGHV3-71*04,0.716839807751455,3.7877173479826767e-05,0.0003762237321279,0.007,HLA_vs_IG,0.0152,0.0004133640151052,0.0130874479476502,0.5660377358490566,57,3.032326254918384e-47,1.3182196080409087e-46
HLA-DOB*01,IGKV6D-21*02,0.7163928740997404,3.850133636111673e-05,0.00169692731757,0.008,HLA_vs_IG,0.0152,0.0004133640151052,0.0130874479476502,0.4285714285714285,43,2.4983149218063545e-29,6.061802872289836e-29
HLA-F*01,IGLV4-69*01,0.7172880232545492,3.7260243196849295e-05,0.0087878400069209,0.015,HLA_vs_IG,0.0152,0.0004133640151052,0.0130874479476502,0.9375,94,4.4387693918080394e-114,6.946674098179582e-112
HLA-P*02,IGLV10-54*01,0.7028159221656914,6.237458443196964e-05,0.0060509420553028,0.007,HLA_vs_IG,0.0187,0.0005935314805281,0.0151695419393218,0.6285714285714286,63,5.732121661844965e-56,3.5883081603149486e-55
HLA-H*01,IGLV2-14*03,0.6924850213111822,8.850099973597525e-05,0.016911886790077,0.032,HLA_vs_IG,0.0216,0.000751123869554,0.0175490779298036,0.3958333333333333,40,6.238625307670539e-26,1.4358012656624107e-25
HLA-DOB*01,IGKV3D-20*01,0.6931997507452461,8.642404279178814e-05,0.0018627180763507,0.012,HLA_vs_IG,0.0215,0.000751123869554,0.0169541939321832,0.625,62,1.8080709981428965e-54,1.0105825400334403e-53
HLA-K*01,IGLV3-25*03,0.6838086653566011,0.0001174604856953,3.6002797772062405e-05,0.003,HLA_vs_IG,0.0238,0.0009482785552475,0.0199286139202855,0.3684210526315789,37,1.0764600283749784e-22,2.173754766976569e-22
HLA-T*01,IGHV2-70D*04,0.6771233469365793,0.0001451680314205,0.0190035247088243,0.027,HLA_vs_IG,0.0267,0.0011440623428618,0.0217132659131469,0.25,25,1.8159668438289814e-11,2.3105594395059804e-11
HLA-DOA*01,IGKV1-33*01,0.6746593696015807,0.0001567433082475,0.0043347847569785,0.023,HLA_vs_IG,0.0278,0.001194931154769,0.0220107079119571,0.5833333333333334,58,1.1813087972716542e-48,5.518651545463101e-48
HLA-DQB1*05,IGHV1-69*02,0.6706801853808656,0.0001771538888702,0.0036345831213679,0.049,HLA_vs_IG,0.0295,0.0013030652714676,0.0252825698988697,0.6984126984126984,70,5.461396206007878e-67,4.884048607087045e-66
HLA-F*01,IGHD2-2*01,0.6482266739200323,0.0003421421092076,0.0102045196776709,0.046,HLA_vs_IG,0.0384,0.002021864008805,0.0300416418798334,0.3076923076923077,31,1.0108323132423014e-16,1.6142373165553077e-16
HLA-H*02,IGHV4-39*07,0.6424445466586394,0.0004019428146856,0.0375343428148423,0.018,HLA_vs_IG,0.0407,0.0022173845276823,0.0336109458655562,0.1428571428571428,14,0.00046327338320381617,0.0004898803004824137
HLA-F*01,IGKV3D-7*01,0.6363729136951501,0.0004743654021872,0.0290709247618554,0.027,HLA_vs_IG,0.0447,0.0024923007638728,0.035990481856038,0.55,55,1.7707523327131524e-44,7.292703686042326e-44
HLA-V*01,IGKJ3*01,0.6368244467380558,0.0004686132546916,0.0047453368984995,0.002,HLA_vs_IG,0.0445,0.0024923007638728,0.0353955978584176,0.4545454545454545,45,1.1094588683593808e-31,2.8699225272436873e-31
HLA-U*01,IGHV3-32*02,0.6295340009371373,0.0005693249485405,0.0431934375820041,0.032,HLA_vs_IG,0.0485,0.0025693392380906,0.0380725758477097,0.6666666666666666,67,3.7710460022509734e-62,2.6825849970558062e-61
HLA-DPA1*02,IGLV3-21*02,-0.6322929017390203,0.0005291947629997,0.0014848682840111,0.006,HLA_vs_IG,0.0474,0.0025693392380906,0.0365853658536585,0.5,50,7.269307456113731e-38,2.275293233763598e-37
HLA-V*01,IGKJ5*01,0.6305531454490464,0.0005542027516155,0.00265229805481,0.011,HLA_vs_IG,0.0482,0.0025693392380906,0.0368828078524687,0.475,48,2.435209555040226e-35,7.40019990997661e-35
HLA-U*01,IGLV4-69*01,0.6291963099936048,0.0005744142103284,0.0154797328251039,0.039,HLA_vs_IG,0.0485,0.0025693392380906,0.0386674598453301,0.8636363636363636,86,2.8088988922540438e-96,1.2559790761078796e-94
HLA-DOB*01,IGLV3-25*03,0.628275243669614,0.000588497102028,0.0181208346089076,0.043,HLA_vs_IG,0.0495,0.0025972338769504,0.0389649018441403,0.631578947368421,63,5.732121661844965e-56,3.5883081603149486e-55
HLA-H*02,IGHV4-39*01,-0.627351415629964,0.0006029229228701,0.041246295720352,0.028,HLA_vs_IG,0.0497,0.0026258879930267,0.0389649018441403,0.3846153846153846,38,9.356496953871758e-24,1.9922337051441227e-23
TAP2*02,TRBJ1-6*02,-0.8442833630459979,5.919294218047834e-08,0.0409583027201395,0.041,HLA_vs_TCR,0.0017,2.939916128297092e-06,0.0002566076469078,0.1428571428571428,14,0.00046327338320381617,0.0004898803004824137
HLA-DOB*01,TRBJ1-3*01,0.8491593428804717,4.1493620691364126e-08,5.250387443039473e-05,0.017,HLA_vs_TCR,0.0014,2.939916128297092e-06,0.0002566076469078,0.5333333333333333,53,8.813680405188376e-42,3.170898812441335e-41
HLA-DOB*01,TRBD1*01,0.834972513358296,1.129467758025714e-07,0.0001687553957715,0.01,HLA_vs_TCR,0.0021,4.207267398645785e-06,0.0007698229407236,0.5333333333333333,53,8.813680405188376e-42,3.170898812441335e-41
TAP2*02,TRBJ1-6*01,0.8233627221528589,2.396395608193024e-07,0.0168786362336433,0.021,HLA_vs_TCR,0.0023,7.141258912415211e-06,0.0025660764690787,0.5172413793103449,52,1.8526290481546995e-40,6.4430321341380105e-40
TAP2*01,TRBV7-2*01,0.8102956174614289,5.250795828014827e-07,0.0028792977134106,0.003,HLA_vs_TCR,0.003,1.303947630623682e-05,0.0035925070567102,0.3478260869565217,35,1.2548522073632053e-20,2.2703395428016375e-20
TAP2*01,TRBV7-2*02,-0.7946324283480314,1.2472193012603903e-06,0.0124450279507086,0.014,HLA_vs_TCR,0.0039,1.9202898725512545e-05,0.0051321529381575,0.2142857142857142,21,2.081060771106718e-08,2.4766997009749152e-08
HLA-DOB*01,TRBJ1-5*01,0.7940112363599511,1.2887851493632578e-06,0.0014789598811846,0.026,HLA_vs_TCR,0.004,1.9202898725512545e-05,0.0051321529381575,0.5714285714285714,57,3.032326254918384e-47,1.3182196080409087e-46
HLA-DOB*01,TRBJ1-4*01,0.796538171615108,1.1270982273930646e-06,0.0021945037700027,0.011,HLA_vs_TCR,0.0036,1.9202898725512545e-05,0.0048755452912496,0.6470588235294118,65,5.071024182757454e-59,3.450501237398007e-58
TAP2*01,TRBJ1-6*01,-0.7909426018978511,1.5129245140636263e-06,0.0238075662014693,0.03,HLA_vs_TCR,0.0043,2.049325023595276e-05,0.0053887605850654,0.1904761904761904,19,5.01268942428067e-07,5.726174415327919e-07
TAP2*02,TRBV7-2*01,-0.7565652740775565,7.749663622368071e-06,0.0379053903469293,0.04,HLA_vs_TCR,0.0084,6.823980694780237e-05,0.0128303823453938,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
HLA-U*01,TRGJP*01,0.7326044355064885,2.0856054210446484e-05,1.314898163484091e-05,0.0,HLA_vs_TCR,0.0118,0.0001553776038678,0.0225814729278932,0.5384615384615384,54,4.029924491868508e-43,1.5572424271047448e-42
TAP2*02,TRAV9-2*01,0.7334821092307371,2.015034795994796e-05,0.0473434322563553,0.028,HLA_vs_TCR,0.0116,0.0001553776038678,0.0215550423402617,0.24,24,1.1457514988287699e-10,1.43448087653362e-10
HLA-T*01,TRAV8-7*01,0.7272951812506427,2.5613109672089488e-05,0.0008474729393705,0.005,HLA_vs_TCR,0.0131,0.0001817311114829,0.0233512958686168,0.6229508196721312,62,1.8080709981428965e-54,1.0105825400334403e-53
HLA-T*01,TRAV8-7*02,-0.7246085708294986,2.8369036877905544e-05,0.0008670862153087,0.003,HLA_vs_TCR,0.0134,0.0001921357497639,0.0243777264562483,0.3584905660377358,36,1.1872947940279577e-21,2.252262245640914e-21
TAP2*02,TRAV21*01,-0.6866164649200804,0.0001072890831293,0.0003830927064649,0.0,HLA_vs_TCR,0.023,0.000639442935451,0.0325891711573004,0.3181818181818182,32,1.1407734874850195e-17,1.8892174686921223e-17
HLA-K*01,TRBJ1-4*01,0.6872539059833486,0.0001050910840114,0.0023709199773532,0.015,HLA_vs_TCR,0.023,0.000639442935451,0.0323325635103926,0.6,60,1.586934678639369e-51,7.88429451450988e-51
TAP2*02,TRAV21*02,0.6796904199886182,0.0001339146433657,0.0031039334322099,0.002,HLA_vs_TCR,0.0256,0.0006909051143345,0.0379779317423659,0.5,50,7.269307456113731e-38,2.275293233763598e-37
MICB*002,TRAV8-7*01,0.6800505010426324,0.0001323991924006,0.0261133648501083,0.027,HLA_vs_TCR,0.0255,0.0006909051143345,0.037721324095458,0.3461538461538461,35,1.2548522073632053e-20,2.2703395428016375e-20
KIR2DL3*001,CYP2B6*1,0.8290643693608362,1.6678161546078494e-07,0.0071827663533907,0.001,KIR_vs_CYP,0.0021,5.670574925666687e-06,0.001503006012024,0.3809523809523809,38,9.356496953871758e-24,1.9922337051441227e-23
KIR2DL4*001,CYP4F2*1,0.7568614901535922,7.650090011250252e-06,0.0301460652625434,0.02,KIR_vs_CYP,0.0084,0.0001300515301912,0.003006012024048,0.25,25,1.8159668438289814e-11,2.3105594395059804e-11
KIR2DL1*003,CYP4F2*1,0.6976350312656213,7.447007442333391e-05,0.0054108448899785,0.034,KIR_vs_CYP,0.0202,0.0005063965060786,0.0180360721442885,0.36,36,1.1872947940279577e-21,2.252262245640914e-21
KIR2DS4*010,IGHV3-64*02,0.6737504398490403,0.0001612137199763,0.0382090741346174,0.018,KIR_vs_IG,0.0283,0.0018871488397229,0.0229497131285858,0.3,30,8.556384800197208e-16,1.2753087821246314e-15
KIR2DS4*001,IGHV3-20*04,0.6697568931014112,0.0001822105824321,0.0200718678439812,0.048,KIR_vs_IG,0.0303,0.0020144392168886,0.0236247046911913,0.4137931034482758,41,4.789204721185276e-27,1.127083517090971e-26
KIR2DL4*008,IGHV7-34-1*01,0.6444935729215931,0.0003797835982957,0.0144190950618247,0.012,KIR_vs_IG,0.0399,0.0028806007539295,0.0334120823489706,0.3684210526315789,37,1.0764600283749784e-22,2.173754766976569e-22
KIR2DL4*008,TRAJ16*01,0.8666477114345957,1.0395385418879609e-08,0.0071911925319314,0.005,KIR_vs_TCR,0.0009,6.60106974098855e-07,0.0,0.5789473684210527,58,1.1813087972716542e-48,5.518651545463101e-48
KIR2DL4*008,TRAJ13*02,-0.84710067146126,4.8280366148309246e-08,0.0243514809889342,0.009,KIR_vs_TCR,0.0016,2.0438688336117576e-06,0.0003012048192771,0.2692307692307692,27,3.9111493481777367e-13,5.276679939567378e-13
KIR2DL4*008,TRAJ16*02,-0.8382714825218224,9.025297786039249e-08,0.0108050333124026,0.007,KIR_vs_TCR,0.0019,2.865532047067461e-06,0.0003012048192771,0.4705882352941176,47,4.200403202565829e-34,1.184438020182977e-33
KIR3DL2*002,TRBV21-1*01,0.7581101030379191,7.242796319597364e-06,0.0032777358010734,0.009,KIR_vs_TCR,0.0083,0.0001129849624655,0.0120481927710843,0.3,30,8.556384800197208e-16,1.2753087821246314e-15
KIR2DL3*001,TRDV3*01,0.6793770340828805,0.000135245972299,0.0146162712626285,0.006,KIR_vs_TCR,0.0257,0.0008561752690334,0.0292168674698795,0.4210526315789473,42,3.5297506607461828e-28,8.369787551617843e-28
KIR2DS4*001,TRAJ16*02,0.6797597639954019,0.000133621618516,0.0179662966007396,0.021,KIR_vs_TCR,0.0255,0.0008561752690334,0.0286144578313253,0.2692307692307692,27,3.9111493481777367e-13,5.276679939567378e-13
CYP3A5*3,IGHV3-30-2*01,0.8998248523434077,4.0085615809515645e-10,0.0334612936733908,0.038,CYP_vs_IG,0.0006,8.498150551617317e-08,0.0002756339581036,0.2307692307692307,23,6.855551438923841e-10,8.447982678673867e-10
SLCO1B1*1,IGLV3-22*01,0.8599840606853641,1.800331199145016e-08,0.0220604955819223,0.016,CYP_vs_IG,0.0012,9.541755355468586e-07,0.0019294377067254,0.2068965517241379,21,2.081060771106718e-08,2.4766997009749152e-08
CYP3A5*3,IGHV3-30*18,0.8350636884923509,1.122561494415682e-07,0.009904603327436,0.007,CYP_vs_IG,0.0021,4.75966073632249e-06,0.00303197353914,0.4444444444444444,44,1.698533333510033e-30,4.3222840112897586e-30
CYP3A5*1,IGHV3-30*18,-0.8101441670506703,5.296884773637217e-07,0.0381123582070185,0.039,CYP_vs_IG,0.003,1.8715659533518165e-05,0.0066152149944873,0.3,30,8.556384800197208e-16,1.2753087821246314e-15
SLCO1B1*1,IGLV6-57*01,-0.7718071176704454,3.887762815994662e-06,0.0093472770355102,0.021,CYP_vs_IG,0.0062,0.0001177436738558,0.0113009922822491,0.1818181818181818,18,2.2448082884012493e-06,2.491577993863798e-06
CYP2C9*1,IGLV1-47*01,0.7453341555185933,1.2491762627054909e-05,0.0004460417251746,0.002,CYP_vs_IG,0.0098,0.0003005901904661,0.0135060639470782,0.3636363636363636,36,1.1872947940279577e-21,2.252262245640914e-21
CYP2A13*2,IGHV1-69*06,-0.7344576790046146,1.9390904357218106e-05,0.0296487772148265,0.014,CYP_vs_IG,0.0114,0.0003162209018254,0.0151598676957001,0.1785714285714285,18,2.2448082884012493e-06,2.491577993863798e-06
CYP2C9*1,IGHV3-33*01,-0.7312425456031999,2.199463089637664e-05,0.0046170732971117,0.005,CYP_vs_IG,0.0121,0.0003300933974559,0.0157111356119073,0.375,38,9.356496953871758e-24,1.9922337051441227e-23
CYP3A5*3,IGKV3D-15*01,0.7296944575136627,2.3355664914335863e-05,0.0065370623535748,0.021,CYP_vs_IG,0.0126,0.0003300933974559,0.0162624035281146,0.3478260869565217,35,1.2548522073632053e-20,2.2703395428016375e-20
CYP3A5*1,IGLV3-22*03,0.7253023515003745,2.7633263852884617e-05,0.0243830276285743,0.047,CYP_vs_IG,0.0134,0.0003661407460507,0.0168136714443219,0.2857142857142857,29,6.913335547011718e-15,9.926027643186549e-15
CYP2D6*2,IGHV3-25*05,-0.7229573401322184,3.019059210257236e-05,0.0005271132073157,0.004,CYP_vs_IG,0.0136,0.0003764944426909,0.0173649393605292,0.4285714285714285,43,2.4983149218063545e-29,6.061802872289836e-29
SLCO1B1*1,IGHV3-11*06,0.6906725806728996,9.396651781197714e-05,0.0350707378794227,0.046,CYP_vs_IG,0.0223,0.0008661261641799,0.0270121278941565,0.2608695652173913,26,2.7331914071559116e-12,3.640378342297023e-12
CYP2B6*6,IGLV3-21*04,-0.6915616700047649,9.124931785163913e-05,0.0014766322518508,0.04,CYP_vs_IG,0.0219,0.0008661261641799,0.0270121278941565,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
CYP2B6*17,IGKV1D-42*02,0.6851258097681562,0.0001125879458558,0.0043487556497653,0.004,CYP_vs_IG,0.0235,0.0009547457808571,0.0292171995589856,0.3947368421052631,39,7.79988822752039e-25,1.7438321537242016e-24
CYP2C9*1,IGHV4-61*02,0.6860840622601554,0.0001091558355381,0.0059447712990755,0.048,CYP_vs_IG,0.0233,0.0009547457808571,0.028941565600882,0.3902439024390244,39,7.79988822752039e-25,1.7438321537242016e-24
CYP2A13*2,IGHV7-4-1*01,-0.6827587434045547,0.0001214765319769,0.0126239609184395,0.008,CYP_vs_IG,0.0239,0.0009905009530428,0.0303197353914002,0.3235294117647059,32,1.1407734874850195e-17,1.8892174686921223e-17
CYP2D6*2,IGLJ7*01,-0.6782083162029797,0.0001403142052364,0.0029409900653368,0.002,CYP_vs_IG,0.0263,0.0011017263522268,0.0322491730981256,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
CYP2C9*1,IGHV3-69-1*02,0.6765985498878729,0.0001475683514854,0.0009156330443842,0.004,CYP_vs_IG,0.0268,0.0011173032326755,0.0325248070562293,0.5384615384615384,54,4.029924491868508e-43,1.5572424271047448e-42
CYP2B6*6,IGHV3-49*03,0.6733562214705677,0.0001631871944127,0.0374772933131511,0.038,CYP_vs_IG,0.0286,0.0011929546626036,0.0330760749724366,0.2,20,1.0522953420147289e-07,1.2244180001881418e-07
CYP2B6*6,IGLV3-21*03,0.67113954114957,0.0001746843186072,0.002916251194004,0.023,CYP_vs_IG,0.0292,0.0012344358514915,0.0339029768467475,0.6,60,1.586934678639369e-51,7.88429451450988e-51
CYP4F2*1,IGKV1-27*01,-0.6656198677446441,0.0002064577758046,0.0243651357424592,0.045,CYP_vs_IG,0.0319,0.0013677827647056,0.0347298787210584,0.2727272727272727,27,3.9111493481777367e-13,5.276679939567378e-13
CYP2B6*1,IGHV3-25*05,0.6557416907591199,0.0002761266683879,0.0324576000121891,0.04,CYP_vs_IG,0.0361,0.0015821311810337,0.0385887541345093,0.25,25,1.8159668438289814e-11,2.3105594395059804e-11
CYP2C9*1,IGHV3-64*02,-0.6559002354476636,0.0002748635305656,0.0149085591812335,0.007,CYP_vs_IG,0.0359,0.0015821311810337,0.038037486218302,0.4285714285714285,43,2.4983149218063545e-29,6.061802872289836e-29
SLCO1B1*1,IGHV3-33*05,0.653336941491282,0.0002959183254557,0.0185989258550096,0.043,CYP_vs_IG,0.0368,0.0016343421735615,0.038864388092613,0.1875,19,5.01268942428067e-07,5.726174415327919e-07
NUDT15*1,IGHD4-4*01,0.6512119143447334,0.000314429659179,0.0217170249740244,0.028,CYP_vs_IG,0.0375,0.0016664771936488,0.0405181918412348,0.1785714285714285,18,2.2448082884012493e-06,2.491577993863798e-06
CYP2B6*17,IGKV1D-12*02,0.6482740490411222,0.0003416861786763,0.0098831675635583,0.003,CYP_vs_IG,0.0384,0.0017596665247568,0.0410694597574421,0.375,38,9.356496953871758e-24,1.9922337051441227e-23
SLCO1B1*1,IGHV3-13*05,0.6475601542212522,0.0003486131794329,0.0164748334409209,0.03,CYP_vs_IG,0.0385,0.0017596665247568,0.041896361631753,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
CYP3A4*1,IGHV3-30*04,0.6415129666564893,0.0004123849792555,0.0013665788787052,0.017,CYP_vs_IG,0.0413,0.0019427914578263,0.044928335170893,0.3571428571428571,36,1.1872947940279577e-21,2.252262245640914e-21
NAT2*4,IGHV8-51-1*03,0.6392235649065943,0.0004390587098815,0.0016458209891528,0.007,CYP_vs_IG,0.0429,0.0019804350318061,0.0454796030871003,0.5,50,7.269307456113731e-38,2.275293233763598e-37
SLCO1B1*1,IGHV4-59*01,0.6327759322345844,0.0005224281909152,0.0445316231561042,0.047,CYP_vs_IG,0.0471,0.0022603015606947,0.0496141124586549,0.1818181818181818,18,2.2448082884012493e-06,2.491577993863798e-06
SLCO1B1*1,TRAV21*02,0.7975375398009474,1.068351937556936e-06,0.0088169786599092,0.027,CYP_vs_TCR,0.0036,3.897160399072857e-05,0.0084745762711864,0.2857142857142857,29,6.913335547011718e-15,9.926027643186549e-15
CYP4F2*1,TRBV9*01,0.7915614220797469,1.465097894388292e-06,0.009679046327201,0.026,CYP_vs_TCR,0.0041,3.897160399072857e-05,0.0096516007532956,0.5263157894736842,53,8.813680405188376e-42,3.170898812441335e-41
CYP3A5*3,TRAV12-2*01,0.8061134401299842,6.665306599481079e-07,0.0246504449191211,0.032,CYP_vs_TCR,0.0031,3.897160399072857e-05,0.0058851224105461,0.1818181818181818,18,2.2448082884012493e-06,2.491577993863798e-06
CYP4F2*4,TRBV24-1*02,0.793262764572851,1.3405158872373785e-06,0.0002845428025873,0.004,CYP_vs_TCR,0.004,3.897160399072857e-05,0.0084745762711864,0.5967741935483871,60,1.586934678639369e-51,7.88429451450988e-51
CYP2C19*2,TRBJ1-6*02,-0.7790344597530574,2.751705951845885e-06,0.0138329656802987,0.031,CYP_vs_TCR,0.0056,6.0996148599250455e-05,0.0127118644067796,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
CYP4F2*4,TRAJ16*01,0.7703089932978773,4.170038316059363e-06,0.0072201116285245,0.011,CYP_vs_TCR,0.0065,6.162389955954392e-05,0.016713747645951,0.6052631578947368,61,5.468969260418885e-53,2.9013345398493408e-52
CYP4F2*4,TRBV24-1*01,-0.7514565055626187,9.658986578576148e-06,8.698287802380574e-05,0.003,CYP_vs_TCR,0.009,9.17603724964734e-05,0.02424670433145,0.1818181818181818,18,2.2448082884012493e-06,2.491577993863798e-06
CYP2A6*1,TRBV24-1*02,0.73365227230332,2.0016009249319192e-05,0.0002776127939376,0.002,CYP_vs_TCR,0.0116,0.0001774752820106,0.0287193973634651,0.5384615384615384,54,4.029924491868508e-43,1.5572424271047448e-42
CYP2A6*1,TRBV21-1*01,-0.7031243151944601,6.171281318995183e-05,0.0003475875064929,0.008,CYP_vs_TCR,0.0186,0.0005129877596414,0.0383709981167608,0.2592592592592592,26,2.7331914071559116e-12,3.640378342297023e-12
