HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate,replication_count,replication_pvalue,replication_pvalue_FDR
HLA-DPB1*04,KIR2DL4*008,0.7503844890308649,1.0109180092105556e-05,0.0148884057439124,0.023,HLA_vs_KIR,0.0092,0.000293166222671,0.0,0.2894736842105263,29,6.913335547011718e-15,9.926027643186549e-15
HLA-DPA1*01,CYP2A13*2,-0.7614660964645587,6.24227334419996e-06,0.0217130385539183,0.033,HLA_vs_CYP,0.008,0.0002939562013592,0.0017182130584192,0.3666666666666666,37,1.0764600283749784e-22,2.173754766976569e-22
HLA-DPA1*01,CYP2A13*1,0.7225295832039552,3.067907549062203e-05,0.0032163646278875,0.004,HLA_vs_CYP,0.0138,0.0003100627390054,0.011168384879725,0.5769230769230769,58,1.1813087972716542e-48,5.518651545463101e-48
HLA-DPA1*01,CYP3A5*3,0.7193226241054895,3.457031794863223e-05,0.0211530365285488,0.024,HLA_vs_CYP,0.0148,0.0003100627390054,0.0124570446735395,0.25,25,1.8159668438289814e-11,2.3105594395059804e-11
HLA-DRB3*02,CYP2A13*1,-0.7304704311310122,2.2664377745086447e-05,0.013477265779752,0.021,HLA_vs_CYP,0.0123,0.0003100627390054,0.009020618556701,0.2058823529411764,21,2.081060771106718e-08,2.4766997009749152e-08
HLA-DQA1*05,CYP2C19*2,-0.72833847457209,2.460872973945371e-05,0.0154456436831685,0.015,HLA_vs_CYP,0.013,0.0003100627390054,0.0103092783505154,0.2258064516129032,23,6.855551438923841e-10,8.447982678673867e-10
MICB*002,CYP3A5*1,0.7071173490561352,5.368763182234832e-05,0.0432414982475451,0.041,HLA_vs_CYP,0.0175,0.0003340563757835,0.0189003436426116,0.36,36,1.1872947940279577e-21,2.252262245640914e-21
HLA-T*03,CYP2C19*2,0.671561256666153,0.0001724437850028,0.0009943089757547,0.005,HLA_vs_CYP,0.029,0.0008778956327418,0.0244845360824742,0.6136363636363636,61,5.468969260418885e-53,2.9013345398493408e-52
HLA-DRB4*01,IGHV4-61*01,0.7961860592492606,1.1484771598523529e-06,0.0211363962614686,0.046,HLA_vs_IG,0.0036,9.503648497778218e-05,0.0023795359904818,0.52,52,1.8526290481546995e-40,6.4430321341380105e-40
TAP2*01,IGLV6-57*01,0.8032551100003459,7.820056857669048e-07,0.0243455560509433,0.03,HLA_vs_IG,0.0033,9.503648497778218e-05,0.0020820939916716,0.1666666666666666,17,9.429030653736504e-06,1.0176850326274227e-05
HLA-C*04,IGHV4-39*01,-0.7995812590891823,9.566936385061114e-07,0.0092327790033609,0.02,HLA_vs_IG,0.0034,9.503648497778218e-05,0.0023795359904818,0.1739130434782608,17,9.429030653736504e-06,1.0176850326274227e-05
HLA-K*01,IGLV4-69*01,0.8095058096403189,5.495172043021588e-07,4.356396182010173e-05,0.002,HLA_vs_IG,0.003,9.503648497778218e-05,0.0017846519928613,0.5625,56,7.476127151246606e-46,3.16219972748674e-45
HLA-V*01,IGKJ4*01,0.7714076597168235,3.961306179036571e-06,4.622618473158047e-06,0.0,HLA_vs_IG,0.0064,0.0002046813944756,0.0056513979773944,0.7536231884057971,75,1.8120261070502625e-75,1.9557385224370077e-74
