gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,42,42,1.0,KIR,KIR2,0,1
KIR2DL2,4,4,1.0,KIR,KIR2,0,1
KIR2DL3,32,34,0.941,KIR,KIR2,0,1
KIR2DL4,44,46,0.957,KIR,KIR2,0,1
KIR2DL5A,2,2,1.0,KIR,KIR2,0,1
KIR2DL5B,2,2,1.0,KIR,KIR2,0,1
KIR2DP1,36,44,0.818,KIR,KIR2,0,1
KIR2DS1,4,4,1.0,KIR,KIR2,0,1
KIR2DS2,2,2,1.0,KIR,KIR2,0,1
KIR2DS3,2,2,1.0,KIR,KIR2,0,1
KIR2DS4,38,38,1.0,KIR,KIR2,0,1
KIR2DS5,4,4,1.0,KIR,KIR2,0,1
KIR3DL1,39,40,0.975,KIR,KIR3,0,1
KIR3DL2,49,54,0.907,KIR,KIR3,0,1
KIR3DL3,52,56,0.929,KIR,KIR3,0,1
KIR3DP1,23,30,0.767,KIR,KIR3,0,1
KIR3DS1,2,2,1.0,KIR,KIR3,0,1
KIR2DL1,42,42,1.0,KIR,KIR2,5,1
KIR2DL2,4,4,1.0,KIR,KIR2,5,1
KIR2DL3,32,34,0.941,KIR,KIR2,5,1
KIR2DL4,44,46,0.957,KIR,KIR2,5,1
KIR2DL5A,2,2,1.0,KIR,KIR2,5,1
KIR2DL5B,2,2,1.0,KIR,KIR2,5,1
KIR2DP1,36,44,0.818,KIR,KIR2,5,1
KIR2DS1,4,4,1.0,KIR,KIR2,5,1
KIR2DS2,2,2,1.0,KIR,KIR2,5,1
KIR2DS3,2,2,1.0,KIR,KIR2,5,1
KIR2DS4,38,38,1.0,KIR,KIR2,5,1
KIR2DS5,4,4,1.0,KIR,KIR2,5,1
KIR3DL1,39,40,0.975,KIR,KIR3,5,1
KIR3DL2,49,54,0.907,KIR,KIR3,5,1
KIR3DL3,52,56,0.929,KIR,KIR3,5,1
KIR3DP1,22,28,0.786,KIR,KIR3,5,1
KIR3DS1,2,2,1.0,KIR,KIR3,5,1
KIR2DL1,42,42,1.0,KIR,KIR2,10,1
KIR2DL2,4,4,1.0,KIR,KIR2,10,1
KIR2DL3,32,34,0.941,KIR,KIR2,10,1
KIR2DL4,44,46,0.957,KIR,KIR2,10,1
KIR2DL5A,2,2,1.0,KIR,KIR2,10,1
KIR2DL5B,2,2,1.0,KIR,KIR2,10,1
KIR2DP1,36,44,0.818,KIR,KIR2,10,1
KIR2DS1,4,4,1.0,KIR,KIR2,10,1
KIR2DS2,2,2,1.0,KIR,KIR2,10,1
KIR2DS3,2,2,1.0,KIR,KIR2,10,1
KIR2DS4,38,38,1.0,KIR,KIR2,10,1
KIR2DS5,4,4,1.0,KIR,KIR2,10,1
KIR3DL1,39,40,0.975,KIR,KIR3,10,1
KIR3DL2,49,54,0.907,KIR,KIR3,10,1
KIR3DL3,52,56,0.929,KIR,KIR3,10,1
KIR3DP1,15,18,0.833,KIR,KIR3,10,1
KIR3DS1,2,2,1.0,KIR,KIR3,10,1
KIR2DL1,42,42,1.0,KIR,KIR2,15,1
KIR2DL2,4,4,1.0,KIR,KIR2,15,1
KIR2DL3,32,34,0.941,KIR,KIR2,15,1
KIR2DL4,44,46,0.957,KIR,KIR2,15,1
KIR2DL5A,2,2,1.0,KIR,KIR2,15,1
KIR2DL5B,2,2,1.0,KIR,KIR2,15,1
KIR2DP1,36,44,0.818,KIR,KIR2,15,1
KIR2DS1,4,4,1.0,KIR,KIR2,15,1
KIR2DS2,2,2,1.0,KIR,KIR2,15,1
KIR2DS3,2,2,1.0,KIR,KIR2,15,1
KIR2DS4,38,38,1.0,KIR,KIR2,15,1
KIR2DS5,4,4,1.0,KIR,KIR2,15,1
KIR3DL1,39,40,0.975,KIR,KIR3,15,1
KIR3DL2,49,54,0.907,KIR,KIR3,15,1
KIR3DL3,52,56,0.929,KIR,KIR3,15,1
KIR3DP1,8,8,1.0,KIR,KIR3,15,1
KIR3DS1,2,2,1.0,KIR,KIR3,15,1
KIR2DL1,42,42,1.0,KIR,KIR2,20,1
KIR2DL2,4,4,1.0,KIR,KIR2,20,1
KIR2DL3,32,34,0.941,KIR,KIR2,20,1
KIR2DL4,44,46,0.957,KIR,KIR2,20,1
KIR2DL5A,2,2,1.0,KIR,KIR2,20,1
KIR2DP1,36,44,0.818,KIR,KIR2,20,1
KIR2DS1,4,4,1.0,KIR,KIR2,20,1
KIR2DS2,2,2,1.0,KIR,KIR2,20,1
KIR2DS3,2,2,1.0,KIR,KIR2,20,1
KIR2DS4,38,38,1.0,KIR,KIR2,20,1
KIR2DS5,4,4,1.0,KIR,KIR2,20,1
KIR3DL1,39,40,0.975,KIR,KIR3,20,1
KIR3DL2,49,54,0.907,KIR,KIR3,20,1
KIR3DL3,52,56,0.929,KIR,KIR3,20,1
KIR3DP1,4,4,1.0,KIR,KIR3,20,1
KIR3DS1,2,2,1.0,KIR,KIR3,20,1
