sample,gene,read_num
HG01175,KIR3DL3,59
HG01175,KIR3DP1,5
HG01175,KIR3DS1,17
HG01243,KIR2DL1,0
HG01243,KIR2DL2,44
HG01243,KIR2DL3,0
HG01243,KIR2DL4,0
HG01243,KIR2DL5A,8
HG01243,KIR2DL5B,16
HG01243,KIR2DP1,0
HG01243,KIR2DS1,37
HG01243,KIR2DS2,37
HG01243,KIR2DS3,0
HG01243,KIR2DS4,0
HG01243,KIR2DS5,32
HG01243,KIR3DL1,1
HG01243,KIR3DL2,124
HG01243,KIR3DL3,32
HG01243,KIR3DP1,0
HG01243,KIR3DS1,0
HG01258,KIR2DL1,27
HG01258,KIR2DL2,27
HG01258,KIR2DL3,28
HG01258,KIR2DL4,40
HG01258,KIR2DL5A,21
HG01258,KIR2DL5B,0
HG01258,KIR2DP1,20
HG01258,KIR2DS1,41
HG01258,KIR2DS2,18
HG01258,KIR2DS3,0
HG01258,KIR2DS4,0
HG01258,KIR2DS5,34
HG01258,KIR3DL1,0
HG01258,KIR3DL2,115
HG01258,KIR3DL3,57
HG01258,KIR3DP1,16
HG01258,KIR3DS1,39
HG01358,KIR2DL1,28
HG01358,KIR2DL2,24
HG01358,KIR2DL3,29
HG01358,KIR2DL4,33
HG01358,KIR2DL5A,3
HG01358,KIR2DL5B,9
HG01358,KIR2DP1,28
HG01358,KIR2DS1,15
HG01358,KIR2DS2,12
HG01358,KIR2DS3,0
HG01358,KIR2DS4,29
HG01358,KIR2DS5,14
HG01358,KIR3DL1,31
HG01358,KIR3DL2,146
HG01358,KIR3DL3,61
HG01358,KIR3DP1,7
HG01358,KIR3DS1,0
HG01361,KIR2DL1,29
HG01361,KIR2DL2,24
HG01361,KIR2DL3,29
HG01361,KIR2DL4,57
HG01361,KIR2DL5A,9
HG01361,KIR2DL5B,0
HG01361,KIR2DP1,26
HG01361,KIR2DS1,21
HG01361,KIR2DS2,22
HG01361,KIR2DS3,0
HG01361,KIR2DS4,32
HG01361,KIR2DS5,19
HG01361,KIR3DL1,23
HG01361,KIR3DL2,151
HG01361,KIR3DL3,54
HG01361,KIR3DP1,20
HG01361,KIR3DS1,24
HG01891,KIR2DL1,78
HG01891,KIR2DL2,15
HG01891,KIR2DL3,22
HG01891,KIR2DL4,53
HG01891,KIR2DL5A,0
HG01891,KIR2DL5B,13
HG01891,KIR2DP1,49
