gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,46,48,0.958,KIR,KIR2,0,3
KIR2DL2,3,4,0.75,KIR,KIR2,0,3
KIR2DL3,37,40,0.925,KIR,KIR2,0,3
KIR2DL4,53,56,0.946,KIR,KIR2,0,3
KIR2DP1,49,50,0.98,KIR,KIR2,0,3
KIR2DS1,2,2,1.0,KIR,KIR2,0,3
KIR2DS2,2,2,1.0,KIR,KIR2,0,3
KIR2DS3,2,2,1.0,KIR,KIR2,0,3
KIR2DS4,39,42,0.929,KIR,KIR2,0,3
KIR2DS5,2,2,1.0,KIR,KIR2,0,3
KIR3DL1,33,40,0.825,KIR,KIR3,0,3
KIR3DL2,59,68,0.868,KIR,KIR3,0,3
KIR3DL3,63,72,0.875,KIR,KIR3,0,3
KIR3DP1,5,6,0.833,KIR,KIR3,0,3
KIR2DL1,46,48,0.958,KIR,KIR2,5,3
KIR2DL2,3,4,0.75,KIR,KIR2,5,3
KIR2DL3,37,40,0.925,KIR,KIR2,5,3
KIR2DL4,53,56,0.946,KIR,KIR2,5,3
KIR2DP1,49,50,0.98,KIR,KIR2,5,3
KIR2DS1,2,2,1.0,KIR,KIR2,5,3
KIR2DS2,2,2,1.0,KIR,KIR2,5,3
KIR2DS3,2,2,1.0,KIR,KIR2,5,3
KIR2DS4,39,42,0.929,KIR,KIR2,5,3
KIR2DS5,2,2,1.0,KIR,KIR2,5,3
KIR3DL1,33,40,0.825,KIR,KIR3,5,3
KIR3DL2,59,68,0.868,KIR,KIR3,5,3
KIR3DL3,63,72,0.875,KIR,KIR3,5,3
KIR3DP1,5,6,0.833,KIR,KIR3,5,3
KIR2DL1,43,44,0.977,KIR,KIR2,10,3
KIR2DL2,3,4,0.75,KIR,KIR2,10,3
KIR2DL3,37,40,0.925,KIR,KIR2,10,3
KIR2DL4,48,50,0.96,KIR,KIR2,10,3
KIR2DP1,47,48,0.979,KIR,KIR2,10,3
KIR2DS1,2,2,1.0,KIR,KIR2,10,3
KIR2DS2,2,2,1.0,KIR,KIR2,10,3
KIR2DS3,2,2,1.0,KIR,KIR2,10,3
KIR2DS4,39,42,0.929,KIR,KIR2,10,3
KIR2DS5,2,2,1.0,KIR,KIR2,10,3
KIR3DL1,32,38,0.842,KIR,KIR3,10,3
KIR3DL2,59,68,0.868,KIR,KIR3,10,3
KIR3DL3,59,68,0.868,KIR,KIR3,10,3
KIR3DP1,3,4,0.75,KIR,KIR3,10,3
KIR2DL1,39,40,0.975,KIR,KIR2,15,3
KIR2DL2,1,2,0.5,KIR,KIR2,15,3
KIR2DL3,33,36,0.917,KIR,KIR2,15,3
KIR2DL4,45,46,0.978,KIR,KIR2,15,3
KIR2DP1,39,40,0.975,KIR,KIR2,15,3
KIR2DS1,2,2,1.0,KIR,KIR2,15,3
KIR2DS2,2,2,1.0,KIR,KIR2,15,3
KIR2DS3,2,2,1.0,KIR,KIR2,15,3
KIR2DS4,35,38,0.921,KIR,KIR2,15,3
KIR2DS5,2,2,1.0,KIR,KIR2,15,3
KIR3DL1,30,36,0.833,KIR,KIR3,15,3
KIR3DL2,59,68,0.868,KIR,KIR3,15,3
KIR3DL3,53,62,0.855,KIR,KIR3,15,3
KIR3DP1,3,4,0.75,KIR,KIR3,15,3
KIR2DL1,33,34,0.971,KIR,KIR2,20,3
KIR2DL2,1,2,0.5,KIR,KIR2,20,3
KIR2DL3,29,32,0.906,KIR,KIR2,20,3
KIR2DL4,37,38,0.974,KIR,KIR2,20,3
KIR2DP1,33,34,0.971,KIR,KIR2,20,3
KIR2DS1,2,2,1.0,KIR,KIR2,20,3
KIR2DS2,2,2,1.0,KIR,KIR2,20,3
KIR2DS4,33,36,0.917,KIR,KIR2,20,3
KIR2DS5,2,2,1.0,KIR,KIR2,20,3
KIR3DL1,26,32,0.812,KIR,KIR3,20,3
KIR3DL2,58,66,0.879,KIR,KIR3,20,3
KIR3DL3,42,48,0.875,KIR,KIR3,20,3
KIR3DP1,1,2,0.5,KIR,KIR3,20,3
