gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,42,42,1.0,KIR,KIR2,0,3
KIR2DL2,4,4,1.0,KIR,KIR2,0,3
KIR2DL3,32,34,0.941,KIR,KIR2,0,3
KIR2DL4,43,46,0.935,KIR,KIR2,0,3
KIR2DL5A,2,2,1.0,KIR,KIR2,0,3
KIR2DL5B,2,2,1.0,KIR,KIR2,0,3
KIR2DP1,36,44,0.818,KIR,KIR2,0,3
KIR2DS1,4,4,1.0,KIR,KIR2,0,3
KIR2DS2,2,2,1.0,KIR,KIR2,0,3
KIR2DS3,2,2,1.0,KIR,KIR2,0,3
KIR2DS4,34,38,0.895,KIR,KIR2,0,3
KIR2DS5,4,4,1.0,KIR,KIR2,0,3
KIR3DL1,39,40,0.975,KIR,KIR3,0,3
KIR3DL2,45,54,0.833,KIR,KIR3,0,3
KIR3DL3,50,56,0.893,KIR,KIR3,0,3
KIR3DP1,21,30,0.7,KIR,KIR3,0,3
KIR3DS1,2,2,1.0,KIR,KIR3,0,3
KIR2DL1,42,42,1.0,KIR,KIR2,5,3
KIR2DL2,4,4,1.0,KIR,KIR2,5,3
KIR2DL3,32,34,0.941,KIR,KIR2,5,3
KIR2DL4,43,46,0.935,KIR,KIR2,5,3
KIR2DL5A,2,2,1.0,KIR,KIR2,5,3
KIR2DL5B,2,2,1.0,KIR,KIR2,5,3
KIR2DP1,36,44,0.818,KIR,KIR2,5,3
KIR2DS1,4,4,1.0,KIR,KIR2,5,3
KIR2DS2,2,2,1.0,KIR,KIR2,5,3
KIR2DS3,2,2,1.0,KIR,KIR2,5,3
KIR2DS4,34,38,0.895,KIR,KIR2,5,3
KIR2DS5,4,4,1.0,KIR,KIR2,5,3
KIR3DL1,39,40,0.975,KIR,KIR3,5,3
KIR3DL2,45,54,0.833,KIR,KIR3,5,3
KIR3DL3,50,56,0.893,KIR,KIR3,5,3
KIR3DP1,20,28,0.714,KIR,KIR3,5,3
KIR3DS1,2,2,1.0,KIR,KIR3,5,3
KIR2DL1,42,42,1.0,KIR,KIR2,10,3
KIR2DL2,4,4,1.0,KIR,KIR2,10,3
KIR2DL3,32,34,0.941,KIR,KIR2,10,3
KIR2DL4,43,46,0.935,KIR,KIR2,10,3
KIR2DL5A,2,2,1.0,KIR,KIR2,10,3
KIR2DL5B,2,2,1.0,KIR,KIR2,10,3
KIR2DP1,36,44,0.818,KIR,KIR2,10,3
KIR2DS1,4,4,1.0,KIR,KIR2,10,3
KIR2DS2,2,2,1.0,KIR,KIR2,10,3
KIR2DS3,2,2,1.0,KIR,KIR2,10,3
KIR2DS4,34,38,0.895,KIR,KIR2,10,3
KIR2DS5,4,4,1.0,KIR,KIR2,10,3
KIR3DL1,39,40,0.975,KIR,KIR3,10,3
KIR3DL2,45,54,0.833,KIR,KIR3,10,3
KIR3DL3,50,56,0.893,KIR,KIR3,10,3
KIR3DP1,13,18,0.722,KIR,KIR3,10,3
KIR3DS1,2,2,1.0,KIR,KIR3,10,3
KIR2DL1,42,42,1.0,KIR,KIR2,15,3
KIR2DL2,4,4,1.0,KIR,KIR2,15,3
KIR2DL3,32,34,0.941,KIR,KIR2,15,3
KIR2DL4,43,46,0.935,KIR,KIR2,15,3
KIR2DL5A,2,2,1.0,KIR,KIR2,15,3
KIR2DL5B,2,2,1.0,KIR,KIR2,15,3
KIR2DP1,36,44,0.818,KIR,KIR2,15,3
KIR2DS1,4,4,1.0,KIR,KIR2,15,3
KIR2DS2,2,2,1.0,KIR,KIR2,15,3
KIR2DS3,2,2,1.0,KIR,KIR2,15,3
KIR2DS4,34,38,0.895,KIR,KIR2,15,3
KIR2DS5,4,4,1.0,KIR,KIR2,15,3
KIR3DL1,39,40,0.975,KIR,KIR3,15,3
KIR3DL2,45,54,0.833,KIR,KIR3,15,3
KIR3DL3,50,56,0.893,KIR,KIR3,15,3
KIR3DP1,6,8,0.75,KIR,KIR3,15,3
KIR3DS1,2,2,1.0,KIR,KIR3,15,3
KIR2DL1,42,42,1.0,KIR,KIR2,20,3
KIR2DL2,4,4,1.0,KIR,KIR2,20,3
KIR2DL3,32,34,0.941,KIR,KIR2,20,3
KIR2DL4,43,46,0.935,KIR,KIR2,20,3
KIR2DL5A,2,2,1.0,KIR,KIR2,20,3
KIR2DP1,36,44,0.818,KIR,KIR2,20,3
KIR2DS1,4,4,1.0,KIR,KIR2,20,3
KIR2DS2,2,2,1.0,KIR,KIR2,20,3
KIR2DS3,2,2,1.0,KIR,KIR2,20,3
KIR2DS4,34,38,0.895,KIR,KIR2,20,3
KIR2DS5,4,4,1.0,KIR,KIR2,20,3
KIR3DL1,39,40,0.975,KIR,KIR3,20,3
KIR3DL2,45,54,0.833,KIR,KIR3,20,3
KIR3DL3,50,56,0.893,KIR,KIR3,20,3
KIR3DP1,2,4,0.5,KIR,KIR3,20,3
KIR3DS1,2,2,1.0,KIR,KIR3,20,3
