sample,gene,read_num
HG00438,KIR2DL1,29
HG00438,KIR2DL2,0
HG00438,KIR2DL3,40
HG00438,KIR2DL4,22
HG00438,KIR2DL5A,1
HG00438,KIR2DL5B,0
HG00438,KIR2DP1,26
HG00438,KIR2DS1,0
HG00438,KIR2DS2,0
HG00438,KIR2DS3,0
HG00438,KIR2DS4,38
HG00438,KIR2DS5,0
HG00438,KIR3DL1,31
HG00438,KIR3DL2,84
HG00438,KIR3DL3,39
HG00438,KIR3DP1,6
HG00438,KIR3DS1,0
HG005,KIR2DL1,0
HG005,KIR2DL2,0
HG005,KIR2DL3,0
HG005,KIR2DL4,0
HG005,KIR2DL5A,0
HG005,KIR2DL5B,0
HG005,KIR2DP1,0
HG005,KIR2DS1,0
HG005,KIR2DS2,0
HG005,KIR2DS3,0
HG005,KIR2DS4,0
HG005,KIR2DS5,0
HG005,KIR3DL1,0
HG005,KIR3DL2,0
HG005,KIR3DL3,0
HG005,KIR3DP1,0
HG005,KIR3DS1,0
HG00621,KIR2DL1,20
HG00621,KIR2DL2,0
HG00621,KIR2DL3,28
HG00621,KIR2DL4,19
HG00621,KIR2DL5A,0
HG00621,KIR2DL5B,0
HG00621,KIR2DP1,22
HG00621,KIR2DS1,0
HG00621,KIR2DS2,0
HG00621,KIR2DS3,0
HG00621,KIR2DS4,26
HG00621,KIR2DS5,0
HG00621,KIR3DL1,23
HG00621,KIR3DL2,65
HG00621,KIR3DL3,28
HG00621,KIR3DP1,1
HG00621,KIR3DS1,0
HG00673,KIR2DL1,19
HG00673,KIR2DL2,0
HG00673,KIR2DL3,46
HG00673,KIR2DL4,27
HG00673,KIR2DL5A,6
HG00673,KIR2DL5B,1
HG00673,KIR2DP1,30
HG00673,KIR2DS1,16
HG00673,KIR2DS2,0
HG00673,KIR2DS3,0
HG00673,KIR2DS4,17
HG00673,KIR2DS5,4
HG00673,KIR3DL1,21
HG00673,KIR3DL2,71
HG00673,KIR3DL3,41
HG00673,KIR3DP1,4
HG00673,KIR3DS1,13
HG00733,KIR2DL1,71
HG00733,KIR2DL2,35
HG00733,KIR2DL3,51
HG00733,KIR2DL4,92
HG00733,KIR2DL5A,6
HG00733,KIR2DL5B,28
HG00733,KIR2DP1,84
HG00733,KIR2DS1,0
HG00733,KIR2DS2,40
HG00733,KIR2DS3,36
HG00733,KIR2DS4,88
HG00733,KIR2DS5,0
HG00733,KIR3DL1,90
HG00733,KIR3DL2,200
HG00733,KIR3DL3,82
HG00733,KIR3DP1,34
HG00733,KIR3DS1,40
HG00735,KIR2DL1,8
HG00735,KIR2DL2,17
HG00735,KIR2DL3,15
HG00735,KIR2DL4,31
HG00735,KIR2DL5A,0
HG00735,KIR2DL5B,0
HG00735,KIR2DP1,8
HG00735,KIR2DS1,0
HG00735,KIR2DS2,7
HG00735,KIR2DS3,0
HG00735,KIR2DS4,29
HG00735,KIR2DS5,0
HG00735,KIR3DL1,30
HG00735,KIR3DL2,63
HG00735,KIR3DL3,22
HG00735,KIR3DP1,4
HG00735,KIR3DS1,1
HG00741,KIR2DL1,15
HG00741,KIR2DL2,0
HG00741,KIR2DL3,41
HG00741,KIR2DL4,11
HG00741,KIR2DL5A,0
HG00741,KIR2DL5B,0
HG00741,KIR2DP1,24
HG00741,KIR2DS1,10
HG00741,KIR2DS2,0
HG00741,KIR2DS3,0
HG00741,KIR2DS4,18
HG00741,KIR2DS5,0
HG00741,KIR3DL1,9
