sample,gene,read_num
HG00512,KIR2DL1,28
HG00512,KIR2DL2,24
HG00512,KIR2DL3,12
HG00512,KIR2DL4,59
HG00512,KIR2DL5A,0
HG00512,KIR2DL5B,0
HG00512,KIR2DP1,18
HG00512,KIR2DS1,0
HG00512,KIR2DS2,20
HG00512,KIR2DS3,0
HG00512,KIR2DS4,50
HG00512,KIR2DS5,0
HG00512,KIR3DL1,47
HG00512,KIR3DL2,96
HG00512,KIR3DL3,42
HG00512,KIR3DP1,16
HG00512,KIR3DS1,0
HG00513,KIR2DL1,61
HG00513,KIR2DL2,0
HG00513,KIR2DL3,64
HG00513,KIR2DL4,69
HG00513,KIR2DL5A,0
HG00513,KIR2DL5B,0
HG00513,KIR2DP1,56
HG00513,KIR2DS1,0
HG00513,KIR2DS2,0
HG00513,KIR2DS3,0
HG00513,KIR2DS4,59
HG00513,KIR2DS5,0
HG00513,KIR3DL1,63
HG00513,KIR3DL2,129
HG00513,KIR3DL3,57
HG00513,KIR3DP1,12
HG00513,KIR3DS1,0
HG00514,KIR2DL1,16
HG00514,KIR2DL2,9
HG00514,KIR2DL3,19
HG00514,KIR2DL4,43
HG00514,KIR2DL5A,0
HG00514,KIR2DL5B,0
HG00514,KIR2DP1,22
HG00514,KIR2DS1,0
HG00514,KIR2DS2,14
HG00514,KIR2DS3,0
HG00514,KIR2DS4,41
HG00514,KIR2DS5,0
HG00514,KIR3DL1,36
HG00514,KIR3DL2,80
HG00514,KIR3DL3,37
HG00514,KIR3DP1,5
HG00514,KIR3DS1,0
HG00731,KIR2DL1,32
HG00731,KIR2DL2,69
HG00731,KIR2DL3,0
HG00731,KIR2DL4,93
HG00731,KIR2DL5A,1
HG00731,KIR2DL5B,18
HG00731,KIR2DP1,28
HG00731,KIR2DS1,0
HG00731,KIR2DS2,60
HG00731,KIR2DS3,23
HG00731,KIR2DS4,66
HG00731,KIR2DS5,0
HG00731,KIR3DL1,52
HG00731,KIR3DL2,150
HG00731,KIR3DL3,65
HG00731,KIR3DP1,25
HG00731,KIR3DS1,33
HG00732,KIR2DL1,37
HG00732,KIR2DL2,0
HG00732,KIR2DL3,32
HG00732,KIR2DL4,27
HG00732,KIR2DL5A,10
HG00732,KIR2DL5B,0
HG00732,KIR2DP1,30
HG00732,KIR2DS1,7
HG00732,KIR2DS2,0
HG00732,KIR2DS3,0
HG00732,KIR2DS4,19
HG00732,KIR2DS5,9
HG00732,KIR3DL1,16
HG00732,KIR3DL2,63
HG00732,KIR3DL3,34
HG00732,KIR3DP1,6
HG00732,KIR3DS1,9
HG00733,KIR2DL1,50
HG00733,KIR2DL2,30
HG00733,KIR2DL3,48
HG00733,KIR2DL4,103
HG00733,KIR2DL5A,0
HG00733,KIR2DL5B,27
HG00733,KIR2DP1,44
HG00733,KIR2DS1,5
HG00733,KIR2DS2,16
HG00733,KIR2DS3,26
HG00733,KIR2DS4,60
HG00733,KIR2DS5,0
HG00733,KIR3DL1,71
HG00733,KIR3DL2,136
HG00733,KIR3DL3,62
HG00733,KIR3DP1,18
HG00733,KIR3DS1,40
NA19238,KIR2DL1,33
NA19238,KIR2DL2,16
NA19238,KIR2DL3,35
NA19238,KIR2DL4,30
NA19238,KIR2DL5A,1
NA19238,KIR2DL5B,13
NA19238,KIR2DP1,23
NA19238,KIR2DS1,24
NA19238,KIR2DS2,28
NA19238,KIR2DS3,0
NA19238,KIR2DS4,36
NA19238,KIR2DS5,23
NA19238,KIR3DL1,31
NA19238,KIR3DL2,94
NA19238,KIR3DL3,44
NA19238,KIR3DP1,8
NA19238,KIR3DS1,0
NA19239,KIR2DL1,48
NA19239,KIR2DL2,0
NA19239,KIR2DL3,37
NA19239,KIR2DL4,57
NA19239,KIR2DL5A,0
NA19239,KIR2DL5B,0
NA19239,KIR2DP1,49
NA19239,KIR2DS1,0
NA19239,KIR2DS2,0
NA19239,KIR2DS3,0
NA19239,KIR2DS4,72
NA19239,KIR2DS5,0
NA19239,KIR3DL1,49
NA19239,KIR3DL2,101
NA19239,KIR3DL3,39
NA19239,KIR3DP1,12
NA19239,KIR3DS1,0
NA19240,KIR2DL1,37
NA19240,KIR2DL2,17
NA19240,KIR2DL3,23
NA19240,KIR2DL4,29
NA19240,KIR2DL5A,1
NA19240,KIR2DL5B,15
NA19240,KIR2DP1,21
NA19240,KIR2DS1,20
NA19240,KIR2DS2,22
NA19240,KIR2DS3,0
NA19240,KIR2DS4,37
NA19240,KIR2DS5,21
NA19240,KIR3DL1,31
NA19240,KIR3DL2,137
NA19240,KIR3DL3,41
NA19240,KIR3DP1,6
NA19240,KIR3DS1,0
