sample,gene,read_num
HG03009,KIR3DL3,66
HG03009,KIR3DP1,36
HG03009,KIR3DS1,49
HG03065,KIR2DL1,32
HG03065,KIR2DL2,28
HG03065,KIR2DL3,33
HG03065,KIR2DL4,53
HG03065,KIR2DL5A,0
HG03065,KIR2DL5B,0
HG03065,KIR2DP1,24
HG03065,KIR2DS1,0
HG03065,KIR2DS2,20
HG03065,KIR2DS3,0
HG03065,KIR2DS4,65
HG03065,KIR2DS5,0
HG03065,KIR3DL1,53
HG03065,KIR3DL2,111
HG03065,KIR3DL3,60
HG03065,KIR3DP1,11
HG03065,KIR3DS1,1
HG03371,KIR2DL1,71
HG03371,KIR2DL2,22
HG03371,KIR2DL3,28
HG03371,KIR2DL4,54
HG03371,KIR2DL5A,4
HG03371,KIR2DL5B,10
HG03371,KIR2DP1,50
HG03371,KIR2DS1,0
HG03371,KIR2DS2,25
HG03371,KIR2DS3,65
HG03371,KIR2DS4,67
HG03371,KIR2DS5,0
HG03371,KIR3DL1,68
HG03371,KIR3DL2,100
HG03371,KIR3DL3,59
HG03371,KIR3DP1,6
HG03371,KIR3DS1,1
HG03683,KIR2DL1,64
HG03683,KIR2DL2,22
HG03683,KIR2DL3,40
HG03683,KIR2DL4,52
HG03683,KIR2DL5A,11
HG03683,KIR2DL5B,21
HG03683,KIR2DP1,64
HG03683,KIR2DS1,26
HG03683,KIR2DS2,27
HG03683,KIR2DS3,19
HG03683,KIR2DS4,37
HG03683,KIR2DS5,25
HG03683,KIR3DL1,46
HG03683,KIR3DL2,134
HG03683,KIR3DL3,96
HG03683,KIR3DP1,11
HG03683,KIR3DS1,23
HG03732,KIR2DL1,15
HG03732,KIR2DL2,16
HG03732,KIR2DL3,25
HG03732,KIR2DL4,15
HG03732,KIR2DL5A,0
HG03732,KIR2DL5B,3
HG03732,KIR2DP1,22
HG03732,KIR2DS1,11
HG03732,KIR2DS2,16
HG03732,KIR2DS3,0
HG03732,KIR2DS4,32
HG03732,KIR2DS5,18
HG03732,KIR3DL1,17
HG03732,KIR3DL2,60
HG03732,KIR3DL3,51
HG03732,KIR3DP1,1
HG03732,KIR3DS1,0
NA19238,KIR2DL1,27
NA19238,KIR2DL2,8
NA19238,KIR2DL3,42
NA19238,KIR2DL4,23
NA19238,KIR2DL5A,4
NA19238,KIR2DL5B,7
NA19238,KIR2DP1,25
NA19238,KIR2DS1,25
NA19238,KIR2DS2,12
NA19238,KIR2DS3,0
NA19238,KIR2DS4,52
NA19238,KIR2DS5,15
NA19238,KIR3DL1,36
NA19238,KIR3DL2,101
NA19238,KIR3DL3,66
NA19238,KIR3DP1,2
NA19238,KIR3DS1,0
NA19239,KIR2DL1,67
NA19239,KIR2DL2,0
NA19239,KIR2DL3,52
NA19239,KIR2DL4,50
NA19239,KIR2DL5A,0
NA19239,KIR2DL5B,0
NA19239,KIR2DP1,47
NA19239,KIR2DS1,2
NA19239,KIR2DS2,0
NA19239,KIR2DS3,0
NA19239,KIR2DS4,57
NA19239,KIR2DS5,0
NA19239,KIR3DL1,52
NA19239,KIR3DL2,72
NA19239,KIR3DL3,47
NA19239,KIR3DP1,12
NA19239,KIR3DS1,1
NA19240,KIR2DL1,19
NA19240,KIR2DL2,7
NA19240,KIR2DL3,29
NA19240,KIR2DL4,25
NA19240,KIR2DL5A,4
NA19240,KIR2DL5B,15
NA19240,KIR2DP1,24
NA19240,KIR2DS1,22
NA19240,KIR2DS2,7
NA19240,KIR2DS3,0
NA19240,KIR2DS4,36
NA19240,KIR2DS5,13
NA19240,KIR3DL1,22
NA19240,KIR3DL2,102
NA19240,KIR3DL3,52
NA19240,KIR3DP1,6
NA19240,KIR3DS1,2
NA19983,KIR2DL1,83
NA19983,KIR2DL2,25
NA19983,KIR2DL3,41
NA19983,KIR2DL4,61
NA19983,KIR2DL5A,12
NA19983,KIR2DL5B,18
NA19983,KIR2DP1,70
NA19983,KIR2DS1,26
NA19983,KIR2DS2,22
NA19983,KIR2DS3,25
NA19983,KIR2DS4,44
NA19983,KIR2DS5,28
NA19983,KIR3DL1,39
NA19983,KIR3DL2,142
NA19983,KIR3DL3,82
NA19983,KIR3DP1,9
NA19983,KIR3DS1,29
