gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,66,66,1.0,KIR,KIR2,0,2
KIR2DL2,4,4,1.0,KIR,KIR2,0,2
KIR2DL3,48,50,0.96,KIR,KIR2,0,2
KIR2DL4,73,78,0.936,KIR,KIR2,0,2
KIR2DL5A,2,2,1.0,KIR,KIR2,0,2
KIR2DL5B,2,2,1.0,KIR,KIR2,0,2
KIR2DP1,58,68,0.853,KIR,KIR2,0,2
KIR2DS1,4,4,1.0,KIR,KIR2,0,2
KIR2DS2,2,2,1.0,KIR,KIR2,0,2
KIR2DS3,2,2,1.0,KIR,KIR2,0,2
KIR2DS4,60,60,1.0,KIR,KIR2,0,2
KIR2DS5,4,4,1.0,KIR,KIR2,0,2
KIR3DL1,62,64,0.969,KIR,KIR3,0,2
KIR3DL2,72,86,0.837,KIR,KIR3,0,2
KIR3DL3,83,90,0.922,KIR,KIR3,0,2
KIR3DP1,37,52,0.712,KIR,KIR3,0,2
KIR3DS1,2,2,1.0,KIR,KIR3,0,2
KIR2DL1,66,66,1.0,KIR,KIR2,5,2
KIR2DL2,4,4,1.0,KIR,KIR2,5,2
KIR2DL3,48,50,0.96,KIR,KIR2,5,2
KIR2DL4,73,78,0.936,KIR,KIR2,5,2
KIR2DL5A,2,2,1.0,KIR,KIR2,5,2
KIR2DL5B,2,2,1.0,KIR,KIR2,5,2
KIR2DP1,58,68,0.853,KIR,KIR2,5,2
KIR2DS1,4,4,1.0,KIR,KIR2,5,2
KIR2DS2,2,2,1.0,KIR,KIR2,5,2
KIR2DS3,2,2,1.0,KIR,KIR2,5,2
KIR2DS4,60,60,1.0,KIR,KIR2,5,2
KIR2DS5,4,4,1.0,KIR,KIR2,5,2
KIR3DL1,62,64,0.969,KIR,KIR3,5,2
KIR3DL2,72,86,0.837,KIR,KIR3,5,2
KIR3DL3,83,90,0.922,KIR,KIR3,5,2
KIR3DP1,36,50,0.72,KIR,KIR3,5,2
KIR3DS1,2,2,1.0,KIR,KIR3,5,2
KIR2DL1,66,66,1.0,KIR,KIR2,10,2
KIR2DL2,4,4,1.0,KIR,KIR2,10,2
KIR2DL3,48,50,0.96,KIR,KIR2,10,2
KIR2DL4,73,78,0.936,KIR,KIR2,10,2
KIR2DL5A,2,2,1.0,KIR,KIR2,10,2
KIR2DL5B,2,2,1.0,KIR,KIR2,10,2
KIR2DP1,58,68,0.853,KIR,KIR2,10,2
KIR2DS1,4,4,1.0,KIR,KIR2,10,2
KIR2DS2,2,2,1.0,KIR,KIR2,10,2
KIR2DS3,2,2,1.0,KIR,KIR2,10,2
KIR2DS4,60,60,1.0,KIR,KIR2,10,2
KIR2DS5,4,4,1.0,KIR,KIR2,10,2
KIR3DL1,62,64,0.969,KIR,KIR3,10,2
KIR3DL2,72,86,0.837,KIR,KIR3,10,2
KIR3DL3,83,90,0.922,KIR,KIR3,10,2
KIR3DP1,19,26,0.731,KIR,KIR3,10,2
KIR3DS1,2,2,1.0,KIR,KIR3,10,2
KIR2DL1,66,66,1.0,KIR,KIR2,15,2
KIR2DL2,4,4,1.0,KIR,KIR2,15,2
KIR2DL3,48,50,0.96,KIR,KIR2,15,2
KIR2DL4,73,78,0.936,KIR,KIR2,15,2
KIR2DL5A,2,2,1.0,KIR,KIR2,15,2
KIR2DL5B,2,2,1.0,KIR,KIR2,15,2
KIR2DP1,58,68,0.853,KIR,KIR2,15,2
KIR2DS1,4,4,1.0,KIR,KIR2,15,2
KIR2DS2,2,2,1.0,KIR,KIR2,15,2
KIR2DS3,2,2,1.0,KIR,KIR2,15,2
KIR2DS4,60,60,1.0,KIR,KIR2,15,2
KIR2DS5,4,4,1.0,KIR,KIR2,15,2
KIR3DL1,62,64,0.969,KIR,KIR3,15,2
KIR3DL2,72,86,0.837,KIR,KIR3,15,2
KIR3DL3,83,90,0.922,KIR,KIR3,15,2
KIR3DP1,9,10,0.9,KIR,KIR3,15,2
KIR3DS1,2,2,1.0,KIR,KIR3,15,2
KIR2DL1,66,66,1.0,KIR,KIR2,20,2
KIR2DL2,4,4,1.0,KIR,KIR2,20,2
KIR2DL3,48,50,0.96,KIR,KIR2,20,2
KIR2DL4,73,78,0.936,KIR,KIR2,20,2
KIR2DL5A,2,2,1.0,KIR,KIR2,20,2
KIR2DP1,58,68,0.853,KIR,KIR2,20,2
KIR2DS1,4,4,1.0,KIR,KIR2,20,2
KIR2DS2,2,2,1.0,KIR,KIR2,20,2
KIR2DS3,2,2,1.0,KIR,KIR2,20,2
KIR2DS4,60,60,1.0,KIR,KIR2,20,2
KIR2DS5,4,4,1.0,KIR,KIR2,20,2
KIR3DL1,62,64,0.969,KIR,KIR3,20,2
KIR3DL2,72,86,0.837,KIR,KIR3,20,2
KIR3DL3,83,90,0.922,KIR,KIR3,20,2
KIR3DP1,3,4,0.75,KIR,KIR3,20,2
KIR3DS1,2,2,1.0,KIR,KIR3,20,2
