,EUR,EAS,AMR,SAS,AFR
EUR,0.9733355009259259,0.9708807026161081,0.9692919637355146,0.9744157214126187,0.9706467852532679
EAS,0.9708807026161081,0.9696617795134517,0.9674551002694193,0.9726392968014677,0.9687908072089949
AMR,0.9692919637355146,0.9674551002694193,0.9667977796680342,0.9700935629990443,0.9679443435131723
SAS,0.9744157214126187,0.9726392968014677,0.9700935629990443,0.9765253716825334,0.9717983682751994
AFR,0.9706467852532679,0.9687908072089946,0.967944343513172,0.9717983682751996,0.9702889200908303
