NA19240 56.69
HG03453 100.19
HG02145 54.67
HG01258 80.58
HG00733 79.02
HG01928 29.99
HG01952 51.39
HG02559 50.08
HG02080 95.02
HG03540 143.36
HG01358 49.76
HG03516 58.04
HG02572 39.26
HG02148 51.26
NA19030 48.36
HG02109 47.07
HG02630 105.06
HG03486 77.65
HG02486 49.28
HG02970 72.94
HG03471 86.02
HG02723 114.3
HG03492 62.94
HG01109 53.38
HG02055 60.63
NA18906 71.81
NA20129 65.15
HG00735 47.17
HG01891 38.16
HG01978 27.6
HG01361 70.9
HG00621 24.24
HG03579 77.99
HG01071 38.97
HG03098 52.25
HG01106 67.03
NA21309 38.46
HG01123 75.49
HG02886 87.19
HG00741 38.58
HG01175 36.12
HG02257 38.13
HG02717 89.66
NA20300 65.9
HG02622 59.52
HG01243 27.64
HG00673 66.96
HG02818 61.34
mHomSap3 57.65
HG00438 86.3
