HG03471 15.58
HG02486 24.55
HG02630 16.2
HG01109 30.14
HG02055 40.56
HG03492 39.89
HG01928 6.92
HG01258 13.74
HG00733 113.49
HG03453 4.22
HG02572 17.44
HG02148 16.59
HG01358 24.15
HG03516 22.52
HG03540 32.75
HG01952 13.33
HG02559 6.01
HG02080 39.23
HG01175 18.53
HG01123 14.42
HG02886 28.68
HG00741 29.33
HG00438 50.01
HG00673 23.22
HG02622 2.78
HG01243 19.53
HG02257 16.02
HG02717 17.93
HG01071 27.41
HG03098 38.76
HG00621 10.15
HG03579 7.18
HG01891 13.72
HG01978 16.7
HG01361 29.16
HG00735 18.71
HG01106 31.79
