sample,time,wall_clock_time,mem
HG00438,10.29,1.25,7.22
HG03579,14.66,1.7666666666666666,9.17
HG01258,5.49,52.3685,6.67
HG02559,12.54,1.5666666666666667,9.7
HG03098,5.61,48.11716666666667,7.49
HG01109,8.31,1.15,8.56
HG01243,13.17,1.6333333333333333,7.5
HG02055,7.74,1.0,6.52
HG01358,8.23,1.05,7.67
HG03486,6.87,55.961,8.76
HG02080,6.75,53.01683333333333,7.18
HG01361,6.86,55.765,6.84
HG03492,8.22,1.0333333333333334,6.37
HG02109,6.79,54.23316666666667,8.21
HG01891,7.9,1.0,6.27
mHomSap3,2.33,24.503166666666665,6.16
HG02145,6.98,54.741166666666665,7.96
HG01928,11.72,1.3666666666666667,6.72
HG02572,3.59,40.257,6.98
HG00621,10.48,1.2833333333333332,8.75
HG02723,11.95,1.4666666666666668,6.87
NA18906,7.88,1.8166666666666667,6.85
HG01952,8.35,1.05,6.42
HG02818,8.28,1.05,6.28
HG02622,16.38,1.95,8.55
NA19030,4.86,1.1666666666666667,8.76
HG00673,8.96,1.15,6.41
HG01978,15.42,1.9666666666666668,7.02
HG02970,6.66,53.111,6.22
NA19240,5.2,1.25,6.96
HG02630,8.15,1.1333333333333333,9.08
HG00733,4.1,36.717,6.16
HG02148,7.46,57.11683333333333,6.43
NA20129,8.91,1.1,6.4
HG02717,6.0,1.6,6.61
HG00735,6.83,55.20616666666667,7.91
HG02257,10.86,1.2833333333333332,6.42
HG00741,10.35,1.3666666666666667,9.03
NA20300,8.63,1.9333333333333333,6.55
HG02886,8.05,1.0833333333333333,6.37
HG02486,13.49,1.5666666666666667,6.52
HG03453,8.4,1.1166666666666667,7.48
HG03471,12.23,1.5,6.98
HG03516,15.16,1.7333333333333334,9.11
HG01071,7.38,57.038666666666664,7.14
NA21309,6.2,1.4166666666666667,6.73
HG03540,10.17,1.2666666666666666,8.54
HG01106,11.11,1.35,8.34
HG01123,6.02,48.954166666666666,6.27
HG01175,8.25,1.05,7.17
