sample,time,wall_clock_time,mem
HG01258,0.47,9.669,11.84
HG03098,0.39,9.293166666666666,11.84
HG03579,0.56,10.3445,11.78
HG00438,0.52,9.898166666666667,11.84
HG02559,0.49,9.835333333333333,11.84
HG03486,0.51,8.8535,11.85
HG01358,0.46,8.107333333333333,11.85
HG02572,0.37,6.620166666666667,11.85
HG00621,0.47,8.272833333333333,11.85
HG01109,0.42,7.473,11.85
HG02622,0.59,10.002666666666666,11.85
HG01361,0.55,9.497666666666667,11.85
HG01243,0.44,7.704833333333333,11.85
HG03492,0.45,7.943,11.85
HG00673,0.53,9.108333333333333,11.85
HG02055,0.49,8.498833333333334,11.85
mHomSap3,0.27,4.88,11.85
HG02630,0.61,10.445833333333333,11.85
HG01891,0.45,7.9383333333333335,11.85
HG00733,0.44,7.6945,11.85
NA18906,0.54,9.239,11.85
HG02080,0.43,7.671333333333333,11.85
HG00735,0.52,8.945333333333334,11.85
HG01928,0.43,7.508333333333333,11.85
HG02717,0.56,9.555833333333334,11.85
NA19030,0.42,7.418833333333334,11.85
HG02109,0.39,6.933666666666666,11.85
HG01952,0.51,8.9605,11.85
HG00741,0.51,8.654333333333334,11.85
HG02886,0.54,9.540333333333333,11.85
NA19240,0.49,8.631166666666667,11.85
HG02145,0.44,7.808333333333334,11.85
HG01978,0.45,7.985666666666667,11.85
HG01071,0.44,7.592666666666666,11.85
HG03453,0.66,11.235166666666666,11.85
NA20129,0.47,8.175333333333333,11.85
HG02723,0.6,9.903833333333333,11.85
HG02148,0.48,8.452666666666667,11.85
HG01106,0.58,9.923666666666668,11.85
NA20300,0.56,9.524333333333333,11.85
HG02818,0.44,7.73,11.85
HG03471,0.63,10.720833333333333,11.85
HG02257,0.4,7.252166666666667,11.85
HG01123,0.46,8.069666666666667,11.85
NA21309,0.48,8.207666666666666,11.85
HG02970,0.44,7.8035,11.85
HG02486,0.47,8.211333333333334,11.85
HG03516,0.44,7.703666666666667,11.85
HG01175,0.44,7.761,11.85
HG03540,0.7,11.616,11.85
