sample,time,wall_clock_time,mem
HG00741,2.93,0.39,10.82
HG01952,2.3,0.39,10.84
HG02148,1.38,0.25,10.01
HG00621,2.35,0.38,11.19
HG01978,2.68,0.43,10.75
HG02559,1.25,0.26,9.82
HG03540,1.83,0.31,9.84
HG00733,1.9,0.39,10.65
HG00673,2.31,0.36,10.12
HG01891,2.51,0.4,10.7
HG01258,1.71,0.43,10.26
HG00438,2.73,0.41,10.82
HG01361,2.35,0.41,11.03
HG01358,1.38,0.24,9.78
HG01106,4.03,1.11,13.28
HG02486,2.21,0.4,10.6
HG01928,1.67,0.27,9.72
HG01175,3.07,0.52,11.82
HG01071,2.86,0.47,11.43
HG00735,2.31,0.36,10.46
HG02257,1.25,0.24,9.64
HG01123,2.17,0.34,10.12
HG02572,1.37,0.25,10.25
HG02630,1.75,0.39,10.82
HG02886,3.05,0.87,11.98
HG03471,3.74,0.95,13.53
HG02622,1.29,0.23,9.81
HG02717,2.67,0.66,11.59
HG03453,0.84,0.17,10.44
HG03516,4.76,1.62,14.85
HG03579,0.76,0.13,10.08
HG01243,1.66,0.32,10.12
