Allele_1,Allele_2,Family_1,Family_2,Stability_Score
IGKV2-4*02,TRGV9*02,IG,TCR,0.27
IGHV1-68*01,IGHV2-70*01,IG,IG,0.27
TRAV21*02,TRBV30*04,TCR,TCR,0.27
IGHV3-11*04,TRGV2*03,IG,TCR,0.27
HLA-DPA1*03,IGHD3-16*02,HLA,IG,0.27
KIR3DP1*002,IGLV10-54*01,KIR,IG,0.27
IGHJ6*03,TRAV38-1*03,IG,TCR,0.27
HLA-C*05,IGLJ5*01,HLA,IG,0.27
IGKV2D-28*01,TRBV16*02,IG,TCR,0.27
IGHV1-2*05,TRBV7-9*03,IG,TCR,0.27
IGKV1D-12*02,TRBJ1-5*01,IG,TCR,0.27
IGKV2-29*01,IGHJ6*03,IG,IG,0.27
IGLV3-21*02,TRGV2*03,IG,TCR,0.27
CYP2A6*54,TRBV7-3*01,CYP,TCR,0.27
IGHV1-3*01,IGLJ1*01,IG,IG,0.27
IGLV3-12*02,TRAV1-1*02,IG,TCR,0.27
CYP3A5*7,IGHV4-31*03,CYP,IG,0.27
IGKV1-8*01,IGLV8-61*01,IG,IG,0.27
HLA-A*68,IGKV2-28*01,HLA,IG,0.27
KIR2DS3*001,IGHJ5*02,KIR,IG,0.27
HLA-DRB1*08,IGLV3-31*01,HLA,IG,0.27
KIR3DP1*009,IGLV6-57*04,KIR,IG,0.27
HLA-C*04,KIR2DS2*001,HLA,KIR,0.27
IGKV3-15*01,IGKV3-7*05,IG,IG,0.27
IGLV3-27*01,TRAJ13*01,IG,TCR,0.27
HLA-DQB1*06,KIR3DL1*002,HLA,KIR,0.27
HLA-DPA1*03,IGHV3-20*04,HLA,IG,0.27
HLA-DPA1*03,TRBV15*01,HLA,TCR,0.27
KIR2DL5B*002,IGHV1-69*14,KIR,IG,0.27
IGHV3-32*02,IGLV3-19*01,IG,IG,0.27
IGLV4-60*02,TRGV9*02,IG,TCR,0.27
IGHV3-64*02,TRAV13-1*01,IG,TCR,0.27
IGKV2-28*01,IGHV3-71*02,IG,IG,0.27
KIR2DS4*001,IGHV3-33-2*01,KIR,IG,0.27
KIR3DP1*001,TRDV2*03,KIR,TCR,0.27
IGHV3-7*03,TRBV30*03,IG,TCR,0.27
HLA-W*02,IGHV3-49*03,HLA,IG,0.27
HLA-F*01,HLA-DRB1*08,HLA,HLA,0.27
HLA-F*01,IGHV3-23*04,HLA,IG,0.27
KIR3DS1*055,IGHD5-24*01,KIR,IG,0.27
HLA-DPA1*01,IGHV6-1*03,HLA,IG,0.27
IGKV2-30*01,IGHV3-13*04,IG,IG,0.27
IGHV3-30*03,TRAJ37*01,IG,TCR,0.27
IGLV3-27*01,IGHJ4*03,IG,IG,0.27
MICA*002,IGHV3-66*03,HLA,IG,0.27
SLCO1B1*14,IGKV1D-8*01,CYP,IG,0.27
HLA-C*03,IGHV3-20*02,HLA,IG,0.27
HLA-DQA1*04,TRBV11-2*01,HLA,TCR,0.27
HLA-B*13,CYP2C9*1,HLA,CYP,0.27
KIR3DL3*027,TRAV1-1*01,KIR,TCR,0.27
IGKV3D-15*01,IGHV2-70*20,IG,IG,0.27
HLA-B*58,IGHV3-16*04,HLA,IG,0.27
IGKV1D-13*02,TRAV10*02,IG,TCR,0.27
IGLJ5*01,IGHV3-48*03,IG,IG,0.27
KIR3DP1*009,IGLV3-21*03,KIR,IG,0.27
HLA-DQB1*06,HLA-DQB1*05,HLA,HLA,0.27
KIR2DL5B*035,TRAV1-1*02,KIR,TCR,0.27
IGKV1-5*03,IGHV3-30*02,IG,IG,0.27
KIR2DL4*006,IGHD5-18*01,KIR,IG,0.27
IGHV3-66*03,IGLV2-23*04,IG,IG,0.27
IGHV3-63*02,IGHV3-64*07,IG,IG,0.27
IGLV7-46*04,IGLV5-45*03,IG,IG,0.27
IGHV4-61*01,TRBV10-1*02,IG,TCR,0.27
MICA*009,IGLV3-22*03,HLA,IG,0.27
IGLV2-34*02,IGHV4-28*05,IG,IG,0.27
IGKV2-24*01,IGKV2-29*01,IG,IG,0.27
HLA-B*51,IGLV3-16*01,HLA,IG,0.27
IGKV1D-43*01,TRBJ1-5*01,IG,TCR,0.27
CYP3A5*1,IGHV7-81*02,CYP,IG,0.27
HLA-A*03,IGHV3-35*01,HLA,IG,0.27
CYP2C8*5,CYP2A6*28,CYP,CYP,0.27
IGLV5-45*02,IGLV2-5*01,IG,IG,0.27
HLA-C*12,IGKV1D-12*02,HLA,IG,0.27
HLA-DPB1*01,IGHV1-58*02,HLA,IG,0.27
HLA-DPB1*02,IGHJ2*01,HLA,IG,0.27
KIR2DS4*003,IGHV3-25*02,KIR,IG,0.27
IGHV3-7*01,IGKV6-21*01,IG,IG,0.27
SLCO1B1*14,IGKJ2*01,CYP,IG,0.27
HLA-DRB4*01,HLA-DRB5*01,HLA,HLA,0.27
IGHV4-34*01,IGLV5-37*01,IG,IG,0.27
MICA*008,IGKV2-24*01,HLA,IG,0.27
IGLV3-21*04,IGHV3-69-1*02,IG,IG,0.27
IGLJ6*01,TRAV30*01,IG,TCR,0.27
IGHV3-32*01,TRAV8-6*02,IG,TCR,0.27
IGLV3-9*01,IGHV4-28*07,IG,IG,0.27
KIR3DL2*010,IGLV5-45*03,KIR,IG,0.27
HLA-DRB1*07,IGHV2-70D*04,HLA,IG,0.27
CYP2B6*5,TRBV11-2*03,CYP,TCR,0.27
IGHV3-53*04,TRAJ37*01,IG,TCR,0.27
IGHV6-1*01,IGHV3-16*04,IG,IG,0.27
IGHV4-4*10,TRBV16*02,IG,TCR,0.27
TRAV8-2*03,TRAJ32*01,TCR,TCR,0.27
IGKV2-18*01,IGLV10-54*04,IG,IG,0.27
HLA-A*24,HLA-C*01,HLA,HLA,0.27
KIR2DP1*002,CYP2A6*24,KIR,CYP,0.27
TAP2*02,IGKV3-7*05,HLA,IG,0.27
HLA-C*07,IGHV8-51-1*04,HLA,IG,0.27
HLA-DPB1*04,HLA-DPB1*14,HLA,HLA,0.27
IGKV1-5*04,IGHV4-55*02,IG,IG,0.27
MICA*004,IGHV1-18*04,HLA,IG,0.27
IGLV3-21*04,TRBV14*02,IG,TCR,0.27
IGKV2D-30*01,IGHD3-10*03,IG,IG,0.27
KIR2DL4*042,IGHV4-28*05,KIR,IG,0.27
HLA-DPB1*03,IGHV1-69*14,HLA,IG,0.27
IGHV4-55*02,IGKV1-8*03,IG,IG,0.27
KIR2DP1*001,TRGV2*01,KIR,TCR,0.27
CYP4F2*1,IGKV1D-16*02,CYP,IG,0.27
KIR3DL2*009,IGKV3D-15*03,KIR,IG,0.27
KIR2DP1*009,IGHV1-2*02,KIR,IG,0.27
IGLV3-21*04,TRAV21*02,IG,TCR,0.27
CYP2B6*6,IGHV4-4*01,CYP,IG,0.27
KIR3DL3*009,KIR3DL3*077,KIR,KIR,0.27
IGKJ2*04,IGHV3-53*06,IG,IG,0.27
IGHV3-20*02,IGLV6-57*04,IG,IG,0.27
IGHV6-1*01,IGLV2-11*01,IG,IG,0.27
NAT2*6,IGKV3D-11*01,CYP,IG,0.27
IGKV2-4*01,IGLV3-10*03,IG,IG,0.27
SLCO1B1*20,IGLV3-12*02,CYP,IG,0.27
KIR2DL4*006,IGHV4-55*01,KIR,IG,0.27
NAT2*6,CYP2B6*5,CYP,CYP,0.27
IGLV1-41*01,IGHV1-69*05,IG,IG,0.27
IGKV5-2*01,IGHV4-4*10,IG,IG,0.27
HLA-W*03,IGHV1-69*05,HLA,IG,0.27
CYP2B6*17,TRBJ2-6*01,CYP,TCR,0.27
IGKV1-6*01,IGHV2-5*01,IG,IG,0.27
IGKV1-5*03,IGHV3-48*04,IG,IG,0.27
KIR3DL3*008,KIR2DL4*006,KIR,KIR,0.27
KIR2DL1*004,IGHV3-22*02,KIR,IG,0.27
KIR2DS4*010,KIR3DL1*005,KIR,KIR,0.27
KIR3DL3*100,IGLV3-10*03,KIR,IG,0.27
TRGV2*01,TRGV2*03,TCR,TCR,0.27
IGLV3-12*02,TRDV2*01,IG,TCR,0.27
IGHV3-73*02,TRBV16*02,IG,TCR,0.27
KIR2DS4*006,IGLV3-27*01,KIR,IG,0.27
IGKV3D-20*01,TRAJ32*02,IG,TCR,0.27
TRBV2*01,TRDV2*01,TCR,TCR,0.27
TRBV10-2*01,TRBV9*02,TCR,TCR,0.27
NAT2*39,TRAV1-1*01,CYP,TCR,0.27
HLA-B*53,IGHV3-62*04,HLA,IG,0.27
IGHV3-33*08,IGKV3D-7*01,IG,IG,0.27
IGHV3-19*02,TRBV24-1*01,IG,TCR,0.27
HLA-B*44,IGHV3-64*02,HLA,IG,0.27
CYP4F2*4,IGHV1-2*06,CYP,IG,0.27
IGKV1D-17*01,IGHV4-59*11,IG,IG,0.27
IGKV2D-30*01,IGKV3D-20*01,IG,IG,0.27
HLA-DRB3*01,IGHV6-1*03,HLA,IG,0.27
IGLV7-46*01,IGLV3-22*01,IG,IG,0.27
HLA-F*01,KIR2DL4*042,HLA,KIR,0.27
TRAJ24*03,TRBV10-1*02,TCR,TCR,0.27
KIR3DL2*023,IGKV3-15*02,KIR,IG,0.27
IGHV3-47*01,TRAJ24*03,IG,TCR,0.27
IGHV2-5*11,TRAJ37*02,IG,TCR,0.27
IGKV3-20*01,IGHV3-53*06,IG,IG,0.27
TRAV6*02,TRBV15*01,TCR,TCR,0.26
HLA-DPB1*13,IGHV3-32*01,HLA,IG,0.26
KIR2DP1*003,IGKV3-20*01,KIR,IG,0.26
HLA-B*08,TRBV14*02,HLA,TCR,0.26
HLA-DOB*01,IGHD3-9*01,HLA,IG,0.26
HLA-N*01,TRBV20-1*01,HLA,TCR,0.26
IGKV3-15*01,IGKV6-21*01,IG,IG,0.26
KIR3DL2*126,TRBV10-1*02,KIR,TCR,0.26
CYP2C9*11,IGLJ6*01,CYP,IG,0.26
IGLV5-37*02,TRBV15*01,IG,TCR,0.26
IGLV3-31*01,IGLV3-21*02,IG,IG,0.26
IGHV4-31*09,IGKJ2*01,IG,IG,0.26
MICB*005,HLA-B*51,HLA,HLA,0.26
HLA-DRB1*01,IGLV2-14*04,HLA,IG,0.26
CYP4F2*5,TRAV8-6*02,CYP,TCR,0.26
CYP2B6*6,IGHV3-49*04,CYP,IG,0.26
CYP4F2*10,IGLV3-31*01,CYP,IG,0.26
IGHV3-25*02,TRAV9-2*01,IG,TCR,0.26
HLA-W*01,NAT2*39,HLA,CYP,0.26
HLA-T*01,IGHD3-3*02,HLA,IG,0.26
IGLV3-10*03,TRAJ37*02,IG,TCR,0.26
IGHV4-31*13,IGHD6-25*01,IG,IG,0.26
MICA*008,KIR2DP1*031,HLA,KIR,0.26
KIR2DL3*006,TRAJ13*02,KIR,TCR,0.26
HLA-C*02,IGHJ2*01,HLA,IG,0.26
KIR3DL2*007,KIR3DL3*003,KIR,KIR,0.26
HLA-A*26,IGHV4-61*09,HLA,IG,0.26
CYP2C9*1,TRBV30*01,CYP,TCR,0.26
TRBV15*02,TRAV38-1*03,TCR,TCR,0.26
KIR2DL4*005,IGLJ3*02,KIR,IG,0.26
KIR3DP1*009,TRAV21*02,KIR,TCR,0.26
HLA-W*03,IGHV7-81*01,HLA,IG,0.26
TRAV9-2*03,TRDV3*02,TCR,TCR,0.26
HLA-A*01,HLA-P*02,HLA,HLA,0.26
HLA-B*07,TRGJ1*02,HLA,TCR,0.26
HLA-A*29,IGHV4-55*01,HLA,IG,0.26
CYP4F2*1,IGHV1-69*05,CYP,IG,0.26
IGHD2-2*03,TRBV30*01,IG,TCR,0.26
TRAJ24*02,TRAV1-2*03,TCR,TCR,0.26
HLA-DPB1*14,IGKV4-1*02,HLA,IG,0.26
IGLV2-11*01,IGHV1-3*02,IG,IG,0.26
IGHV7-81*01,TRBV15*01,IG,TCR,0.26
IGHV3-53*01,IGHV3-54*04,IG,IG,0.26
SLCO1B1*15,IGKV2-24*02,CYP,IG,0.26
IGLV8-61*01,TRAV27*03,IG,TCR,0.26
IGLV3-16*01,IGLJ3*01,IG,IG,0.26
HLA-B*08,IGHV4-61*09,HLA,IG,0.26
IGHV3-38*02,TRDV2*02,IG,TCR,0.26
IGHV6-1*01,IGLJ1*01,IG,IG,0.26
MICA*010,IGLV3-25*03,HLA,IG,0.26
MICA*008,HLA-DPB1*05,HLA,HLA,0.26
HLA-DPA2*02,KIR3DL2*002,HLA,KIR,0.26
KIR3DL3*027,TRAV1-1*02,KIR,TCR,0.26
IGKV1-9*01,IGHV3-64*01,IG,IG,0.26
KIR2DS5*002,IGKV1D-43*01,KIR,IG,0.26
IGHD4-23*01,IGHV1-2*05,IG,IG,0.26
IGHV3-54*07,IGHV8-51-1*05,IG,IG,0.26
NAT2*39,IGKV2D-26*03,CYP,IG,0.26
NAT2*4,TRAV9-2*03,CYP,TCR,0.26
HLA-DRB1*08,KIR2DL4*006,HLA,KIR,0.26
KIR3DL3*077,CYP2C9*1,KIR,CYP,0.26
IGHD1-14*01,IGHV3-16*04,IG,IG,0.26
CYP2D6*4,TRAV6*07,CYP,TCR,0.26
CYP3A5*7,IGHV3-64D*09,CYP,IG,0.26
CYP2D6*1,CYP2A6*9,CYP,CYP,0.26
IGKV1-9*01,IGHV3-71*03,IG,IG,0.26
IGHV3-62*03,IGHJ6*03,IG,IG,0.26
IGHV2-70D*04,IGLV8-61*02,IG,IG,0.26
HLA-DPB1*05,IGKV1-5*04,HLA,IG,0.26
IGHD5-5*01,IGLJ1*01,IG,IG,0.26
CYP3A5*7,IGKV1D-8*01,CYP,IG,0.26
IGKV1-12*02,IGLV1-41*02,IG,IG,0.26
HLA-DPB1*05,CYP2C8*5,HLA,CYP,0.26
CYP2C8*3,IGKV1D-12*01,CYP,IG,0.26
IGHD4-11*01,TRGJ1*01,IG,TCR,0.26
CYP2D6*41,IGHV4-28*05,CYP,IG,0.26
IGHJ6*02,TRAV13-1*01,IG,TCR,0.26
IGHV4-31*09,IGKV2D-18*01,IG,IG,0.26
NAT2*1,IGHV1-69*05,CYP,IG,0.26
KIR3DL2*010,IGLV5-45*02,KIR,IG,0.26
HLA-DQA1*02,IGHV3-53*06,HLA,IG,0.26
KIR3DL1*002,IGKV3D-15*01,KIR,IG,0.26
KIR2DS4*004,KIR3DL3*003,KIR,KIR,0.26
IGKV6-21*01,IGKV2-24*01,IG,IG,0.26
KIR2DL3*005,IGLV2-8*01,KIR,IG,0.26
TRBV5-3*01,TRBV11-2*01,TCR,TCR,0.26
KIR2DS1*002,TRBV10-2*01,KIR,TCR,0.26
TRBV5-3*01,TRBV11-2*03,TCR,TCR,0.26
TRBV9*01,TRAJ32*01,TCR,TCR,0.26
KIR3DP1*002,CYP4F2*5,KIR,CYP,0.26
IGLV3-1*01,IGHV4-28*07,IG,IG,0.26
IGLV3-16*01,TRBV6-6*03,IG,TCR,0.26
IGLV2-18*02,TRBV7-3*02,IG,TCR,0.26
CYP2D6*132,IGHV4-61*12,CYP,IG,0.26
IGHV3-62*03,IGKV1-9*03,IG,IG,0.26
IGHV3-43*01,TRAJ47*01,IG,TCR,0.26
IGHV3-32*01,TRBV30*04,IG,TCR,0.26
IGKV2-40*01,IGHV4-59*13,IG,IG,0.26
HLA-DRB1*11,IGKV1-27*01,HLA,IG,0.26
HLA-DRB1*12,HLA-DRB1*14,HLA,HLA,0.26
IGLV2-18*01,IGKV1-8*02,IG,IG,0.26
TRGJ1*01,TRBV24-1*02,TCR,TCR,0.26
KIR3DL3*100,IGHV1-69*04,KIR,IG,0.26
IGHV3-33*08,TRBV10-1*02,IG,TCR,0.26
TRBV7-9*01,TRGV2*02,TCR,TCR,0.26
CYP2A6*54,IGLV3-21*02,CYP,IG,0.26
CYP2A6*9,IGKV1D-43*01,CYP,IG,0.26
IGHV2-70*15,IGHV4-4*01,IG,IG,0.26
IGHD4-11*01,IGHV3-69-1*02,IG,IG,0.26
HLA-B*35,IGLV4-60*03,HLA,IG,0.26
IGHV3-21*01,IGKV1D-42*02,IG,IG,0.26
HLA-DRB1*14,TRBV10-3*03,HLA,TCR,0.26
IGHV3-25*03,IGHV3-64D*06,IG,IG,0.26
HLA-A*03,HLA-C*08,HLA,HLA,0.26
IGHV3-13*03,IGLJ5*02,IG,IG,0.26
IGHV3-30-2*01,TRAV35*02,IG,TCR,0.26
HLA-B*51,IGHV1-45*03,HLA,IG,0.26
IGLJ3*02,IGKV1-17*03,IG,IG,0.26
IGHD2-8*02,TRBV11-2*03,IG,TCR,0.26
IGLJ3*02,IGKV1-9*03,IG,IG,0.26
HLA-B*35,KIR2DS2*001,HLA,KIR,0.26
IGLV3-25*03,TRAV9-2*03,IG,TCR,0.26
HLA-C*16,TRAV1-1*01,HLA,TCR,0.26
HLA-C*15,IGHV3-62*03,HLA,IG,0.26
IGHV8-51-1*05,IGLJ5*02,IG,IG,0.26
IGHV1-69*02,TRAV9-2*03,IG,TCR,0.26
IGKV1D-8*03,IGHD5-12*01,IG,IG,0.26
KIR3DL3*006,IGLV3-32*01,KIR,IG,0.26
HLA-DPB1*03,KIR2DL4*006,HLA,KIR,0.26
IGKV1-37*01,IGLV3-27*01,IG,IG,0.26
HLA-DRB1*12,CYP2C9*3,HLA,CYP,0.26
KIR3DL3*010,IGHJ4*02,KIR,IG,0.26
CYP3A5*1,IGLV3-22*01,CYP,IG,0.26
HLA-C*15,TRBV11-3*01,HLA,TCR,0.26
TRAV8-3*02,TRBV2*01,TCR,TCR,0.26
IGKV3-20*01,TRAJ32*02,IG,TCR,0.26
KIR3DL1*007,IGLV2-23*03,KIR,IG,0.26
IGHV3-20*01,IGHV3-32*02,IG,IG,0.26
CYP2A6*24,TRAJ24*03,CYP,TCR,0.26
HLA-T*02,CYP2C8*2,HLA,CYP,0.26
IGHD1-7*01,TRBV5-5*02,IG,TCR,0.26
CYP2C19*17,IGHV3-7*03,CYP,IG,0.26
IGLV2-14*01,IGHV3-47*01,IG,IG,0.26
SLCO1B1*14,IGHV3-13*06,CYP,IG,0.26
IGKV1-13*01,TRBV7-7*02,IG,TCR,0.26
IGLV2-8*01,IGHV1-2*04,IG,IG,0.26
IGKV3-15*01,IGLJ3*02,IG,IG,0.26
HLA-DPA1*02,IGLV3-21*04,HLA,IG,0.26
IGHD2-2*02,IGLV1-44*01,IG,IG,0.26
IGKV1-16*02,IGLV3-13*02,IG,IG,0.26
HLA-C*01,KIR2DS1*002,HLA,KIR,0.26
IGKV3-15*02,IGHV7-81*02,IG,IG,0.26
IGKV1-17*01,IGKV2-4*02,IG,IG,0.26
HLA-C*08,IGHV5-10-1*01,HLA,IG,0.26
IGLV2-23*04,TRBV7-7*02,IG,TCR,0.26
IGKV3-11*01,TRGV2*02,IG,TCR,0.26
HLA-U*01,TRAJ32*02,HLA,TCR,0.26
HLA-DQA1*01,IGHV5-51*01,HLA,IG,0.26
IGHV3-30*18,IGHV3-11*04,IG,IG,0.26
HLA-F*01,CYP3A4*20,HLA,CYP,0.26
IGKV2-18*01,IGHV4-55*02,IG,IG,0.26
HLA-DRB1*03,TRGV4*01,HLA,TCR,0.26
IGLV7-46*01,IGHV3-74*02,IG,IG,0.26
MICB*005,IGHV5-10-1*03,HLA,IG,0.26
TRBV6-6*03,TRBV6-6*02,TCR,TCR,0.26
KIR2DL4*001,KIR2DL5A*001,KIR,KIR,0.26
TRBV6-6*03,TRBV11-2*03,TCR,TCR,0.26
KIR2DL4*006,IGHV4-59*13,KIR,IG,0.26
IGHV3-21*01,IGHV2-5*01,IG,IG,0.26
KIR3DL1*059,KIR3DL1*062,KIR,KIR,0.26
IGKV3-11*01,TRGV2*01,IG,TCR,0.26
HLA-DRB1*09,HLA-DRB1*04,HLA,HLA,0.26
HLA-DPB1*03,IGLV3-31*01,HLA,IG,0.26
KIR2DP1*001,IGHV7-81*02,KIR,IG,0.26
IGHV3-48*04,IGHV3-23*03,IG,IG,0.26
CYP4F2*6,IGHV3-54*07,CYP,IG,0.26
IGKV1-13*02,IGKV4-1*02,IG,IG,0.26
HLA-DPB1*01,IGHV3-64*07,HLA,IG,0.26
IGHV3-48*02,IGLV2-14*03,IG,IG,0.26
HLA-A*33,IGHV3-23*01,HLA,IG,0.26
CYP2A6*54,CYP2A6*46,CYP,CYP,0.26
IGHV5-51*03,IGHD1-14*01,IG,IG,0.26
KIR3DL3*027,IGHV7-4-1*02,KIR,IG,0.26
CYP4F2*6,IGHD1-7*01,CYP,IG,0.26
CYP2A6*1,IGLV8-61*01,CYP,IG,0.26
KIR3DP1*023,IGHD5-24*01,KIR,IG,0.26
KIR3DP1*001,CYP3A4*10,KIR,CYP,0.26
CYP2C8*5,CYP2A6*54,CYP,CYP,0.26
KIR3DP1*009,CYP4F2*3,KIR,CYP,0.26
CYP2A6*54,TRBV7-3*02,CYP,TCR,0.26
SLCO1B1*37,CYP2C9*11,CYP,CYP,0.26
IGHV7-34-1*04,IGHV3-62*04,IG,IG,0.26
MICA*001,KIR2DS2*001,HLA,KIR,0.26
IGHV4-31*13,TRBV9*02,IG,TCR,0.26
HLA-A*11,KIR3DL2*023,HLA,KIR,0.26
IGLV3-19*01,TRBV10-1*01,IG,TCR,0.26
HLA-DRB3*01,IGHV3-21*01,HLA,IG,0.26
CYP4F2*3,IGKV2-24*01,CYP,IG,0.26
CYP2C19*38,IGLV4-60*03,CYP,IG,0.26
IGLV3-21*04,IGKV5-2*02,IG,IG,0.26
TRAJ24*02,TRBJ2-6*01,TCR,TCR,0.26
IGLV3-25*03,TRAV8-4*03,IG,TCR,0.26
CYP3A5*1,IGLV3-22*03,CYP,IG,0.26
IGHV4-4*02,IGLV1-44*01,IG,IG,0.26
IGHV3-7*03,IGLV1-51*02,IG,IG,0.26
IGKV3D-7*01,TRBV10-3*01,IG,TCR,0.26
HLA-DQB1*06,IGKV6-21*02,HLA,IG,0.26
KIR3DL3*006,CYP2B6*43,KIR,CYP,0.26
IGLV3-25*03,IGLV2-23*02,IG,IG,0.26
IGHD6-6*01,IGKV3D-15*03,IG,IG,0.26
HLA-DQA1*05,IGHV4-31*03,HLA,IG,0.26
CYP2C19*38,IGHD2-8*02,CYP,IG,0.26
IGHV3-35*01,IGLJ5*01,IG,IG,0.26
HLA-DQB1*03,MICB*005,HLA,HLA,0.26
CYP4F2*3,IGHV2-70*05,CYP,IG,0.26
IGKV1-9*03,TRAV12-2*03,IG,TCR,0.26
CYP2D6*40,IGHV3-30*02,CYP,IG,0.26
IGKV1D-17*01,IGHV3-30*02,IG,IG,0.26
MICB*005,CYP2C8*2,HLA,CYP,0.26
IGKV1-17*01,IGHV2-70*15,IG,IG,0.26
IGKV3D-20*01,TRAJ24*03,IG,TCR,0.26
KIR3DP1*001,IGHV2-70*05,KIR,IG,0.26
IGKV5-2*02,TRAV35*01,IG,TCR,0.26
IGKV3D-11*01,TRGV2*01,IG,TCR,0.26
CYP4F2*3,NAT2*6,CYP,CYP,0.26
IGHV1-58*01,IGLV4-60*03,IG,IG,0.26
IGHV8-51-1*04,IGHV3-53*04,IG,IG,0.26
IGHV8-51-1*04,IGHV3-11*04,IG,IG,0.26
IGKV2-40*01,TRBV7-7*01,IG,TCR,0.26
IGHV1-58*02,IGLV2-34*01,IG,IG,0.26
IGHV4-55*01,IGLV3-32*01,IG,IG,0.26
HLA-B*08,TRBJ2-7*02,HLA,TCR,0.26
HLA-K*01,IGHV2-5*11,HLA,IG,0.26
HLA-H*02,IGKV2-29*01,HLA,IG,0.26
HLA-H*01,IGHV3-64D*09,HLA,IG,0.26
KIR3DL1*062,IGHV3-63*02,KIR,IG,0.26
KIR2DP1*009,KIR2DL3*005,KIR,KIR,0.26
IGKV1-8*01,IGHV1-3*02,IG,IG,0.26
HLA-DPA1*03,TRBV10-3*02,HLA,TCR,0.26
IGHD1-26*01,IGHV3-7*05,IG,IG,0.26
CYP3A5*1,IGLV2-23*02,CYP,IG,0.26
HLA-DOA*01,IGLV3-22*01,HLA,IG,0.26
HLA-DQA1*02,IGHV4-61*12,HLA,IG,0.26
HLA-C*16,IGHV4-59*13,HLA,IG,0.26
IGHV3-62*06,TRAV21*02,IG,TCR,0.26
HLA-DRB1*03,KIR2DL3*002,HLA,KIR,0.26
MICA*001,HLA-A*23,HLA,HLA,0.26
IGKV3-7*05,IGKV1-17*03,IG,IG,0.26
MICA*010,IGLV4-3*01,HLA,IG,0.26
HLA-DRB3*01,IGHV1-3*02,HLA,IG,0.26
IGHV3-66*02,TRBV16*02,IG,TCR,0.26
KIR2DS4*003,TRAV1-1*01,KIR,TCR,0.26
KIR2DS2*001,CYP2A6*46,KIR,CYP,0.26
IGHV3-11*04,TRAV38-1*03,IG,TCR,0.26
HLA-DQB1*03,IGHD5-18*01,HLA,IG,0.26
HLA-DQA1*02,IGHV7-34-1*02,HLA,IG,0.26
CYP4F2*1,IGHV7-34-1*02,CYP,IG,0.26
HLA-B*58,CYP3A5*7,HLA,CYP,0.26
CYP2C9*11,IGHV3-49*04,CYP,IG,0.26
KIR3DL2*001,IGHV3-25*02,KIR,IG,0.26
IGHJ6*04,TRBJ2-6*01,IG,TCR,0.26
TAP2*01,KIR2DL1*004,HLA,KIR,0.26
HLA-A*23,IGHV4-4*12,HLA,IG,0.26
IGKV1-16*02,IGKJ4*02,IG,IG,0.26
IGHJ6*03,IGKV3-7*05,IG,IG,0.26
TAP2*01,TRBV7-2*01,HLA,TCR,0.26
IGHV1-24*01,IGHV3-73*02,IG,IG,0.26
KIR3DP1*001,IGLV6-57*04,KIR,IG,0.26
KIR2DL4*006,IGHV7-40*03,KIR,IG,0.26
IGKV2D-18*01,IGLV2-8*01,IG,IG,0.26
CYP2C8*1,SLCO1B1*37,CYP,CYP,0.26
IGLV3-21*03,IGHV3-11*04,IG,IG,0.26
IGHV2-70*01,IGKV1-16*02,IG,IG,0.26
CYP2C9*2,IGHV3-49*05,CYP,IG,0.26
KIR2DL2*001,KIR2DL5B*035,KIR,KIR,0.26
IGKV2-18*01,TRBV16*02,IG,TCR,0.26
HLA-DRB3*02,KIR3DP1*001,HLA,KIR,0.26
KIR3DL3*009,IGHD4-11*01,KIR,IG,0.26
IGLV3-22*01,IGHV4-28*02,IG,IG,0.26
KIR3DL3*008,IGHV3-64*02,KIR,IG,0.26
TRBV5-3*01,TRBJ2-6*01,TCR,TCR,0.26
IGKJ1*01,IGKV1-16*02,IG,IG,0.26
MICA*004,IGHV2-5*02,HLA,IG,0.26
HLA-DPB1*03,IGHV4-31*09,HLA,IG,0.26
CYP2A6*54,IGKV1D-16*01,CYP,IG,0.26
KIR2DP1*002,IGHV8-51-1*04,KIR,IG,0.26
KIR3DL3*002,TRAV26-1*02,KIR,TCR,0.26
IGHV3-7*03,TRAV13-1*02,IG,TCR,0.26
HLA-G*01,IGKV1-8*03,HLA,IG,0.26
KIR3DL3*004,IGHV7-34-1*04,KIR,IG,0.26
CYP4F2*5,IGHV3-7*01,CYP,IG,0.26
KIR2DS4*006,NAT2*5,KIR,CYP,0.26
HLA-DPB1*04,IGLV2-18*01,HLA,IG,0.26
HLA-G*01,HLA-H*01,HLA,HLA,0.26
KIR2DL3*002,IGHD2-2*01,KIR,IG,0.26
CYP2D6*1,IGHV3-48*04,CYP,IG,0.26
KIR2DP1*002,KIR2DL4*045,KIR,KIR,0.26
IGHV1-18*04,IGHV4-4*10,IG,IG,0.26
TRAV35*01,TRAV6*01,TCR,TCR,0.26
HLA-P*02,CYP3A5*1,HLA,CYP,0.26
IGHD4-17*01,IGHD1-20*01,IG,IG,0.26
HLA-A*24,HLA-DQB1*05,HLA,HLA,0.26
IGHV4-39*01,IGLV5-45*03,IG,IG,0.26
HLA-A*24,IGLV4-60*03,HLA,IG,0.26
HLA-W*01,IGHV3-30*03,HLA,IG,0.26
IGHV4-55*02,TRBV14*01,IG,TCR,0.26
CYP2A6*1,IGHV8-51-1*03,CYP,IG,0.26
