Allele_1,Allele_2,Family_1,Family_2,Stability_Score
IGLV5-48*01,IGLV5-48*02,IG,IG,0.98
TRAV26-1*02,TRAV26-1*01,TCR,TCR,0.98
HLA-DPA1*01,HLA-C*16,HLA,HLA,0.98
IGLV3-22*01,IGLV3-22*03,IG,IG,0.97
KIR2DL1*002,KIR2DL3*002,KIR,KIR,0.97
TRBV14*02,TRBV11-3*04,TCR,TCR,0.97
IGLV2-18*01,IGLV2-18*02,IG,IG,0.97
TRBV9*01,TRBV7-3*03,TCR,TCR,0.97
TRBV21-1*02,TRBV21-1*01,TCR,TCR,0.97
TRBV17*02,TRBV17*01,TCR,TCR,0.97
IGHV3-62*03,IGHV1-58*02,IG,IG,0.97
TRAV35*02,TRAV35*01,TCR,TCR,0.97
TRBV11-3*01,TRBV14*01,TCR,TCR,0.97
TRAV12-2*01,TRAV8-4*03,TCR,TCR,0.97
IGLV1-41*02,IGLV1-41*01,IG,IG,0.97
IGHV3-23*01,IGHV3-23*04,IG,IG,0.97
TRBV6-6*01,TRBV6-6*02,TCR,TCR,0.97
IGLV1-51*02,IGLV1-51*01,IG,IG,0.97
HLA-C*12,SLCO1B1*20,HLA,CYP,0.97
IGHD3-10*01,IGHD3-9*01,IG,IG,0.96
CYP3A5*3,CYP3A5*1,CYP,CYP,0.96
NAT2*6,IGLV3-16*01,CYP,IG,0.96
IGHV3-54*02,IGHV4-55*02,IG,IG,0.96
TRBV24-1*02,TRBV24-1*01,TCR,TCR,0.96
IGLV7-46*01,IGLV7-46*04,IG,IG,0.96
TRBV11-3*01,TRBV14*02,TCR,TCR,0.96
CYP2C9*3,CYP2C19*38,CYP,CYP,0.96
TRAV12-2*01,TRAV8-4*01,TCR,TCR,0.96
TRBJ1-3*01,TRBJ1-5*01,TCR,TCR,0.96
TRBJ1-4*01,TRBJ1-5*01,TCR,TCR,0.96
IGLV1-36*01,IGLV3-31*01,IG,IG,0.95
TRBV7-3*01,TRBV9*01,TCR,TCR,0.95
KIR2DL4*006,KIR2DS4*004,KIR,KIR,0.95
KIR2DS3*001,IGHV3-25*03,KIR,IG,0.95
IGLV5-45*02,IGLV5-45*03,IG,IG,0.95
TRAV27*01,TRAV27*03,TCR,TCR,0.95
IGHV8-51-1*05,IGHV3-53*04,IG,IG,0.95
IGKV1D-13*01,IGKV1D-12*01,IG,IG,0.95
IGLV3-1*01,IGLJ1*01,IG,IG,0.94
TRGV3*01,TRGV3*02,TCR,TCR,0.94
KIR2DL4*006,KIR3DL1*007,KIR,KIR,0.94
TRBJ2-7*01,TRBJ2-7*02,TCR,TCR,0.94
IGHV3-20*04,IGHV2-5*01,IG,IG,0.94
IGHV7-4-1*01,IGKV2-24*02,IG,IG,0.94
TRBV7-3*03,TRBV9*02,TCR,TCR,0.94
TRBV6-4*01,TRBV5-3*01,TCR,TCR,0.94
TRAV20*02,TRAV20*01,TCR,TCR,0.94
IGLV2-5*01,IGLV2-5*02,IG,IG,0.94
IGHV3-47*02,IGHV3-47*01,IG,IG,0.94
IGHD1-14*01,IGHD2-15*01,IG,IG,0.93
HLA-DQB1*04,HLA-DQA1*04,HLA,HLA,0.93
CYP2C9*2,CYP2C8*3,CYP,CYP,0.93
TRBV7-3*01,TRBV5-3*01,TCR,TCR,0.93
TRBV5-3*01,TRBV9*01,TCR,TCR,0.93
IGKV1-27*02,IGKV2-29*02,IG,IG,0.93
HLA-DPA1*02,IGLV2-14*04,HLA,IG,0.92
TRBV15*02,TRBV15*01,TCR,TCR,0.92
IGHV3-64*02,IGHV3-64*01,IG,IG,0.92
CYP3A5*7,TRAV8-3*02,CYP,TCR,0.92
IGHV1-68*04,TRBV10-3*03,IG,TCR,0.92
HLA-DPB1*13,IGLV11-55*01,HLA,IG,0.92
TRBV14*01,TRBV20-1*05,TCR,TCR,0.92
KIR2DS1*002,KIR3DS1*013,KIR,KIR,0.92
HLA-H*01,HLA-A*02,HLA,HLA,0.92
IGHV1-3*02,IGHV4-4*12,IG,IG,0.92
TRBV6-4*01,TRBV7-3*01,TCR,TCR,0.92
IGHV3-54*04,IGHV3-54*07,IG,IG,0.92
TRBV5-3*01,TRBV7-3*03,TCR,TCR,0.92
HLA-DRB1*15,HLA-DRB5*01,HLA,HLA,0.91
IGHV1-2*06,IGKV2-4*01,IG,IG,0.91
