chain,correct,total,class,accuracy,cutoff
TRA,5328,5378,TRA,0.9907028635180365,0
TRD,336,336,TRD,1.0,0
TRG,641,646,TRG,0.9922600619195047,0
TRB,3206,3280,TRB,0.9774390243902439,0
IGH,3197,3678,IGH,0.8692224034801522,0
IGK,2059,2218,IGK,0.9283137962128043,0
IGL,3134,3158,IGL,0.9924002533248891,0
TRA,5296,5332,TRA,0.9932483120780196,5
TRD,336,336,TRD,1.0,5
TRG,641,646,TRG,0.9922600619195047,5
TRB,3165,3172,TRB,0.9977931904161412,5
IGH,2984,3104,IGH,0.961340206185567,5
IGK,2010,2052,IGK,0.97953216374269,5
IGL,3118,3138,IGL,0.9936265137029955,5
TRA,5132,5168,TRA,0.9930340557275542,10
TRD,326,326,TRD,1.0,10
TRG,631,636,TRG,0.9921383647798742,10
TRB,2975,2982,TRB,0.9976525821596244,10
IGH,2169,2234,IGH,0.9709042076991943,10
IGK,1783,1812,IGK,0.9839955849889624,10
IGL,2858,2876,IGL,0.9937413073713491,10
TRA,4566,4598,TRA,0.9930404523705959,15
TRD,294,294,TRD,1.0,15
TRG,579,584,TRG,0.9914383561643836,15
TRB,2581,2588,TRB,0.9972952086553323,15
IGH,1436,1466,IGH,0.9795361527967258,15
IGK,1416,1432,IGK,0.9888268156424581,15
IGL,2448,2460,IGL,0.9951219512195122,15
TRA,3991,4020,TRA,0.9927860696517413,20
TRD,246,246,TRD,1.0,20
TRG,499,504,TRG,0.9900793650793651,20
TRB,2110,2114,TRB,0.9981078524124882,20
IGH,956,972,IGH,0.9835390946502057,20
IGK,1101,1108,IGK,0.9936823104693141,20
IGL,2011,2022,IGL,0.9945598417408507,20
