Class,ALD,type
other,0.297855624905101,Wba
other,0.0958568848105894,Wab
other,0.261586612627019,Wba
other,0.459203164378456,Wab
other,0.338019158311783,Wba
other,0.119298556065084,Wab
other,0.266915649973906,Wba
other,0.228728932782359,Wab
other,0.317348837956863,Wba
other,0.142468238672123,Wab
other,0.268681313917671,Wba
other,0.353980401640649,Wab
other,0.322857744878805,Wba
other,0.149098384699754,Wab
other,0.2678270105749,Wba
other,0.225215069705434,Wab
other,0.247842353639978,Wba
other,0.431418793314518,Wab
other,0.281761447170252,Wba
other,0.173796576367866,Wab
other,0.270050603729264,Wba
other,0.148483636478805,Wab
other,0.281999846518297,Wba
other,0.116215379540891,Wab
other,0.262733638933665,Wba
other,0.140648769795725,Wab
other,0.305021974439201,Wba
other,0.236256189540702,Wab
other,0.310981654027656,Wba
other,0.262712446973943,Wab
other,0.340127896151625,Wba
other,0.212548775040157,Wab
other,0.307969841407661,Wba
other,0.162233443775477,Wab
other,0.304498440616342,Wba
other,0.0944607903998203,Wab
other,0.317882361901258,Wba
other,0.0884432211691931,Wab
other,0.341911057651073,Wba
other,0.0871681007269883,Wab
other,0.26986710409821,Wba
other,0.0891833952521737,Wab
other,0.326241927688234,Wba
other,0.100490585910533,Wab
other,0.301963683953695,Wba
other,0.120605014015221,Wab
other,0.285785481650119,Wba
other,0.199950168286302,Wab
other,0.289318807189622,Wba
other,0.152736374524322,Wab
other,0.32465028052302,Wba
other,0.0965868835500391,Wab
other,0.296419892511364,Wba
other,0.121217907955898,Wab
other,0.157301756556144,Wba
other,0.429970217263295,Wab
other,0.141309436450185,Wba
other,0.397505254771031,Wab
other,0.157477361017629,Wba
other,0.345848294427967,Wab
other,0.158561266565954,Wba
other,0.121476158323796,Wab
other,0.183959654067721,Wba
other,0.160361943375081,Wab
other,0.178649758560172,Wba
other,0.253195930961964,Wab
other,0.179630574675059,Wba
other,0.131056889342161,Wab
other,0.196404979140204,Wba
other,0.224385544759158,Wab
other,0.17378872501738,Wba
other,0.103910480816515,Wab
other,0.144559322376195,Wba
other,0.472932704905772,Wab
other,0.229161099834695,Wba
other,0.137864432805798,Wab
other,0.143219178900756,Wba
other,0.24226058017454,Wab
other,0.19488375240084,Wba
other,0.163492760784723,Wab
other,0.148508210848806,Wba
other,0.369147240257966,Wab
other,0.184650393267876,Wba
other,0.161515431553339,Wab
other,0.148257084548251,Wba
other,0.230727146515804,Wab
other,0.12569939842172,Wba
other,0.450747477174753,Wab
other,0.137748493269877,Wba
other,0.18987348040776,Wab
other,0.135483639325298,Wba
other,0.159792414636341,Wab
other,0.148089443151127,Wba
other,0.124647451335618,Wab
other,0.12079879291497,Wba
other,0.144412555698783,Wab
other,0.175344932282308,Wba
other,0.244388852101488,Wab
other,0.181541790458606,Wba
other,0.283039043046717,Wab
other,0.190811670194539,Wba
other,0.22079861749344,Wab
other,0.183898794149076,Wba
other,0.181883027441805,Wab
other,0.14016348387695,Wba
other,0.0994046303840795,Wab
other,0.18096261922695,Wba
other,0.102155826077873,Wab
other,0.174393653293766,Wba
other,0.0849980628894814,Wab
other,0.139521979008001,Wba
other,0.0992289380353251,Wab
other,0.155192410102514,Wba
other,0.101037249165788,Wab
other,0.167610683906013,Wba
other,0.132391066504485,Wab
other,0.153097840797505,Wba
other,0.207106473806546,Wab
other,0.113364790201112,Wba
other,0.161304093598968,Wab
other,0.187088110699597,Wba
other,0.107264495090662,Wab
other,0.162730211809027,Wba
other,0.121415019033107,Wab
other,0.362014975149448,Wba
other,0.388973389823565,Wab
other,0.340930951681553,Wba
other,0.360659236871695,Wab
other,0.355625031450768,Wba
other,0.298375547201655,Wab
other,0.397488435587874,Wba
other,0.115271320596307,Wab
other,0.394613583481558,Wba
other,0.130949099010654,Wab
other,0.382974993137339,Wba
other,0.221222117226583,Wab
other,0.398670343841976,Wba
other,0.113687633274325,Wab
other,0.392284696661517,Wba
other,0.192393699670834,Wab
other,0.404888681861251,Wba
other,0.0902950385825813,Wab
other,0.34191519779066,Wba
other,0.431523348447631,Wab
other,0.43041486656023,Wba
other,0.102236925364206,Wab
other,0.352449961728338,Wba
other,0.213069746473819,Wab
other,0.392013822361881,Wba
other,0.135752988760182,Wab
other,0.347242057966051,Wba
other,0.337998146348162,Wab
other,0.400216848272542,Wba
other,0.137494378252283,Wab
other,0.353043130625123,Wba
other,0.206703971226386,Wab
other,0.326580439208278,Wba
other,0.414026912131407,Wab
other,0.369853446118882,Wba
other,0.166274861226751,Wab
other,0.366386676990545,Wba
other,0.143437436220551,Wab
other,0.387344542507588,Wba
other,0.111686507035951,Wab
other,0.363984142603409,Wba
other,0.134130847128621,Wab
other,0.377869325872002,Wba
other,0.207788862773498,Wab
other,0.385955939333034,Wba
other,0.245056755280841,Wab
other,0.413718962853896,Wba
other,0.188901598294385,Wab
other,0.386143864748995,Wba
other,0.152612478559507,Wab
other,0.402045921285825,Wba
other,0.0924484577547153,Wab
other,0.423541867923859,Wba
other,0.0811630783576461,Wab
other,0.422676157222072,Wba
other,0.0788783506954422,Wab
other,0.358546940576915,Wba
other,0.0873112432878728,Wab
other,0.41093877434239,Wba
other,0.0832286982693441,Wab
other,0.384619051496317,Wba
other,0.11807827472549,Wab
other,0.3732557526543,Wba
other,0.192309642485132,Wab
other,0.371696347818245,Wba
other,0.154488390052203,Wab
other,0.408089329721973,Wba
other,0.0962384347545955,Wab
other,0.383246583298712,Wba
other,0.124875607914785,Wab
other,0.285470561505229,Wba
other,0.392895963054836,Wab
other,0.267189496788121,Wba
other,0.342648706615879,Wab
other,0.283017854829439,Wba
other,0.299838768303541,Wab
other,0.304471698848749,Wba
other,0.115732814103761,Wab
other,0.310216908470203,Wba
other,0.127297560320424,Wab
other,0.310045876038648,Wba
other,0.204032328155006,Wab
other,0.322318567721592,Wba
other,0.105812604813171,Wab
other,0.324068199313747,Wba
other,0.192870496208882,Wab
other,0.30959725738067,Wba
other,0.081074539115807,Wab
other,0.265200052600808,Wba
other,0.417320223371817,Wab
other,0.354876281363125,Wba
other,0.102465395675546,Wab
other,0.27119437342376,Wba
other,0.208536274207757,Wab
other,0.319110425267366,Wba
other,0.132692038079779,Wab
other,0.267018240449554,Wba
other,0.322551780130321,Wab
other,0.316999725076218,Wba
other,0.134949516003593,Wab
other,0.267028506914307,Wba
other,0.19164322907273,Wab
other,0.248703632977442,Wba
other,0.399158963811655,Wab
other,0.286445424624816,Wba
other,0.157255757569588,Wab
other,0.277912149497562,Wba
other,0.135983179526004,Wab
other,0.300043533020233,Wba
other,0.103370979556617,Wab
other,0.255253192611332,Wba
other,0.119868317151034,Wab
other,0.303347995543044,Wba
other,0.201335868228543,Wab
other,0.314184019555477,Wba
other,0.239773890753289,Wab
other,0.33484353295174,Wba
other,0.183377301172748,Wab
other,0.319421654177189,Wba
other,0.141622807860763,Wab
other,0.331134796271565,Wba
other,0.0973081077043344,Wab
other,0.364475555750235,Wba
other,0.0829374731156972,Wab
other,0.315544215737526,Wba
other,0.0804572120394764,Wab
other,0.28909750098299,Wba
other,0.0877500908207292,Wab
other,0.32333802490779,Wba
other,0.0823728864812426,Wab
other,0.320169702848819,Wba
other,0.116374171380754,Wab
other,0.295644919367357,Wba
other,0.180480721863469,Wab
other,0.294781458766502,Wba
other,0.150932845884743,Wab
other,0.32413554799064,Wba
other,0.0910387544132794,Wab
other,0.298861812246937,Wba
other,0.111861162148558,Wab
other,0.281092995077568,Wba
other,0.392983017031381,Wab
other,0.264800195387793,Wba
other,0.360196099580079,Wab
other,0.274536906931745,Wba
other,0.307138388702922,Wab
other,0.304374196066601,Wba
other,0.116178524951747,Wab
other,0.311872729694914,Wba
other,0.127859165235421,Wab
other,0.301986215349268,Wba
other,0.213800841487819,Wab
other,0.303842817651776,Wba
other,0.110199264759398,Wab
other,0.322309611245808,Wba
other,0.200101081356763,Wab
other,0.31130847245506,Wba
other,0.09367723709298,Wab
other,0.265132423329102,Wba
other,0.430932979786108,Wab
other,0.335721320972189,Wba
other,0.101594707701338,Wab
other,0.269178315626726,Wba
other,0.214760022032858,Wab
other,0.313285319155905,Wba
other,0.13501975434916,Wab
other,0.265453302917987,Wba
other,0.326523995093007,Wab
other,0.319770686471915,Wba
other,0.140767852232067,Wab
other,0.270074732782671,Wba
other,0.196045872388269,Wab
other,0.245618864676959,Wba
other,0.409331847689082,Wab
other,0.278417298139233,Wba
other,0.165171400856014,Wab
other,0.279893240995529,Wba
other,0.137645020778576,Wab
other,0.291375291381377,Wba
other,0.110128165489153,Wab
other,0.277269658585364,Wba
other,0.129494653276381,Wab
other,0.29444960452054,Wba
other,0.210121431655131,Wab
other,0.311360500888067,Wba
other,0.243264540650061,Wab
other,0.330362045647406,Wba
other,0.181705989242769,Wab
other,0.310693351743694,Wba
other,0.142665582582117,Wab
other,0.330707707331791,Wba
other,0.0924049000726165,Wab
other,0.336096049443842,Wba
other,0.0789921159592951,Wab
other,0.30772690626934,Wba
other,0.07894248190924,Wab
other,0.282850366932686,Wba
other,0.0858916249537597,Wab
other,0.304289457016448,Wba
other,0.0873340545632882,Wab
other,0.292830404048631,Wba
other,0.119849666808509,Wab
other,0.292765960617281,Wba
other,0.193757024063525,Wab
other,0.273553632160187,Wba
other,0.149844471649604,Wab
other,0.315499294629483,Wba
other,0.0841714493161135,Wab
other,0.301920214811928,Wba
other,0.11892452782851,Wab
