vdj,gene,ALD,type
CYP2D6,TRAJ37,0.0564274189333219,"(CYP,TCR)"
CYP2D6,TRAJ47,0.0640532526329577,"(CYP,TCR)"
CYP2D6,TRAJ8,0.0250501804587827,"(CYP,TCR)"
CYP2D6,TRAV1-1,0.0424314705240684,"(CYP,TCR)"
CYP2D6,TRAV1-2,0.0514837293616917,"(CYP,TCR)"
CYP2D6,TRAV10,0.0479268606914175,"(CYP,TCR)"
CYP2D6,TRAV12-2,0.0723474674078054,"(CYP,TCR)"
CYP2D6,TRAV13-1,0.0305649658702103,"(CYP,TCR)"
CYP2D6,TRAV20,0.0355012805775245,"(CYP,TCR)"
CYP2D6,TRAV21,0.0490401775406792,"(CYP,TCR)"
CYP2D6,TRAV26-1,0.0311460996112121,"(CYP,TCR)"
CYP2D6,TRAV26-2,0.0275372816919742,"(CYP,TCR)"
CYP2D6,TRAV27,0.0517663665728329,"(CYP,TCR)"
CYP2D6,TRAV30,0.0837593201752696,"(CYP,TCR)"
CYP2D6,TRAV35,0.051350033805124,"(CYP,TCR)"
CYP2D6,TRAV38-1,0.045744966224231,"(CYP,TCR)"
CYP2D6,TRAV6,0.0766731489081856,"(CYP,TCR)"
CYP2D6,TRAV8-2,0.0619154306445034,"(CYP,TCR)"
CYP2D6,TRAV8-3,0.0367937773543489,"(CYP,TCR)"
CYP2D6,TRAV8-4,0.0580922257908383,"(CYP,TCR)"
CYP2D6,TRAV8-6,0.0495840273291335,"(CYP,TCR)"
CYP2D6,TRAV8-7,0.054777738536443,"(CYP,TCR)"
CYP2D6,TRAV9-2,0.0578385996948321,"(CYP,TCR)"
CYP2D6,TRBJ1-6,0.0713582447977971,"(CYP,TCR)"
CYP2D6,TRBJ2-7,0.0448072036195483,"(CYP,TCR)"
CYP2D6,TRBV10-1,0.0284995732392289,"(CYP,TCR)"
CYP2D6,TRBV10-2,0.0493512614149378,"(CYP,TCR)"
CYP2D6,TRBV10-3,0.0868345897636827,"(CYP,TCR)"
CYP2D6,TRBV11-2,0.0336600775491902,"(CYP,TCR)"
CYP2D6,TRBV11-3,0.0356720891223645,"(CYP,TCR)"
CYP2D6,TRBV14,0.0431858594232243,"(CYP,TCR)"
CYP2D6,TRBV15,0.0543412610872328,"(CYP,TCR)"
CYP2D6,TRBV16,0.0790876644462577,"(CYP,TCR)"
CYP2D6,TRBV17,0.0535622522328734,"(CYP,TCR)"
CYP2D6,TRBV19,0.0611579835253921,"(CYP,TCR)"
CYP2D6,TRBV20-1,0.0893447122260136,"(CYP,TCR)"
CYP2D6,TRBV21-1,0.0394730654637016,"(CYP,TCR)"
CYP2D6,TRBV24-1,0.041639560353558,"(CYP,TCR)"
CYP2D6,TRBV2,0.0415616532269874,"(CYP,TCR)"
CYP2D6,TRBV30,0.105124761471524,"(CYP,TCR)"
CYP2D6,TRBV5-3,0.0495352094423354,"(CYP,TCR)"
CYP2D6,TRBV5-5,0.0328956759971036,"(CYP,TCR)"
CYP2D6,TRBV6-4,0.0336408419599596,"(CYP,TCR)"
CYP2D6,TRBV6-6,0.0592570136203726,"(CYP,TCR)"
CYP2D6,TRBV7-2,0.0346495118673164,"(CYP,TCR)"
CYP2D6,TRBV7-3,0.0848213382744281,"(CYP,TCR)"
CYP2D6,TRBV7-9,0.0379749454874572,"(CYP,TCR)"
CYP2D6,TRBV9,0.0464179869457805,"(CYP,TCR)"
CYP2D6,TRDV2,0.0672127456396865,"(CYP,TCR)"
CYP2D6,TRDV3,0.0398105173671327,"(CYP,TCR)"
CYP2D6,TRGJ1,0.0268395350873534,"(CYP,TCR)"
CYP2D6,TRGV10,0.0287856504884882,"(CYP,TCR)"
