Class1,Class2,ALD
CYP,IG,0.143183924995221
IG,CYP,0.143183924995221
CYP,TCR,0.105124761471524
TCR,CYP,0.105124761471524
HLA,CYP,0.272680199348382
CYP,HLA,0.272680199348382
HLA,IG,0.192670077370737
IG,HLA,0.192670077370737
HLA,TCR,0.210208151789022
TCR,HLA,0.210208151789022
IG,TCR,0.427087540149199
TCR,IG,0.427087540149199
KIR,CYP,0.299712823314964
CYP,KIR,0.299712823314964
KIR,HLA,0.392241458772495
HLA,KIR,0.392241458772495
KIR,IG,0.145606941103557
IG,KIR,0.145606941103557
KIR,TCR,0.13412175595766
TCR,KIR,0.13412175595766
