CYP2D6,22
HLA-A,28
HLA-B,22
HLA-C,23
HLA-DMA,3
HLA-DMB,6
HLA-DOA,25
HLA-DOB,5
HLA-DPA1,21
HLA-DPA2,5
HLA-DPB1,22
HLA-DPB2,7
HLA-DQA1,26
HLA-DQA2,9
HLA-DQB1,26
HLA-DQB2,12
HLA-DRA,20
HLA-DRB1,16
HLA-DRB3,5
HLA-DRB4,5
HLA-DRB5,2
HLA-E,3
HLA-F,28
HLA-G,29
HLA-H,25
HLA-J,14
HLA-K,12
HLA-L,10
HLA-P,12
HLA-T,11
HLA-U,12
HLA-W,12
IGHV1-45,10
IGHV1-46,7
IGHV1-58,17
IGHV1-68,17
IGHV2-70,5
IGHV3-23,2
IGHV3-30,3
IGHV3-30-2,3
IGHV3-35,2
IGHV3-47,14
IGHV3-48,17
IGHV3-49,19
IGHV3-52,9
IGHV3-53,19
IGHV3-62,17
IGHV3-63,14
IGHV3-64,16
IGHV3-66,16
IGHV3-71,17
IGHV3-73,13
IGHV3-74,3
IGHV4-34,2
IGHV4-55,17
IGHV4-59,9
IGHV5-51,21
IGHV7-34-1,8
IGHV7-81,16
IGHV8-51-1,20
IGKV1-13,2
IGKV1-27,2
IGKV1D-16,5
IGKV1D-42,11
IGKV1D-8,10
IGKV2-29,3
IGKV2-30,4
IGKV2D-26,2
IGKV2D-29,7
IGKV3D-11,8
IGKV3D-15,10
IGLJ3,2
IGLJ5,3
IGLJ7,3
IGLV1-41,2
IGLV1-44,4
IGLV1-47,4
IGLV1-51,3
IGLV10-54,2
IGLV11-55,2
IGLV2-14,3
IGLV2-18,3
IGLV2-23,2
IGLV2-34,2
IGLV2-5,2
IGLV2-8,2
IGLV3-10,3
IGLV3-12,2
IGLV3-13,3
IGLV3-19,2
IGLV3-21,3
IGLV3-25,2
IGLV4-60,2
IGLV5-37,2
IGLV5-45,5
IGLV5-48,4
IGLV6-57,3
IGLV7-46,5
IGLV8-61,2
KIR2DL1,19
KIR2DL3,7
KIR2DL4,23
KIR2DP1,23
KIR2DS4,7
KIR3DL1,20
KIR3DL2,19
KIR3DL3,20
MICA,15
MICB,2
TAP1,4
TAP2,6
TRAJ13,4
TRAJ16,4
TRAJ24,9
TRAJ32,4
TRAJ37,4
TRAJ47,3
TRAJ8,2
TRAV1-1,2
TRAV1-2,2
TRAV10,6
TRAV12-2,4
TRAV13-1,7
TRAV20,2
TRAV21,2
TRAV26-1,2
TRAV26-2,2
TRAV27,3
TRAV30,4
TRAV35,2
TRAV38-1,2
TRAV6,4
TRAV8-2,3
TRAV8-3,4
TRAV8-4,4
TRAV8-6,4
TRAV8-7,2
TRAV9-2,2
TRBJ1-6,12
TRBJ2-7,5
TRBV10-1,7
TRBV10-2,8
TRBV10-3,12
TRBV11-2,5
TRBV11-3,5
TRBV14,6
TRBV15,10
TRBV16,26
TRBV17,9
TRBV19,3
TRBV2,2
TRBV20-1,16
TRBV21-1,8
TRBV24-1,8
TRBV30,14
TRBV5-3,7
TRBV5-5,4
TRBV6-4,7
TRBV6-6,4
TRBV7-2,3
TRBV7-3,7
TRBV7-6,2
TRBV7-9,5
TRBV9,7
TRDV2,2
TRDV3,2
TRGJ1,2
TRGV10,2
TRGV2,3
TRGV3,3
TRGV4,2
TRGV9,2
