Pop,Gene,hete,hhomo,hete_freq
AFR,IGHV3-30,82,54,0.6029411764705882
other,IGHV3-13,70,150,0.3181818181818182
AFR,IGHV3-13,27,49,0.35526315789473684
other,IGKV2D-26,2,529,0.003766478342749529
AFR,IGKV2D-26,0,176,0.0
other,IGHD6-13,0,13,0.0
AFR,IGHD6-13,0,8,0.0
AFR,IGHD1-26,0,2,0.0
other,TRAJ33,0,595,0.0
AFR,TRAJ33,0,207,0.0
other,IGHD5-12,0,16,0.0
AFR,IGHD5-12,0,11,0.0
other,IGKV1-6,1,114,0.008695652173913044
AFR,IGKV1-6,0,51,0.0
other,IGHV7-4-1,9,92,0.0891089108910891
AFR,IGHV7-4-1,1,14,0.06666666666666667
other,IGLV3-27,0,495,0.0
AFR,IGLV3-27,0,181,0.0
other,TRAV8-3,241,366,0.3970345963756178
AFR,TRAV8-3,94,130,0.41964285714285715
other,IGHD3-16,2,3,0.4
AFR,IGHD3-16,0,7,0.0
other,TRAJ55,0,583,0.0
AFR,TRAJ55,0,209,0.0
other,IGLV1-47,113,422,0.21121495327102804
AFR,IGLV1-47,9,199,0.04326923076923077
other,TRAV2,0,626,0.0
AFR,TRAV2,0,218,0.0
other,IGKV3-15,3,225,0.013157894736842105
AFR,IGKV3-15,16,70,0.18604651162790697
other,IGKV1D-12,30,184,0.14018691588785046
AFR,IGKV1D-12,17,99,0.14655172413793102
other,IGKJ2,9,40,0.1836734693877551
AFR,IGKJ2,3,32,0.08571428571428572
other,IGLV1-36,0,498,0.0
AFR,IGLV1-36,0,182,0.0
other,TRAJ57,0,357,0.0
AFR,TRAJ57,0,197,0.0
other,TRBV20-1,251,341,0.4239864864864865
AFR,TRBV20-1,55,160,0.2558139534883721
other,IGLV9-49,0,539,0.0
AFR,IGLV9-49,0,195,0.0
other,TRBJ2-7,46,534,0.07931034482758621
AFR,TRBJ2-7,53,150,0.26108374384236455
other,IGHV3-21,0,290,0.0
AFR,IGHV3-21,8,91,0.08080808080808081
other,IGLV5-37,114,392,0.22529644268774704
AFR,IGLV5-37,33,153,0.1774193548387097
other,IGLV1-62,0,595,0.0
AFR,IGLV1-62,0,209,0.0
other,IGLV1-44,4,529,0.0075046904315197
AFR,IGLV1-44,37,156,0.19170984455958548
other,TRGV4,125,264,0.3213367609254499
AFR,TRGV4,16,100,0.13793103448275862
other,TRAJ47,220,358,0.3806228373702422
AFR,TRAJ47,42,143,0.22702702702702704
other,IGHV3-64,201,377,0.3477508650519031
AFR,IGHV3-64,67,136,0.33004926108374383
other,IGKV1D-8,97,356,0.2141280353200883
AFR,IGKV1D-8,60,76,0.4411764705882353
other,IGHV3-52,90,445,0.16822429906542055
AFR,IGHV3-52,22,158,0.12222222222222222
other,TRAJ36,0,592,0.0
AFR,TRAJ36,0,210,0.0
other,TRBV6-1,0,582,0.0
AFR,TRBV6-1,0,210,0.0
other,TRAV4,0,613,0.0
AFR,TRAV4,0,220,0.0
other,TRBV28,0,593,0.0
AFR,TRBV28,0,205,0.0
other,TRAV6,310,295,0.512396694214876
AFR,TRAV6,102,122,0.45535714285714285
other,TRBV2,10,602,0.016339869281045753
AFR,TRBV2,23,192,0.10697674418604651
other,IGKJ3,0,60,0.0
AFR,IGKJ3,0,37,0.0
other,TRGJP1,0,597,0.0
AFR,TRGJP1,0,211,0.0
other,TRBV3-1,0,623,0.0
AFR,TRBV3-1,0,221,0.0
other,IGLJ6,0,577,0.0
AFR,IGLJ6,0,207,0.0
other,IGLV3-25,24,441,0.05161290322580645
AFR,IGLV3-25,1,163,0.006097560975609756
other,IGLV5-48,138,412,0.2509090909090909
AFR,IGLV5-48,38,158,0.19387755102040816
other,IGHV7-40,4,350,0.011299435028248588
AFR,IGHV7-40,2,67,0.028985507246376812
other,IGKV2D-40,0,708,0.0
AFR,IGKV2D-40,0,154,0.0
other,IGHV3-33-2,0,458,0.0
AFR,IGHV3-33-2,0,142,0.0
other,TRAJ61,0,575,0.0
AFR,TRAJ61,0,204,0.0
other,IGHJ6,23,89,0.20535714285714285
AFR,IGHJ6,13,28,0.3170731707317073
other,TRGV9,39,558,0.06532663316582915
AFR,TRGV9,4,218,0.018018018018018018
other,IGKV3D-20,0,541,0.0
AFR,IGKV3D-20,0,177,0.0
other,IGHV1-69-2,0,85,0.0
AFR,IGHV1-69-2,0,120,0.0
other,TRAV9-2,305,313,0.4935275080906149
AFR,TRAV9-2,113,113,0.5
other,IGKV1-27,84,299,0.2193211488250653
AFR,IGKV1-27,44,104,0.2972972972972973
other,IGHV3-63,219,383,0.3637873754152824
AFR,IGHV3-63,86,114,0.43
other,TRBV5-3,94,498,0.15878378378378377
AFR,TRBV5-3,36,173,0.1722488038277512
other,IGHV3-16,43,211,0.16929133858267717
AFR,IGHV3-16,28,62,0.3111111111111111
other,IGLV3-10,2,382,0.005208333333333333
AFR,IGLV3-10,22,116,0.15942028985507245
other,TRBJ2-1,0,532,0.0
AFR,TRBJ2-1,0,191,0.0
other,TRAJ37,214,391,0.3537190082644628
AFR,TRAJ37,83,138,0.3755656108597285
other,TRAJ7,0,608,0.0
AFR,TRAJ7,0,215,0.0
other,TRBV29-1,0,584,0.0
AFR,TRBV29-1,0,209,0.0
other,TRGV11,0,593,0.0
AFR,TRGV11,0,228,0.0
other,IGHV1-69D,16,157,0.09248554913294797
AFR,IGHV1-69D,9,89,0.09183673469387756
other,IGKV3-7,29,95,0.23387096774193547
AFR,IGKV3-7,8,47,0.14545454545454545
other,TRAJ54,0,583,0.0
AFR,TRAJ54,0,205,0.0
other,IGKV2D-29,157,374,0.295668549905838
AFR,IGKV2D-29,56,103,0.3522012578616352
other,TRGV5P,0,570,0.0
AFR,TRGV5P,0,208,0.0
other,IGLJ7,64,522,0.10921501706484642
AFR,IGLJ7,2,209,0.009478672985781991
other,IGHV3-72,0,591,0.0
AFR,IGHV3-72,0,202,0.0
other,IGLV11-55,227,330,0.40754039497307004
AFR,IGLV11-55,73,131,0.35784313725490197
other,TRBV24-1,144,437,0.24784853700516352
AFR,TRBV24-1,58,144,0.2871287128712871
other,IGKV1-37,0,367,0.0
AFR,IGKV1-37,0,95,0.0
other,IGLV4-69,0,586,0.0
AFR,IGLV4-69,0,216,0.0
other,IGHD1-20,0,4,0.0
AFR,IGHD1-20,0,6,0.0
other,IGKV1D-37,0,598,0.0
AFR,IGKV1D-37,0,216,0.0
other,TRAJ44,0,470,0.0
AFR,TRAJ44,0,129,0.0
other,IGHV3-71,293,262,0.527927927927928
AFR,IGHV3-71,135,83,0.6192660550458715
