Pop,Gene,hete,hhomo,hete_freq
AFR,IGKV3D-11,52,121,0.30057803468208094
other,TRBV21-1,158,420,0.27335640138408307
AFR,TRBV21-1,70,142,0.330188679245283
other,IGHV4-59,57,504,0.10160427807486631
AFR,IGHV4-59,39,145,0.21195652173913043
other,TRBV7-6,1,599,0.0016666666666666668
AFR,TRBV7-6,0,224,0.0
other,TRBV25-1,0,588,0.0
AFR,TRBV25-1,0,207,0.0
other,IGLV1-50,0,562,0.0
AFR,IGLV1-50,0,208,0.0
AFR,IGHJ1,0,4,0.0
other,IGKV2D-30,0,531,0.0
AFR,IGKV2D-30,0,166,0.0
other,TRAV35,159,472,0.2519809825673534
AFR,TRAV35,40,185,0.17777777777777778
other,TRAV1-2,164,440,0.271523178807947
AFR,TRAV1-2,75,143,0.3440366972477064
other,TRBJ1-5,0,565,0.0
AFR,TRBJ1-5,0,206,0.0
other,IGKV1D-17,0,546,0.0
AFR,IGKV1D-17,0,182,0.0
other,IGKV1D-33,0,554,0.0
AFR,IGKV1D-33,0,170,0.0
other,TRDJ4,0,613,0.0
AFR,TRDJ4,0,205,0.0
other,IGHV4-34,5,439,0.01126126126126126
AFR,IGHV4-34,1,138,0.007194244604316547
other,IGHV3-35,76,391,0.16274089935760172
AFR,IGHV3-35,34,123,0.21656050955414013
other,IGHV8-51-1,284,247,0.5348399246704332
AFR,IGHV8-51-1,105,77,0.5769230769230769
other,IGKV2D-28,0,536,0.0
AFR,IGKV2D-28,0,166,0.0
other,IGLV3-21,227,228,0.4989010989010989
AFR,IGLV3-21,74,70,0.5138888888888888
other,TRBV1,0,594,0.0
AFR,TRBV1,0,211,0.0
other,TRBV15,11,582,0.01854974704890388
AFR,TRBV15,65,150,0.3023255813953488
other,TRAV40,0,626,0.0
AFR,TRAV40,0,227,0.0
other,TRAJ6,0,611,0.0
AFR,TRAJ6,0,218,0.0
other,IGHV4-39,65,249,0.2070063694267516
AFR,IGHV4-39,15,40,0.2727272727272727
other,IGKV1-13,234,222,0.5131578947368421
AFR,IGKV1-13,41,75,0.35344827586206895
other,TRAV21,288,344,0.45569620253164556
AFR,TRAV21,58,168,0.25663716814159293
other,TRAJ42,0,569,0.0
AFR,TRAJ42,0,212,0.0
other,IGHV3-20,92,175,0.3445692883895131
AFR,IGHV3-20,31,50,0.38271604938271603
other,IGHV3-7,43,117,0.26875
AFR,IGHV3-7,9,46,0.16363636363636364
other,TRBV5-1,0,605,0.0
AFR,TRBV5-1,0,215,0.0
other,IGHV3-25,148,226,0.39572192513368987
AFR,IGHV3-25,63,54,0.5384615384615384
other,TRBV13,0,583,0.0
AFR,TRBV13,0,206,0.0
other,TRBV23-1,0,580,0.0
AFR,TRBV23-1,0,201,0.0
other,IGHD4-11,0,18,0.0
AFR,IGHD4-11,0,13,0.0
other,TRGV10,1,598,0.001669449081803005
AFR,TRGV10,0,215,0.0
other,IGHV7-81,13,657,0.019402985074626865
AFR,IGHV7-81,103,149,0.4087301587301587
other,TRAJ24,176,409,0.30085470085470084
AFR,TRAJ24,12,205,0.055299539170506916
other,TRDJ1,0,605,0.0
AFR,TRDJ1,0,216,0.0
other,IGHV1-3,27,107,0.20149253731343283
AFR,IGHV1-3,16,34,0.32
other,IGLV2-33,0,503,0.0
AFR,IGLV2-33,0,192,0.0
other,IGHD4-4,0,24,0.0
AFR,IGHD4-4,0,13,0.0
other,TRBJ2-6,0,555,0.0
AFR,TRBJ2-6,0,197,0.0
other,IGKV1D-39,0,623,0.0
AFR,IGKV1D-39,0,164,0.0
other,IGKV2-4,16,71,0.1839080459770115
AFR,IGKV2-4,9,34,0.20930232558139536
other,TRBV17,195,403,0.32608695652173914
AFR,TRBV17,55,159,0.2570093457943925
other,IGHD3-10,3,15,0.16666666666666666
AFR,IGHD3-10,0,13,0.0
other,IGHD6-19,0,3,0.0
AFR,IGHD6-19,0,7,0.0
other,TRAJ9,0,584,0.0
AFR,TRAJ9,0,213,0.0
other,TRGJ2,0,581,0.0
AFR,TRGJ2,0,200,0.0
other,TRBV4-2,0,453,0.0
AFR,TRBV4-2,0,159,0.0
other,TRBJ2-2P,0,556,0.0
AFR,TRBJ2-2P,0,198,0.0
other,IGHV5-10-1,7,44,0.13725490196078433
AFR,IGHV5-10-1,0,5,0.0
other,TRBV5-6,0,621,0.0
AFR,TRBV5-6,0,222,0.0
other,TRBV11-2,206,373,0.35578583765112265
AFR,TRBV11-2,73,150,0.3273542600896861
other,IGLV2-11,0,433,0.0
AFR,IGLV2-11,0,140,0.0
other,IGKV6D-41,0,536,0.0
AFR,IGKV6D-41,0,176,0.0
other,TRBV6-2,0,668,0.0
AFR,TRBV6-2,0,244,0.0
other,IGHV3-74,5,612,0.008103727714748784
AFR,IGHV3-74,34,183,0.15668202764976957
other,TRGJP2,0,481,0.0
AFR,TRGJP2,0,203,0.0
other,IGHV3-43,88,283,0.2371967654986523
AFR,IGHV3-43,5,59,0.078125
other,IGKV2D-24,0,514,0.0
AFR,IGKV2D-24,0,176,0.0
other,IGHD2-8,0,11,0.0
AFR,IGHD2-8,0,10,0.0
other,TRAJ21,0,617,0.0
AFR,TRAJ21,0,211,0.0
other,IGLV7-43,0,514,0.0
AFR,IGLV7-43,0,186,0.0
other,TRGV1,0,581,0.0
AFR,TRGV1,0,205,0.0
