Gene,t,p_value,mean_hete1,mean_hete2,count1,count2,total,fold_change,p.adj
TRAV12-1,9.357522243795295,7.233234389692994e-20,0.9875,0.25329428989751096,160,683,843,3.898627167630058,2.813728177590575e-17
TRBV21-1,-8.464729413363663,1.2459586888756304e-16,0.28,1.125,150,640,790,0.2488888888888889,4.846779299726202e-14
TRDV3,-7.285995908869083,7.390278730569501e-13,0.15,0.6504424778761062,160,678,838,0.23061224489795917,2.874818426191536e-10
TRBV18,-6.604701942453212,7.25902378276731e-11,0.7243589743589743,1.2321981424148607,156,646,802,0.5878591676330369,2.8237602514964837e-08
TRDJ4,-6.321567479191727,4.2583142913475546e-10,0.006329113924050633,0.21363636363636362,158,660,818,0.029625639644492326,1.6564842593341986e-07
TRBV15,-6.266350943585837,6.013875302299562e-10,0.4064516129032258,0.8744257274119449,155,653,808,0.46482119654256815,2.3393974925945297e-07
TRBV7-3,-6.243474455618237,7.113315126399633e-10,1.4557823129251701,2.603252032520325,147,615,762,0.5592168160205995,2.767079584169457e-07
TRAJ24,6.1894390910040045,9.637559106082914e-10,0.4605263157894737,0.21846153846153846,152,650,802,2.108042994810971,3.7490104922662535e-07
IGLV1-51,-6.1139921951492715,1.5366622588667939e-09,0.6241610738255033,1.2187004754358162,149,631,780,0.5121529747514858,5.977616186991828e-07
TRAJ16,-6.065776939121522,2.00257283106998e-09,0.1,0.3378582202111614,160,663,823,0.29598214285714286,7.790008312862222e-07
IGHV7-81,-6.05332476731081,2.063938220136599e-09,1.7836257309941521,2.9387483355525967,171,751,922,0.6069338124044441,8.02871967633137e-07
TRBV26,-5.846240803170803,7.327200731151497e-09,0.2565789473684211,0.6373456790123457,152,648,800,0.4025742321906461,2.8502810844179325e-06
TRAJ13,-5.844235169269436,7.385472599551538e-09,0.0967741935483871,0.32924961715160794,155,653,808,0.2939234808702176,2.8729488412255484e-06
IGHV3-23,5.803050052009776,1.092544325795436e-08,4.168,1.432183908045977,125,435,560,2.9102407704654896,4.249997427344246e-06
TRBV24-1,-5.404554387046801,8.635869531472895e-08,0.21768707482993196,0.49528301886792453,147,636,783,0.43952057013281504,3.359353247742956e-05
TRAV1-1,-5.221404048069509,2.2511994216353432e-07,0.7564102564102564,1.1991017964071857,156,668,824,0.6308140465443836,8.757165750161485e-05
TRGV5P,5.078444827022214,4.769170162991775e-07,1.127388535031847,0.7536231884057971,157,621,778,1.4959578637922586,0.00018552071934038004
IGHV3-53,-5.0539834921780775,5.555987539283195e-07,2.037313432835821,3.064981949458484,134,554,688,0.6647065028215812,0.00021612791527811628
TRBV17,-5.005583912878895,6.835478422614318e-07,0.83125,1.4294478527607362,160,652,812,0.5815182403433476,0.00026590011063969696
TRGV11,4.973317202987232,8.020511070658026e-07,1.0657894736842106,0.6098654708520179,152,669,821,1.7475812693498454,0.00031199788064859723
TRBV9,-4.787512518946419,2.013710610488943e-06,0.272108843537415,0.6661538461538462,147,650,797,0.4084774787513158,0.0007833334274801988
TRAV35,-4.780036022665749,2.063213646670696e-06,0.25609756097560976,0.6026011560693642,164,692,856,0.4249868397964555,0.0008025901085549008
TRGJP2,4.699900937882727,3.149915256499567e-06,0.037037037037037035,0.0,108,576,684,0.037037037037037035,0.0012253170347783315
TRBV30,-4.536993643197634,6.572023306934972e-06,1.1493506493506493,1.8140243902439024,154,656,810,0.6335916184655681,0.002556517066397704
TRBV6-4,-4.51649437444358,7.234896279160797e-06,0.2838709677419355,0.7678018575851393,155,646,801,0.3697190426638918,0.00281437465259355
TRBV27,-4.36078956853859,1.4697785242570408e-05,0.28104575163398693,0.519872813990461,153,629,782,0.5406048250084947,0.005717438459359889
IGHV3-52,-4.239909917628694,2.530415596859818e-05,0.17037037037037037,0.4017241379310345,135,580,715,0.42409791766014937,0.009843316671784692
