Gene,t,p_value,mean_hete1,mean_hete2,count1,count2,total,fold_change,p.adj
TRAJ13,5.918167008140552,4.812340982838647e-09,0.4827586206896552,0.24132730015082957,145,663,808,2.0004310344827587,1.8864376652727495e-06
TRGV10,-5.608670596006162,2.7959514283490308e-08,0.12,0.6159638554216867,150,664,814,0.1948166259168704,1.09601295991282e-05
IGKV2-29,-5.523383912959785,4.998116071637429e-08,0.6666666666666666,1.4426229508196722,102,488,590,0.4621212121212121,1.9592615000818722e-05
TRAV8-2,-5.395461126870488,8.955653035751437e-08,1.435374149659864,2.49777117384844,147,673,820,0.574661988531284,3.5106159900145634e-05
TRAJ16,5.373610244306816,1.0060756463025506e-07,0.4697986577181208,0.2522255192878338,149,674,823,1.8626135017765495,3.9438165335059985e-05
IGLV1-62,-5.34473689129865,1.1811179622518136e-07,0.1390728476821192,0.4946401225114854,151,653,804,0.28115965800750414,4.6299824120271095e-05
TRBV14,-5.23324209134138,2.1271091689717162e-07,0.19148936170212766,0.49473684210526314,141,665,806,0.38705296514259846,8.338267942369128e-05
IGKV2D-26,-5.236964506130678,2.1573070070236238e-07,0.5149253731343284,1.012216404886562,134,573,707,0.5087107565620175,8.456643467532605e-05
IGHV7-81,-5.00692208967625,6.627952208474364e-07,1.9415204678362572,2.902796271637816,171,751,922,0.6688448951123988,0.0002598157265721951
TRAV13-2,-4.954270631781401,8.8097356128033e-07,0.6282051282051282,1.195230998509687,156,671,827,0.525593068610525,0.0003453416360218894
IGKV1-27,-4.85647323861587,1.5759950900295208e-06,0.22988505747126436,0.8851351351351351,87,444,531,0.25971746950952007,0.0006177900752915721
IGKV6-21,-4.814553509086795,1.992268470540571e-06,0.09523809523809523,0.42010309278350516,84,388,472,0.22670172363423896,0.0007809692404519039
IGLV3-31,4.510488458618588,7.602095136128857e-06,0.9603174603174603,0.6300884955752213,126,565,691,1.524099340110576,0.002980021293362512
IGHV4-59,-4.48516251026288,8.438514728511024e-06,1.1063829787234043,1.7102649006622517,141,604,745,0.6469073757492122,0.0033078977735763217
IGKV1D-33,-4.469133697029237,9.11590110973414e-06,0.5338345864661654,0.9729272419627749,133,591,724,0.5486891140895718,0.003573433235015783
TRAV12-1,-4.464335202296998,9.126216804069342e-06,0.09090909090909091,0.46008708272859217,154,689,843,0.19759105248064238,0.003577476987195182
TRBV5-1,-4.407717646354969,1.1838490040665394e-05,0.48,0.817910447761194,150,670,820,0.5868613138686131,0.004640688095940835
TRBV4-2,4.3275668983341555,1.7616610857207342e-05,3.5,1.939453125,100,512,612,1.8046324269889225,0.006905711456025278
