Sample,Super_Pop,Phenotype,Activity_score
NA18873,AFR,intermediate_metabolizer,0.5
NA18874,AFR,normal_metabolizer,1.5
NA18912,AFR,normal_metabolizer,1.5
NA18913,AFR,intermediate_metabolizer,1.0
NA18940,EAS,intermediate_metabolizer,1.0
NA18941,EAS,normal_metabolizer,1.25
NA18942,EAS,poor_metabolizer,0.0
NA18944,EAS,intermediate_metabolizer,0.5
NA18946,EAS,normal_metabolizer,2.0
NA18947,EAS,normal_metabolizer,1.25
NA18953,EAS,normal_metabolizer,1.25
NA18956,EAS,normal_metabolizer,1.25
NA18960,EAS,intermediate_metabolizer,0.5
NA18965,EAS,normal_metabolizer,1.25
NA18966,EAS,normal_metabolizer,2.0
NA18968,EAS,normal_metabolizer,1.25
NA18969,EAS,normal_metabolizer,2.0
NA18971,EAS,normal_metabolizer,1.25
NA18974,EAS,normal_metabolizer,2.0
NA18977,EAS,normal_metabolizer,1.25
NA18980,EAS,normal_metabolizer,1.25
NA18981,EAS,normal_metabolizer,1.25
NA18983,EAS,normal_metabolizer,2.0
NA18989,EAS,intermediate_metabolizer,1.0
NA19003,EAS,normal_metabolizer,1.25
NA19011,EAS,intermediate_metabolizer,1.0
NA19012,EAS,normal_metabolizer,2.0
NA19017,AFR,intermediate_metabolizer,1.0
NA19019,AFR,normal_metabolizer,2.0
NA19024,AFR,normal_metabolizer,2.0
NA19031,AFR,normal_metabolizer,2.0
NA19037,AFR,intermediate_metabolizer,1.0
NA19043,AFR,normal_metabolizer,2.0
NA19068,EAS,normal_metabolizer,1.25
NA19070,EAS,normal_metabolizer,1.25
NA19080,EAS,normal_metabolizer,1.5
NA19086,EAS,intermediate_metabolizer,1.0
NA19096,AFR,normal_metabolizer,1.5
NA19101,AFR,poor_metabolizer,0.0
NA19113,AFR,normal_metabolizer,1.5
NA19114,AFR,normal_metabolizer,2.0
NA19118,AFR,intermediate_metabolizer,1.0
NA19119,AFR,normal_metabolizer,2.0
NA19122,AFR,normal_metabolizer,1.5
NA19127,AFR,normal_metabolizer,1.5
NA19128,AFR,intermediate_metabolizer,1.0
NA19129,AFR,intermediate_metabolizer,1.0
NA19137,AFR,intermediate_metabolizer,0.5
NA19144,AFR,normal_metabolizer,2.0
NA19146,AFR,ultrarapid_metabolizer,2.5
NA19147,AFR,intermediate_metabolizer,1.0
NA19153,AFR,normal_metabolizer,1.5
NA19189,AFR,intermediate_metabolizer,1.0
NA19197,AFR,intermediate_metabolizer,1.0
NA19207,AFR,normal_metabolizer,2.25
NA19238,AFR,normal_metabolizer,1.5
NA19310,AFR,intermediate_metabolizer,1.0
NA19327,AFR,normal_metabolizer,1.5
NA19331,AFR,normal_metabolizer,1.5
NA19347,AFR,intermediate_metabolizer,1.0
NA19352,AFR,intermediate_metabolizer,1.0
NA19432,AFR,normal_metabolizer,1.5
NA19453,AFR,normal_metabolizer,2.0
NA19675,AMR,normal_metabolizer,2.0
NA19828,AFR,normal_metabolizer,1.5
NA20336,AFR,normal_metabolizer,2.0
NA20363,AFR,normal_metabolizer,2.0
NA20526,EUR,normal_metabolizer,2.0
NA20530,EUR,normal_metabolizer,2.0
NA20866,SAS,normal_metabolizer,2.0
NA20883,SAS,normal_metabolizer,1.25
NA20893,SAS,intermediate_metabolizer,1.0
NA20898,SAS,normal_metabolizer,2.0
NA21101,SAS,normal_metabolizer,1.25
NA21117,SAS,normal_metabolizer,1.25
NA21118,SAS,intermediate_metabolizer,1.0
NA21120,SAS,intermediate_metabolizer,1.0
NA21126,SAS,normal_metabolizer,2.0
NA21127,SAS,intermediate_metabolizer,1.0
HG00325,EUR,normal_metabolizer,2.0
HG03373,AFR,normal_metabolizer,1.25
NA19328,AFR,intermediate_metabolizer,1.0
HG03604,SAS,intermediate_metabolizer,0.25
HG03753,SAS,normal_metabolizer,1.25
HG03388,AFR,intermediate_metabolizer,1.0
HG01188,AMR,normal_metabolizer,2.0
HG03391,AFR,intermediate_metabolizer,1.0
HG03633,SAS,poor_metabolizer,0.0
HG01241,AMR,intermediate_metabolizer,1.0
HG03756,SAS,intermediate_metabolizer,0.25
HG03760,SAS,normal_metabolizer,1.25
HG03640,SAS,intermediate_metabolizer,1.0
HG01605,EUR,intermediate_metabolizer,0.25
HG03761,SAS,intermediate_metabolizer,0.5
HG03397,AFR,normal_metabolizer,1.25
HG03645,SAS,normal_metabolizer,2.0
HG03781,SAS,intermediate_metabolizer,1.0
HG03439,AFR,intermediate_metabolizer,1.0
HG03650,SAS,normal_metabolizer,2.0
HG03784,SAS,normal_metabolizer,2.0
HG03189,AFR,normal_metabolizer,1.5
HG03442,AFR,intermediate_metabolizer,0.5
HG03673,SAS,normal_metabolizer,2.0
HG03786,SAS,normal_metabolizer,1.25
HG03449,AFR,normal_metabolizer,1.25
HG03198,AFR,normal_metabolizer,1.5
HG03792,SAS,normal_metabolizer,1.25
HG03457,AFR,intermediate_metabolizer,1.0
HG03199,AFR,intermediate_metabolizer,1.0
HG03686,SAS,intermediate_metabolizer,0.5
HG03794,SAS,intermediate_metabolizer,1.0
HG03212,AFR,intermediate_metabolizer,1.0
HG03687,SAS,normal_metabolizer,2.0
HG03470,AFR,intermediate_metabolizer,1.0
HG03797,SAS,normal_metabolizer,2.0
HG03689,SAS,normal_metabolizer,2.0
HG03476,AFR,normal_metabolizer,2.0
HG03802,SAS,normal_metabolizer,1.25
HG03238,SAS,normal_metabolizer,2.0
HG03240,AFR,normal_metabolizer,2.0
HG03695,SAS,normal_metabolizer,2.0
HG03805,SAS,normal_metabolizer,2.0
HG03241,AFR,normal_metabolizer,2.0
HG03697,SAS,normal_metabolizer,2.0
HG03485,AFR,intermediate_metabolizer,1.0
HG03809,SAS,normal_metabolizer,1.25
HG03703,SAS,poor_metabolizer,0.0
HG03499,AFR,intermediate_metabolizer,0.5
HG03812,SAS,intermediate_metabolizer,1.0
HG03708,SAS,normal_metabolizer,2.0
HG03265,AFR,intermediate_metabolizer,1.0
HG03816,SAS,intermediate_metabolizer,0.5
HG03518,AFR,intermediate_metabolizer,1.0
HG03300,AFR,normal_metabolizer,1.5
HG03521,AFR,normal_metabolizer,1.5
HG03711,SAS,intermediate_metabolizer,1.0
HG03821,SAS,normal_metabolizer,1.25
HG03301,AFR,normal_metabolizer,2.0
HG03714,SAS,normal_metabolizer,2.0
HG03539,AFR,intermediate_metabolizer,1.0
HG03824,SAS,normal_metabolizer,1.25
HG03303,AFR,normal_metabolizer,2.0
HG03721,SAS,normal_metabolizer,1.25
HG03830,SAS,normal_metabolizer,1.25
HG03307,AFR,normal_metabolizer,2.0
HG03548,AFR,intermediate_metabolizer,0.5
HG04146,SAS,normal_metabolizer,2.0
HG03727,SAS,normal_metabolizer,2.0
HG03577,AFR,normal_metabolizer,1.25
HG03729,SAS,normal_metabolizer,1.25
HG03582,AFR,intermediate_metabolizer,0.5
HG03342,AFR,normal_metabolizer,2.0
HG03730,SAS,normal_metabolizer,2.0
HG03593,SAS,normal_metabolizer,1.25
HG03740,SAS,intermediate_metabolizer,1.0
HG03595,SAS,intermediate_metabolizer,1.0
HG03742,SAS,intermediate_metabolizer,0.25
HG03598,SAS,intermediate_metabolizer,1.0
HG03600,SAS,intermediate_metabolizer,1.0
