Sample,Super_Pop,Phenotype,Activity_score
NA20890,SAS,normal_metabolizer,2.0
HG01700,EUR,normal_metabolizer,2.0
NA20896,SAS,normal_metabolizer,2.0
HG01756,EUR,intermediate_metabolizer,1.0
NA20899,SAS,intermediate_metabolizer,1.0
HG01765,EUR,normal_metabolizer,1.25
HG01766,EUR,normal_metabolizer,1.25
HG01773,EUR,normal_metabolizer,2.0
HG01776,EUR,intermediate_metabolizer,1.0
NA21099,SAS,intermediate_metabolizer,1.0
HG01779,EUR,ultrarapid_metabolizer,3.0
HG01786,EUR,intermediate_metabolizer,0.5
HG01789,EUR,intermediate_metabolizer,1.0
NA21110,SAS,normal_metabolizer,2.0
NA21111,SAS,intermediate_metabolizer,0.25
HG01794,EAS,intermediate_metabolizer,1.0
HG01796,EAS,intermediate_metabolizer,0.5
HG01798,EAS,normal_metabolizer,1.25
HG01800,EAS,intermediate_metabolizer,0.5
HG01805,EAS,intermediate_metabolizer,0.5
HG01806,EAS,normal_metabolizer,2.0
HG01807,EAS,normal_metabolizer,1.25
HG01809,EAS,normal_metabolizer,2.0
HG01813,EAS,normal_metabolizer,1.25
HG01815,EAS,intermediate_metabolizer,0.5
HG01817,EAS,intermediate_metabolizer,0.5
HG01840,EAS,intermediate_metabolizer,0.5
HG01846,EAS,intermediate_metabolizer,0.5
HG01851,EAS,intermediate_metabolizer,0.5
HG01853,EAS,poor_metabolizer,0.0
HG01859,EAS,intermediate_metabolizer,0.5
HG01863,EAS,intermediate_metabolizer,0.5
HG01865,EAS,normal_metabolizer,1.25
HG01866,EAS,intermediate_metabolizer,0.5
HG01870,EAS,normal_metabolizer,1.25
HG01872,EAS,normal_metabolizer,1.25
HG01873,EAS,intermediate_metabolizer,0.5
HG01879,AFR,normal_metabolizer,2.0
HG01890,AFR,normal_metabolizer,2.0
HG01894,AFR,intermediate_metabolizer,0.5
HG01896,AFR,intermediate_metabolizer,0.5
HG01915,AFR,normal_metabolizer,2.0
HG01918,AMR,normal_metabolizer,2.0
HG01923,AMR,normal_metabolizer,2.0
HG01932,AMR,normal_metabolizer,2.0
HG01933,AMR,normal_metabolizer,1.5
HG01935,AMR,normal_metabolizer,1.25
HG01939,AMR,normal_metabolizer,2.0
HG01942,AMR,intermediate_metabolizer,1.0
HG01945,AMR,normal_metabolizer,2.0
HG01947,AMR,normal_metabolizer,1.25
HG01948,AMR,intermediate_metabolizer,1.0
HG01950,AMR,intermediate_metabolizer,1.0
HG01953,AMR,normal_metabolizer,2.0
HG01961,AMR,normal_metabolizer,2.0
HG01967,AMR,normal_metabolizer,2.0
HG01971,AMR,normal_metabolizer,2.0
HG01977,AMR,intermediate_metabolizer,1.0
HG01982,AMR,normal_metabolizer,2.0
HG01985,AFR,normal_metabolizer,2.0
HG01988,AFR,normal_metabolizer,2.0
HG01990,AFR,intermediate_metabolizer,1.0
HG01991,AMR,normal_metabolizer,2.0
HG01992,AMR,normal_metabolizer,2.0
HG02003,AMR,intermediate_metabolizer,1.0
HG02006,AMR,normal_metabolizer,2.0
HG02009,AFR,normal_metabolizer,2.0
HG02010,AFR,normal_metabolizer,1.5
HG02014,AFR,intermediate_metabolizer,1.0
HG02016,EAS,intermediate_metabolizer,0.5
HG02017,EAS,normal_metabolizer,1.25
HG02020,EAS,normal_metabolizer,1.25
HG02031,EAS,intermediate_metabolizer,0.25
HG02053,AFR,normal_metabolizer,1.5
HG02064,EAS,normal_metabolizer,1.25
HG02067,EAS,intermediate_metabolizer,1.0
HG02069,EAS,normal_metabolizer,2.25
HG02072,EAS,intermediate_metabolizer,0.5
HG02079,EAS,normal_metabolizer,1.5
HG02081,EAS,intermediate_metabolizer,0.75
HG02082,EAS,normal_metabolizer,1.25
HG02087,EAS,intermediate_metabolizer,0.5
HG02089,AMR,normal_metabolizer,2.0
HG02095,AFR,normal_metabolizer,2.0
HG02107,AFR,normal_metabolizer,2.0
HG02111,AFR,intermediate_metabolizer,1.0
HG02116,EAS,normal_metabolizer,1.25
HG02121,EAS,intermediate_metabolizer,0.25
HG02128,EAS,intermediate_metabolizer,0.25
HG02130,EAS,intermediate_metabolizer,1.0
HG02136,EAS,normal_metabolizer,1.25
HG02137,EAS,intermediate_metabolizer,0.5
HG02138,EAS,intermediate_metabolizer,0.5
HG02139,EAS,intermediate_metabolizer,0.5
HG02144,AFR,intermediate_metabolizer,0.5
HG02152,EAS,intermediate_metabolizer,0.5
HG02154,EAS,normal_metabolizer,1.25
HG02155,EAS,intermediate_metabolizer,0.5
HG02156,EAS,normal_metabolizer,2.0
HG02164,EAS,normal_metabolizer,1.25
HG02165,EAS,normal_metabolizer,2.0
