Pop,Allele,Count,Total,Frequency
CHS,*121,0,76,0.0
CHS,*28,0,76,0.0
CHS,*7,0,76,0.0
CHS,*64,0,76,0.0
CHS,*68+*4,0,76,0.0
CHS,*165,0,76,0.0
CHS,*1x2,0,76,0.0
CHS,*17x2,0,76,0.0
CHS,*41,3,76,0.039473684210526314
CHS,*125,0,76,0.0
CHS,*150,0,76,0.0
CHS,*2,5,76,0.06578947368421052
CHS,*144,0,76,0.0
CHS,*145,0,76,0.0
CHS,*127,0,76,0.0
CHS,*90,0,76,0.0
CHS,*29,0,76,0.0
CHS,*82,0,76,0.0
CHS,*21,0,76,0.0
CHS,*115,0,76,0.0
CHS,*129,0,76,0.0
CHS,*31,0,76,0.0
CHS,*166,0,76,0.0
CHS,*49,1,76,0.013157894736842105
CHS,*22,0,76,0.0
CHS,*117,0,76,0.0
CHS,*4x2,0,76,0.0
CHS,*10+*10,0,76,0.0
CHS,*4.013+*4,0,76,0.0
CHS,*56,2,76,0.02631578947368421
CHS,*136,0,76,0.0
CHS,*68+*2,0,76,0.0
CHS,*171x2,0,76,0.0
CHS,*141,2,76,0.02631578947368421
CHS,*43x3,0,76,0.0
CHS,*112,0,76,0.0
CHS,*120,0,76,0.0
CHS,*71,1,76,0.013157894736842105
CHS,*101,1,76,0.013157894736842105
CHS,*83,0,76,0.0
CHS,*46,0,76,0.0
CHS,*111,0,76,0.0
CHS,*39,3,76,0.039473684210526314
CHS,*74,0,76,0.0
CHS,*99,0,76,0.0
CHS,*159,0,76,0.0
CHS,*132,0,76,0.0
CHS,*146,0,76,0.0
CHS,*171x3,0,76,0.0
CHS,*19,0,76,0.0
CHS,*4,0,76,0.0
CHS,*43,0,76,0.0
CHS,*10,13,76,0.17105263157894737
CHS,*86,0,76,0.0
CHS,*33,0,76,0.0
CHS,*170,0,76,0.0
CHS,*88,0,76,0.0
CHS,*68,0,76,0.0
CHS,*84,0,76,0.0
CHS,*9,0,76,0.0
CHS,*1,21,76,0.27631578947368424
CHS,*36x2+*10,1,76,0.013157894736842105
CHS,*38,0,76,0.0
CHS,*169,0,76,0.0
CHS,*171,0,76,0.0
CHS,*2x3,0,76,0.0
CHS,*18,0,76,0.0
CHS,*36,3,76,0.039473684210526314
CHS,*59,0,76,0.0
CHS,*108,0,76,0.0
CHS,*6,0,76,0.0
PUR,*89,0,76,0.0
PUR,*106,0,76,0.0
PUR,*4.013,0,76,0.0
PUR,*113,0,76,0.0
PUR,*110,0,76,0.0
PUR,*45,0,76,0.0
PUR,*100,0,76,0.0
PUR,*14,0,76,0.0
PUR,*15,0,76,0.0
PUR,*17,1,76,0.013157894736842105
PUR,*32,0,76,0.0
PUR,*122,0,76,0.0
PUR,*36+*10,0,76,0.0
PUR,*58,0,76,0.0
PUR,*3,1,76,0.013157894736842105
PUR,*5,0,76,0.0
PUR,*151,0,76,0.0
PUR,*2x2,1,76,0.013157894736842105
