,Gene,Sample,Match,Total
214,DRA,HG00733,2,2
215,DRA,HG00732,2,2
216,DRA,HG02492,2,2
217,DRA,NA19239,2,2
218,DRA,HG00514,2,2
219,DRA,NA19983,2,2
220,DRA,HG03009,2,2
221,DRA,HG00731,2,2
222,DRA,HG03732,2,2
223,DRA,HG03065,2,2
224,DRA,HG01114,2,2
225,DRA,NA19240,2,2
226,DRA,HG03683,2,2
227,DRA,HG03371,2,2
228,DRB1,NA19238,1,2
229,DRB1,HG02011,1,2
230,DRB1,HG01596,2,2
231,DRB1,HG00171,2,2
232,DRB1,HG02587,1,2
233,DRB1,HG00733,2,2
234,DRB1,HG00732,1,2
235,DRB1,HG02492,1,2
236,DRB1,NA19239,1,2
237,DRB1,HG00514,2,2
238,DRB1,HG03009,2,2
239,DRB1,HG00731,2,2
240,DRB1,HG03732,1,2
241,DRB1,HG03065,0,2
242,DRB1,HG01114,2,2
243,DRB1,NA19240,1,2
244,DRB1,HG03683,2,2
245,DRB1,HG03371,1,2
246,DRB5,NA19238,2,2
247,DRB5,HG02011,2,2
248,DRB5,HG02492,2,2
249,DRB5,NA19240,2,2
250,E,NA19238,2,2
251,E,HG02011,2,2
252,E,HG01596,2,2
253,E,HG00171,2,2
254,E,HG02587,2,2
255,E,HG00733,2,2
256,E,HG00732,2,2
257,E,HG02492,2,2
258,E,NA19239,2,2
259,E,HG00514,2,2
260,E,NA19983,2,2
261,E,HG03009,2,2
262,E,HG00731,2,2
263,E,HG03732,2,2
264,E,HG03065,2,2
265,E,HG01114,2,2
266,E,NA19240,2,2
267,E,HG03683,2,2
268,E,HG03371,2,2
269,F,NA19238,2,2
270,F,HG02011,2,2
271,F,HG01596,2,2
272,F,HG00171,2,2
273,F,HG02587,2,2
274,F,HG00733,2,2
275,F,HG00732,2,2
276,F,HG02492,2,2
277,F,NA19239,2,2
278,F,HG00514,2,2
279,F,NA19983,2,2
280,F,HG03009,2,2
281,F,HG00731,2,2
282,F,HG03732,2,2
283,F,HG03065,2,2
284,F,HG01114,2,2
285,F,NA19240,2,2
286,F,HG03683,2,2
287,F,HG03371,2,2
288,G,NA19238,2,2
289,G,HG02011,2,2
290,G,HG01596,2,2
291,G,HG00171,2,2
292,G,HG02587,2,2
293,G,HG00733,2,2
294,G,HG00732,2,2
295,G,HG02492,2,2
296,G,NA19239,2,2
297,G,HG00514,2,2
298,G,NA19983,2,2
299,G,HG03009,2,2
300,G,HG00731,2,2
301,G,HG03732,2,2
302,G,HG03065,2,2
303,G,HG01114,2,2
304,G,NA19240,2,2
305,G,HG03683,2,2
306,G,HG03371,2,2
307,H,NA19238,2,2
308,H,HG02011,2,2
309,H,HG01596,2,2
310,H,HG00171,2,2
311,H,HG02587,2,2
312,H,HG00733,2,2
313,H,HG00732,2,2
314,H,HG02492,2,2
315,H,NA19239,2,2
316,H,HG00514,2,2
317,H,NA19983,2,2
318,H,HG03732,2,2
319,H,HG03065,2,2
320,H,NA19240,2,2
321,H,HG03683,2,2
322,H,HG03371,2,2
323,J,NA19238,2,2
324,J,HG02011,2,2
325,J,HG01596,2,2
326,J,HG00171,2,2
327,J,HG02587,2,2
328,J,HG00733,2,2
329,J,HG00732,2,2
330,J,HG02492,2,2
331,J,NA19239,2,2
332,J,HG00514,2,2
333,J,NA19983,2,2
334,J,HG03009,2,2
335,J,HG00731,2,2
336,J,HG03732,2,2
337,J,HG03065,2,2
338,J,HG01114,2,2
339,J,NA19240,2,2
340,J,HG03683,2,2
341,J,HG03371,2,2
342,K,NA19238,2,2
343,K,HG02011,2,2
344,K,HG00171,2,2
345,K,HG02587,2,2
346,K,HG00733,2,2
347,K,HG02492,2,2
348,K,NA19239,2,2
349,K,HG00514,2,2
350,K,NA19983,2,2
351,K,HG03732,2,2
352,K,HG03065,2,2
353,K,NA19240,2,2
354,K,HG03683,2,2
355,K,HG03371,2,2
356,L,NA19238,2,2
357,L,HG02011,2,2
358,L,HG01596,2,2
359,L,HG00171,2,2
360,L,HG02587,2,2
361,L,HG00733,2,2
362,L,HG00732,2,2
363,L,HG02492,2,2
364,L,NA19239,2,2
365,L,HG00514,2,2
366,L,NA19983,2,2
367,L,HG03009,2,2
368,L,HG00731,2,2
369,L,HG03732,2,2
370,L,HG03065,2,2
371,L,HG01114,2,2
372,L,NA19240,2,2
373,L,HG03683,2,2
374,L,HG03371,1,2
375,DQA2,NA19238,2,2
376,DQA2,HG02011,2,2
377,DQA2,HG01596,2,2
378,DQA2,HG00171,2,2
379,DQA2,HG02587,2,2
380,DQA2,HG00733,2,2
381,DQA2,HG00732,2,2
382,DQA2,HG02492,2,2
383,DQA2,NA19239,1,2
384,DQA2,HG00514,2,2
385,DQA2,NA19983,2,2
386,DQA2,HG03009,2,2
