Allele,Count
MICA*008:01:01,77
MICA*004:01:01,274
MICA*008:01:02,266
MICA*001:01,565
MICA*017:01,24
MICA*008:04:01,202
MICA*002:01:01,48
MICA*008:04:02,39
MICA*011:01:01,12
MICA*018:01:01,11
MICA*008:01:03,8
MICA*002:01:07,72
MICA*010:01:01,12
MICA*004:01:08,6
MICA*009:02:04,1
MICA*012:01:02,16
MICA*007:01:05,12
MICA*010:01:05,136
MICA*018:01:04,3
MICA*016:01:01,6
MICA*009:01:10,32
MICA*019:01:01,48
MICA*009:02:01,26
MICB*052,444
MICB*002:01:01,377
MICB*005:02:01,709
MICB*005:02:02,339
MICB*008:01:01,56
MICB*005:02:10,10
MICB*005:02:11,4
MICB*053,7
MICB*005:02:05,1
MICB*003:01:11,4
MICB*005:02:34,1
MICB*003:01:10,10
TAP1*01:01:01:04,382
TAP1*01:01:01:01,686
TAP1*01:01:01:05,387
TAP1*01:01:01:02,193
TAP1*01:01:01:03,298
TAP1*06:01,5
TAP2*01:01:07:05,343
TAP2*02:01:02:01,354
TAP2*01:01:02:01,233
TAP2*01:04:01:01,333
TAP2*01:01:03:03,125
TAP2*01:01:03:01,106
TAP2*01:01:03:02,247
TAP2*02:01:02:02,97
TAP2*02:01:02:03,98
MICA*027:01:01,18
MICA*008:01:09,3
MICA*008:01:08,2
MICA*045:01:01,9
MICA*033,13
MICA*009:01:07,1
MICA*019:01:02,1
MICA*049:01:01,5
MICA*009:01:01,8
MICA*216:01:02,1
MICA*002:01:10,3
MICB*009:01:15N,2
MICB*021:01:02N,3
MICB*021:01:01N,6
MICB*004:01:01,2
MICB*005:02:28,1
MICB*005:02:21,5
MICB*005:02:13,3
MICB*003:01:01,1
MICB*003:01:02,2
TAP2*01:05:01:04,1
MICA*015:02,1
MICA*110,6
MICA*015:01,4
MICA*002:01:03,1
MICA*009:01:06,1
MICA*285,1
MICA*008:04:05,7
MICA*002:01:11,1
MICA*001:02,1
MICB*003:01:07,1
MICB*009:01:12N,1
MICB*009:01:13N,1
MICB*009:01:01N,1
MICB*003:01:12,2
MICB*009:01:11N,1
MICB*002:01:08,1
MICB*009:01:02N,1
MICB*013:01:02,1
TAP2*01:01:03:08,1
MICA*007:01:06,1
MICB*005:03:01,1
MICB*003:01:04,1
MICB*005:02:33,1
MICB*005:02:12,1
TAP1*01:01:01:06,1
TAP2*01:05:01:12,1
MICA*004:01:03,13
MICA*008:13,3
MICA*041,2
MICB*021:01:04N,1
MICB*002:01:20,1
MICB*005:03:04,1
MICB*009:01:04N,1
MICB*005:06:02,1
TAP2*01:01:03:18,1
TAP2*02:05,1
TAP2*01:01:05:09,1
