Population,Locus,Diversity
CLM,HLA-S,1.445463525795648
CLM,HLA-T,1.8593882982115082
CLM,HLA-U,0.9399737291543131
CLM,HLA-V,1.1590258488591398
CLM,HLA-W,2.054062569500914
CLM,HLA-Y,-0.0
CLM,MICA,2.3120692857542995
CLM,MICB,1.3939779131724013
CLM,TAP1,1.5802650236124431
CLM,TAP2,2.0725624544004835
ESN,HFE,1.0592343905662291
ESN,HLA-A,3.1108576636642566
ESN,HLA-B,2.9668907448214057
ESN,HLA-C,2.8054125207429212
ESN,HLA-DMA,0.882347365524294
ESN,HLA-DMB,2.0695764158141796
ESN,HLA-DOA,2.616107618930141
ESN,HLA-DOB,1.4948840308702034
ESN,HLA-DPA1,2.126011732780768
ESN,HLA-DPA2,1.1116056931040708
ESN,HLA-DPB1,3.1462161445219787
ESN,HLA-DPB2,1.0839001225386515
ESN,HLA-DQA1,2.6713994124541665
ESN,HLA-DQA2,1.9248005300603241
ESN,HLA-DQB1,2.7404357026903634
ESN,HLA-DQB2,1.7128606219701452
ESN,HLA-DRA,2.5659379467764856
ESN,HLA-DRB1,3.4624664883402465
ESN,HLA-DRB3,1.6969785891551528
ESN,HLA-DRB4,1.9601206103242055
ESN,HLA-DRB5,1.6251825250450413
ESN,HLA-E,1.5053843991290088
ESN,HLA-F,2.581809314692543
ESN,HLA-G,2.591187453826496
ESN,HLA-H,2.354654147138524
ESN,HLA-J,2.2592182409310104
ESN,HLA-K,1.3016914222495772
ESN,HLA-L,1.0363381888618326
ESN,HLA-N,1.1850931124615132
ESN,HLA-P,1.3947166058844824
ESN,HLA-S,1.2127556469888374
ESN,HLA-T,1.703387523268504
ESN,HLA-U,0.9711547571896788
ESN,HLA-V,1.1531017208630763
ESN,HLA-W,1.7189401907895872
ESN,HLA-Y,0.47413931305783735
ESN,MICA,2.033835198651787
ESN,MICB,1.3625658137297316
ESN,TAP1,1.3347701289852119
ESN,TAP2,1.9776250860846336
FIN,HFE,1.0673604193966915
FIN,HLA-A,2.7798153269545613
FIN,HLA-B,2.9128532846671096
FIN,HLA-C,2.8836017854920217
FIN,HLA-DMA,1.2257471541864149
FIN,HLA-DMB,1.402227898125833
FIN,HLA-DOA,2.0004401359091246
FIN,HLA-DOB,1.8202648922382734
FIN,HLA-DPA1,1.638343540478818
FIN,HLA-DPA2,1.3680222734817853
FIN,HLA-DPB1,3.1490245963860897
FIN,HLA-DPB2,1.4227461834395527
FIN,HLA-DQA1,2.7421555501239903
FIN,HLA-DQA2,1.491299402622802
FIN,HLA-DQB1,2.8718950161658574
FIN,HLA-DQB2,1.2957556258443705
FIN,HLA-DRA,2.7203124011782354
FIN,HLA-DRB1,3.46507007312764
FIN,HLA-DRB3,2.0144094245289708
FIN,HLA-DRB4,1.836768641046606
FIN,HLA-DRB5,1.7827736538113566
FIN,HLA-E,1.5992683068175297
FIN,HLA-F,2.1054459452059557
FIN,HLA-G,2.3150133951884766
FIN,HLA-H,1.8615164939263875
FIN,HLA-J,1.8004975265140817
FIN,HLA-K,1.539941062272594
FIN,HLA-L,1.2829879101848811
FIN,HLA-N,1.1312730234978496
FIN,HLA-P,1.2419987066850273
FIN,HLA-S,1.4053123801821423
FIN,HLA-T,1.7912958759471418
FIN,HLA-U,1.2503666913821925
FIN,HLA-V,0.9040878233856777
FIN,HLA-W,1.946821698144024
FIN,HLA-Y,0.45056120886630463
FIN,MICA,2.110107971036703
FIN,MICB,1.3884784161369386
FIN,TAP1,1.4390227403104727
FIN,TAP2,1.9167147148695025
GBR,HFE,1.0517575819449396
GBR,HLA-A,3.204727464539228
GBR,HLA-B,2.978981529446091
GBR,HLA-C,2.7874778159313474
GBR,HLA-DMA,1.272220782956734
GBR,HLA-DMB,1.8966605601036424
GBR,HLA-DOA,2.4012898637984454
GBR,HLA-DOB,1.697707613479229
GBR,HLA-DPA1,2.1383723500377796
GBR,HLA-DPA2,1.2593869846215135
GBR,HLA-DPB1,3.028951461268453
GBR,HLA-DPB2,1.4052412776273917
GBR,HLA-DQA1,2.7188148629105338
GBR,HLA-DQA2,1.8166154699092294
GBR,HLA-DQB1,2.8198607162765574
GBR,HLA-DQB2,1.675304056507096
GBR,HLA-DRA,2.900283592934814
GBR,HLA-DRB1,3.476421797267245
GBR,HLA-DRB3,1.9099903342390459
GBR,HLA-DRB4,1.6014029334555713
GBR,HLA-DRB5,1.8779847571415949
GBR,HLA-E,1.2509934764568604
GBR,HLA-F,2.328602236283799
GBR,HLA-G,2.466992568659651
GBR,HLA-H,2.1191160574071293
GBR,HLA-J,1.9887437117028621
GBR,HLA-K,1.662024252072578
GBR,HLA-L,1.4080600143146245
GBR,HLA-N,1.066792450212715
GBR,HLA-P,1.367871479870074
GBR,HLA-S,1.487279646371487
GBR,HLA-T,1.6788951425557184
GBR,HLA-U,0.7596331525616407
GBR,HLA-V,1.0191004724848736
GBR,HLA-W,1.974623746350956
GBR,HLA-Y,-0.0
GBR,MICA,2.407551812054967
GBR,MICB,1.4530861955074248
GBR,TAP1,1.4676887317898406
GBR,TAP2,1.9553595722369668
GIH,HFE,1.0884205575546455
GIH,HLA-A,3.162281525955212
GIH,HLA-B,3.11416725582694
GIH,HLA-C,2.886641749489838
GIH,HLA-DMA,1.2112996795167457
GIH,HLA-DMB,1.698352324943943
GIH,HLA-DOA,2.1345001844237608
GIH,HLA-DOB,1.6246248925011453
GIH,HLA-DPA1,2.0500686361602347
GIH,HLA-DPA2,1.225211260418198
GIH,HLA-DPB1,3.060687148423524
GIH,HLA-DPB2,1.6175585452405898
GIH,HLA-DQA1,2.7175611743758497
GIH,HLA-DQA2,1.5903225163254362
GIH,HLA-DQB1,2.9872959478377434
GIH,HLA-DQB2,1.6484911236257431
GIH,HLA-DRA,2.7237918518764705
GIH,HLA-DRB1,3.3832681225041004
GIH,HLA-DRB3,1.9108359089925162
GIH,HLA-DRB4,1.7555098580375932
GIH,HLA-DRB5,1.450150870159479
GIH,HLA-E,1.447904612931251
GIH,HLA-F,2.217651650195089
GIH,HLA-G,2.268261938025791
GIH,HLA-H,2.2737725629412915
GIH,HLA-J,1.7776505732622745
GIH,HLA-K,1.6989612594878973
GIH,HLA-L,1.1584393695701567
GIH,HLA-N,1.160950378043728
GIH,HLA-P,1.4775320879109388
GIH,HLA-S,1.5250251501638616
GIH,HLA-T,1.7734533056291806
GIH,HLA-U,0.9437467212399501
GIH,HLA-V,1.2396593920543857
GIH,HLA-W,2.0425199697644474
GIH,HLA-Y,0.5623351446188083
GIH,MICA,2.182407677135839
GIH,MICB,1.522970201660429
GIH,TAP1,1.4643625637631557
GIH,TAP2,1.9392778057014832
GWD,HFE,1.0859186593391668
GWD,HLA-A,3.2009856737168265
GWD,HLA-B,2.890656591747671
GWD,HLA-C,2.8475700438497595
GWD,HLA-DMA,0.8511189416836209
GWD,HLA-DMB,1.987707282159753
GWD,HLA-DOA,2.511431906280717
GWD,HLA-DOB,1.5647574948320067
GWD,HLA-DPA1,1.9405516401648009
GWD,HLA-DPA2,1.2173888364915744
GWD,HLA-DPB1,3.1128681881254865
GWD,HLA-DPB2,1.171177006908266
GWD,HLA-DQA1,2.4292852808424126
GWD,HLA-DQA2,1.858689055824879
GWD,HLA-DQB1,2.648401158609508
GWD,HLA-DQB2,1.6176203816092347
GWD,HLA-DRA,2.7267660443167316
GWD,HLA-DRB1,3.29188270582595
GWD,HLA-DRB3,1.5888706409125102
GWD,HLA-DRB4,1.5720519818264638
GWD,HLA-DRB5,2.073803149168608
GWD,HLA-E,1.5781568603259482
GWD,HLA-F,2.5153558579600306
GWD,HLA-G,2.416073674914881
GWD,HLA-H,2.425750107129614
GWD,HLA-J,2.2376194286074833
GWD,HLA-K,1.5658216978844184
GWD,HLA-L,1.073502017562408
GWD,HLA-N,1.3262338819717292
GWD,HLA-P,1.400256919784282
GWD,HLA-S,1.5094151227230328
GWD,HLA-T,1.8200839730985607
GWD,HLA-U,1.0198657625334693
GWD,HLA-V,1.2154561394985632
GWD,HLA-W,1.712848393983258
GWD,HLA-Y,0.42270908780599087
GWD,MICA,2.0566390768639646
GWD,MICB,1.3420970943843318
GWD,TAP1,1.0679504521376
GWD,TAP2,1.7700170927517844
IBS,HFE,1.0561520727860827
IBS,HLA-A,3.3477193593427845
IBS,HLA-B,3.370307658547109
IBS,HLA-C,3.233632572477833
IBS,HLA-DMA,1.2296176900672553
IBS,HLA-DMB,1.825533561190516
IBS,HLA-DOA,2.359528506367974
IBS,HLA-DOB,1.9710906159953105
IBS,HLA-DPA1,2.2479490901299455
IBS,HLA-DPA2,1.4028662506462994
IBS,HLA-DPB1,3.5398496956710206
IBS,HLA-DPB2,1.5863754299424133
IBS,HLA-DQA1,2.95177285123356
IBS,HLA-DQA2,1.696797419195018
IBS,HLA-DQB1,3.0654946182433136
IBS,HLA-DQB2,1.7300760598437837
IBS,HLA-DRA,2.99492780847573
IBS,HLA-DRB1,3.742819842698645
IBS,HLA-DRB3,1.754964298595714
IBS,HLA-DRB4,2.018881680056103
IBS,HLA-DRB5,1.8665287199623397
IBS,HLA-E,1.3990447646733721
IBS,HLA-F,2.210773722938919
IBS,HLA-G,2.6530239788904284
IBS,HLA-H,2.38746443518315
IBS,HLA-J,2.0887133360337313
IBS,HLA-K,1.6121615943139198
IBS,HLA-L,1.4222971845329435
IBS,HLA-N,1.222006439801053
IBS,HLA-P,1.3108776573422936
IBS,HLA-S,1.5112661195425934
IBS,HLA-T,1.8859597742058942
IBS,HLA-U,0.9319267859061944
IBS,HLA-V,1.1199647870118223
IBS,HLA-W,1.8905980399653042
IBS,HLA-Y,-0.0
IBS,MICA,2.2741250720589514
IBS,MICB,1.4811856833140264
IBS,TAP1,1.5274953825391266
IBS,TAP2,1.9860826099877265
ITU,HFE,1.0601189359398382
ITU,HLA-A,3.1320819289352255
ITU,HLA-B,3.246839312984509
ITU,HLA-C,2.924455395397902
ITU,HLA-DMA,1.3476156272113826
ITU,HLA-DMB,1.6081807225043876
ITU,HLA-DOA,2.077151484557467
ITU,HLA-DOB,1.6891923329857979
ITU,HLA-DPA1,2.1725660439764054
ITU,HLA-DPA2,1.3942314290175732
ITU,HLA-DPB1,3.393007888956468
ITU,HLA-DPB2,1.5553390096800603
ITU,HLA-DQA1,2.4512162019679846
ITU,HLA-DQA2,1.6990529318977525
ITU,HLA-DQB1,3.002026171332658
ITU,HLA-DQB2,1.7503998453712941
ITU,HLA-DRA,2.768662209346405
ITU,HLA-DRB1,3.5232397761687997
ITU,HLA-DRB3,1.6149101628183342
ITU,HLA-DRB4,1.7282431297700453
ITU,HLA-DRB5,1.7475014190981082
ITU,HLA-E,1.2909730513955133
ITU,HLA-F,2.249404297631498
ITU,HLA-G,2.3629265859139768
ITU,HLA-H,2.2834659904304178
ITU,HLA-J,1.813046792779528
ITU,HLA-K,1.634499867872742
ITU,HLA-L,0.9868396495859908
ITU,HLA-N,1.045937985334511
ITU,HLA-P,1.4526685438316844
ITU,HLA-S,1.2934109654684447
ITU,HLA-T,1.7070707677946035
ITU,HLA-U,0.8483663432738413
ITU,HLA-V,1.2739080285542315
ITU,HLA-W,2.045379398110025
ITU,HLA-Y,0.37677016125643675
ITU,MICA,2.129815124538267
ITU,MICB,1.5490448052708798
ITU,TAP1,1.4454608212914795
ITU,TAP2,2.0411455166402632
JPT,HFE,1.030455167574317
JPT,HLA-A,3.049151973965791
JPT,HLA-B,3.1161224837451016
JPT,HLA-C,2.6376403334557756
JPT,HLA-DMA,1.4413573920430363
JPT,HLA-DMB,1.4181113510962746
JPT,HLA-DOA,1.4280288186683763
JPT,HLA-DOB,1.604075383219044
JPT,HLA-DPA1,1.9259357674257327
JPT,HLA-DPA2,0.9498859337049442
JPT,HLA-DPB1,2.931793529012329
JPT,HLA-DPB2,1.295271861307922
JPT,HLA-DQA1,2.803363206185139
JPT,HLA-DQA2,0.9241025593424557
JPT,HLA-DQB1,2.7282614421069584
JPT,HLA-DQB2,1.4014635675827944
JPT,HLA-DRA,2.710328878261509
JPT,HLA-DRB1,3.340906729916406
JPT,HLA-DRB3,2.116402938904088
JPT,HLA-DRB4,1.6527236172787076
JPT,HLA-DRB5,1.627966602672832
JPT,HLA-E,1.8925521641786271
JPT,HLA-F,2.090416002231333
JPT,HLA-G,1.9383599622529772
JPT,HLA-H,1.3590353158048605
JPT,HLA-J,1.5144839643595125
JPT,HLA-K,1.1993194242829375
JPT,HLA-L,1.0090931658280935
JPT,HLA-N,1.2174949930265613
JPT,HLA-P,1.20941430208457
JPT,HLA-S,1.637817834634293
JPT,HLA-T,1.6309695376574571
JPT,HLA-U,0.8639761679907995
JPT,HLA-V,1.1872000902425186
JPT,HLA-W,1.6878658168975906
JPT,HLA-Y,-0.0
JPT,MICA,2.222947671394145
JPT,MICB,1.756906450012766
JPT,TAP1,1.5356111309434584
JPT,TAP2,1.8735264054490295
KHV,HFE,1.063883269969165
KHV,HLA-A,2.71136403630123
KHV,HLA-B,3.3569584699354236
KHV,HLA-C,2.993826045568819
KHV,HLA-DMA,1.424714696311029
KHV,HLA-DMB,1.5652597207897312
KHV,HLA-DOA,1.8873376250404028
KHV,HLA-DOB,1.6987983552698314
KHV,HLA-DPA1,2.094101991614628
KHV,HLA-DPA2,1.1943066171033383
KHV,HLA-DPB1,3.217497789253804
KHV,HLA-DPB2,1.6099213456817845
KHV,HLA-DQA1,2.774779954756683
KHV,HLA-DQA2,1.1399255869908491
KHV,HLA-DQB1,3.0782440233169717
KHV,HLA-DQB2,1.4306548071523193
KHV,HLA-DRA,2.494398180061833
KHV,HLA-DRB1,3.5137367037180196
KHV,HLA-DRB3,1.8666222203324625
KHV,HLA-DRB4,1.735106243212815
KHV,HLA-DRB5,1.9253991490820828
KHV,HLA-E,1.7778395382012862
KHV,HLA-F,2.4390321042921803
KHV,HLA-G,2.4560094638252603
KHV,HLA-H,2.123303154635102
KHV,HLA-J,1.8323666225432904
KHV,HLA-K,1.7156463199592529
KHV,HLA-L,1.063221193316926
KHV,HLA-N,1.1442328684347949
KHV,HLA-P,1.2041509299063564
KHV,HLA-S,1.5175565808788314
KHV,HLA-T,1.782515114968096
KHV,HLA-U,1.0335264167969973
KHV,HLA-V,1.124770671977696
KHV,HLA-W,1.933959418948496
KHV,HLA-Y,0.4676524865100599
KHV,MICA,1.961974106566366
KHV,MICB,1.8233054847879477
KHV,TAP1,1.3540323141798303
KHV,TAP2,2.033671576600418
LWK,HFE,1.0929964342188159
LWK,HLA-A,3.2801263469929163
LWK,HLA-B,3.024853825169438
LWK,HLA-C,2.8932201765987773
LWK,HLA-DMA,0.8587368689306084
LWK,HLA-DMB,1.7169906325437967
LWK,HLA-DOA,2.300584397598395
LWK,HLA-DOB,1.4086444477579125
LWK,HLA-DPA1,2.1097694336043253
LWK,HLA-DPA2,1.2093830513302335
LWK,HLA-DPB1,2.799337686526971
LWK,HLA-DPB2,1.1493626640284222
LWK,HLA-DQA1,2.554014971626989
LWK,HLA-DQA2,1.8365250345645179
LWK,HLA-DQB1,2.6043262133702267
LWK,HLA-DQB2,1.7722159884184705
LWK,HLA-DRA,2.7559386472848417
LWK,HLA-DRB1,3.46605522188496
LWK,HLA-DRB3,1.564352804373021
LWK,HLA-DRB4,2.1045539971646363
LWK,HLA-DRB5,1.5939537260514163
LWK,HLA-E,1.5658967447294887
LWK,HLA-F,2.3762865190861153
LWK,HLA-G,2.7050219128411825
LWK,HLA-H,2.4096702472103115
LWK,HLA-J,2.223422465462221
LWK,HLA-K,1.6493780581885096
LWK,HLA-L,1.2812295058622074
LWK,HLA-N,1.1952653710947923
