Sample_Num,Allele_Num
1,65
2,102
3,122
4,142
5,170
6,187
7,195
8,211
9,232
10,238
11,243
12,248
13,251
14,268
15,283
16,299
17,314
18,332
19,341
20,350
21,358
22,365
23,377
24,382
25,385
26,390
27,401
28,408
29,418
30,427
31,436
32,452
33,457
34,460
35,466
36,469
37,471
38,482
39,485
40,495
41,499
42,501
43,504
44,508
45,511
46,512
47,520
48,523
49,526
50,528
51,533
52,534
53,538
54,539
55,546
56,551
57,552
58,554
59,556
60,562
61,567
62,571
63,572
64,575
65,581
66,582
67,582
68,584
69,587
70,591
71,592
72,592
73,599
74,602
75,605
76,611
77,618
78,628
79,636
80,645
81,650
82,657
83,669
84,672
85,676
86,677
87,679
88,683
89,689
90,693
91,699
92,701
93,705
94,706
95,711
96,719
97,723
98,726
99,728
100,731
101,734
102,734
103,736
104,739
105,745
106,745
107,746
108,748
109,752
110,754
111,759
112,765
113,766
114,768
115,772
116,773
117,775
118,777
119,777
120,781
121,786
122,790
123,792
124,799
125,804
126,805
127,806
128,809
129,812
130,815
131,820
132,822
133,825
134,826
135,831
136,834
137,836
138,844
139,847
140,850
141,852
142,860
143,862
144,862
145,868
146,872
147,876
148,880
149,880
150,887
151,892
152,899
153,900
154,902
155,904
156,907
157,911
158,913
159,916
160,920
161,923
162,929
163,931
164,936
165,942
166,946
167,952
168,954
169,955
170,957
171,958
172,960
173,962
174,963
175,964
176,968
177,969
178,973
179,974
180,977
181,982
182,983
183,984
184,988
185,988
186,989
187,993
188,996
189,1003
190,1003
191,1003
192,1005
193,1006
194,1007
195,1008
196,1012
197,1015
198,1016
199,1017
200,1021
201,1022
202,1024
203,1026
204,1026
205,1029
206,1030
207,1033
208,1035
209,1036
210,1041
211,1046
212,1048
213,1051
214,1052
215,1054
216,1054
217,1058
218,1061
219,1068
220,1071
221,1078
222,1080
223,1081
224,1082
225,1085
226,1085
227,1087
228,1087
229,1088
230,1092
231,1094
232,1096
233,1097
234,1098
235,1099
236,1102
237,1103
238,1105
239,1105
240,1107
241,1110
242,1110
243,1112
244,1114
245,1115
246,1117
247,1118
248,1120
249,1120
250,1121
251,1123
252,1125
253,1127
254,1128
255,1128
256,1130
257,1133
258,1134
259,1135
260,1136
261,1138
262,1139
263,1141
264,1143
265,1144
266,1145
267,1148
268,1153
269,1155
270,1155
271,1159
272,1163
273,1165
274,1166
275,1171
276,1172
277,1172
278,1175
279,1176
280,1177
281,1177
282,1180
283,1185
284,1185
285,1189
286,1191
287,1193
288,1199
289,1200
290,1203
291,1204
292,1204
293,1205
294,1206
295,1207
296,1208
297,1209
298,1211
299,1211
300,1212
301,1217
302,1218
303,1218
304,1220
305,1221
306,1221
307,1222
308,1224
309,1224
310,1225
311,1227
312,1228
313,1232
314,1233
315,1233
316,1235
317,1235
318,1237
319,1238
320,1242
321,1243
322,1244
323,1247
324,1248
325,1249
326,1252
327,1256
328,1257
329,1261
330,1261
331,1262
332,1265
333,1267
334,1267
335,1271
336,1272
337,1272
338,1272
339,1273
340,1277
341,1278
342,1279
343,1284
344,1286
345,1293
346,1293
347,1296
348,1299
349,1301
350,1301
351,1302
352,1302
353,1305
354,1306
355,1307
356,1307
357,1309
358,1309
359,1310
360,1311
361,1311
362,1312
363,1313
364,1313
365,1314
366,1314
367,1314
368,1314
369,1315
370,1315
371,1315
372,1316
373,1316
374,1317
375,1318
376,1320
377,1322
378,1322
379,1322
380,1322
381,1323
382,1326
383,1327
384,1332
385,1333
386,1339
387,1342
388,1343
389,1343
390,1344
391,1346
392,1348
393,1349
394,1349
395,1352
396,1352
397,1354
398,1357
399,1358
400,1358
401,1358
402,1360
403,1363
404,1364
405,1366
406,1368
407,1371
408,1371
409,1373
410,1375
411,1378
412,1380
413,1380
414,1381
415,1381
416,1383
417,1383
418,1386
419,1387
420,1388
421,1390
422,1390
423,1390
424,1390
425,1394
426,1394
427,1398
428,1401
429,1401
430,1402
431,1404
432,1406
433,1406
434,1406
435,1407
436,1410
437,1411
438,1411
439,1413
440,1414
441,1414
442,1418
443,1418
444,1420
445,1422
446,1425
447,1426
448,1427
449,1428
450,1430
451,1431
452,1433
453,1433
454,1435
455,1437
456,1438
457,1440
458,1440
459,1443
460,1444
461,1444
462,1445
463,1445
464,1446
465,1450
466,1451
467,1452
468,1452
469,1453
470,1455
471,1456
472,1456
473,1457
474,1458
475,1459
476,1462
477,1462
478,1463
479,1464
480,1464
481,1465
482,1466
483,1466
