,HG02309,HG01883,HG03103,NA19114,HG02703,NA19238,NA18913,NA19403,HG03307,HG02111,HG02143,NA20348,NA20346,HG03521,HG03476,HG02971,HG03048,NA20127,HG02580,NA20314,HG02307,NA19835,HG02332,HG02595,HG02478,HG01880,NA20357,HG02585,HG02561,NA18520,HG03132,HG02938,HG02634,HG02611,HG02679,HG01915,HG03301,HG01985,HG01879,HG01890,HG03485,HG03171,HG03539,HG03108,HG02010,HG02445,HG03212,HG03393,NA19024,HG02284,HG02266,HG00637,HG01054,HG01259,HG01121,HG00736,HG01453,NA19675,HG01047,HG01992,HG02277,HG01464,HG01412,HG02292,HG01133,HG02274,HG00551,NA19747,HG01465,HG01275,HG01148,HG01577,HG01362,HG01168,HG00739,HG01286,HG01392,HG01967,HG01396,HG01918,HG01108,HG01187,NA19740,HG01571,HG01982,NA19723,HG01119,HG02006,HG02003,HG01311,HG01356,HG01366,NA19735,HG01134,HG01455,HG01048,HG01055,HG01107,HG01344,HG01073,HG00983,HG02081,HG02060,HG01794,NA18944,NA18642,HG00442,NA18989,HG02020,NA18968,HG02180,HG01597,NA18960,NA18555,HG02152,HG02189,HG00404,NA18537,NA18632,HG02182,HG02138,HG00607,NA18553,NA18971,HG02521,HG00565,NA18612,HG01863,HG01815,HG00632,HG02382,HG00759,HG00479,HG00650,NA18980,HG02384,HG02064,HG00702,HG00418,NA18546,HG02087,NA18988,HG00844,HG00530,HG02137,HG00446,NA18566,HG02364,NA18941,HG00657,HG00342,HG02239,HG00255,HG00368,HG00111,HG00274,HG00146,NA12802,HG00365,HG00381,HG00367,HG00120,HG00268,HG01504,HG00173,HG01700,NA20525,HG01512,HG00325,NA20805,HG00338,NA20762,HG00357,HG00141,HG01518,HG00137,HG00125,NA20503,HG01779,HG01680,HG00243,HG00130,HG00252,HG00242,HG00139,HG00254,NA20801,NA10843,HG00361,HG00133,HG01776,NA12890,NA20753,HG00158,HG00278,HG01766,HG02224,NA12891,HG02223,HG00261,HG03816,HG03009,NA21101,HG03856,HG03729,HG03821,HG03784,HG02657,NA21099,HG03753,HG04140,HG03687,HG03709,HG03794,HG02781,HG02684,HG04062,HG03931,NA21102,HG01589,HG02793,HG03812,HG03016,HG03640,HG03645,HG04200,HG03019,HG02688,HG04149,NA20866,HG02490,HG03686,HG03929,HG03746,HG03604,NA21103,HG04039,HG04017,HG03837,HG04020,HG03595,HG02724,HG03976,HG04131,NA20899,HG03882,HG03973,NA20861,HG03854,HG03972
HG01121,5079.5,3174.5,3982.0,4236.5,1689.0,3572.0,3610.5,3680.0,13282.5,3848.0,3771.5,1789.5,5688.0,1660.0,6941.0,1567.0,9993.0,13627.5,1580.5,3749.5,8835.0,5437.0,3824.0,3029.0,2412.0,1775.5,1642.0,3857.5,1618.5,1452.0,13676.5,8824.0,3690.0,11253.0,10058.0,6970.5,1782.5,1253.5,6857.0,1891.5,3584.0,3932.5,2156.5,2945.0,6649.0,1560.0,1630.0,4721.0,6900.0,15362.5,8890.5,12555.0,8947.0,2516.5,0.0,12233.0,3963.5,4505.0,3754.5,3727.0,3567.5,3535.5,4708.0,6585.5,1629.0,4288.5,9440.5,4067.0,2069.5,1166.5,9473.5,1920.0,3776.0,6898.5,1862.0,4694.5,1815.0,8651.5,9902.0,11783.0,8082.5,1496.0,20680.0,3202.0,11398.0,7146.0,1749.0,1972.0,9848.5,3645.0,3882.5,1205.5,4642.5,4984.0,4154.5,6841.0,8736.0,3212.5,1549.5,12862.5,4071.0,1908.5,1764.5,3080.5,1740.5,1748.0,3899.0,7604.0,1220.5,3726.0,3160.0,3065.5,14164.5,11896.5,6896.0,12030.5,8560.5,14387.0,3736.0,5172.5,7025.5,10164.5,3774.0,4223.0,1997.5,3972.5,3900.0,6217.0,8486.5,2010.0,3709.5,1768.0,12280.5,3660.0,1625.5,1904.5,4626.0,11806.5,2052.5,3420.5,4308.0,3880.0,1672.5,3915.0,7715.5,3826.5,10285.5,1866.5,9201.5,4151.5,8003.0,5004.5,10502.0,3938.5,6993.0,8496.5,8193.5,3424.5,1758.5,6827.0,3678.0,1835.0,4033.0,8519.0,9806.5,3571.0,9237.5,1603.0,6614.0,4087.0,3756.5,3800.5,3747.5,2204.0,8674.5,6223.5,7178.5,5821.0,3019.5,5198.5,6323.5,8404.5,3293.5,4192.5,6589.5,5085.0,7114.0,2245.5,10023.0,2186.0,11886.5,3673.0,3361.0,3931.0,4747.5,14190.5,4202.5,1782.5,4083.0,8541.0,7013.5,1710.0,3581.5,1702.0,13301.5,6410.5,3873.0,4144.5,4405.5,4201.5,3735.0,5893.5,3832.5,4718.5,1972.5,4040.0,3632.5,1572.5,9020.0,17097.5,1857.0,4870.0,3942.5,13228.5,2288.5,1697.0,1482.0,8461.5,3696.5,5574.5,3821.0,4360.0,1911.0,3463.5,7005.0,3702.0,1558.5,3822.0,8145.5,3340.0,9314.0,1558.0,1338.0,2085.0,3561.0,1885.0,8321.5,3558.0,2273.0,7207.5
HG00736,1445.0,8420.5,13083.0,7500.5,8330.5,6479.5,8438.5,5057.0,19639.0,10001.0,6474.5,5961.5,7773.0,14515.5,7384.0,4313.0,6424.5,18768.5,6579.5,6591.0,12859.0,11202.5,5237.0,6610.0,7402.0,4921.0,6342.0,10206.0,4416.5,5276.0,7076.5,11801.0,7319.0,13974.5,1871.0,1793.0,7825.5,12218.5,4668.5,4547.5,8210.0,6317.5,5935.0,6926.0,6573.0,5707.5,8810.0,9320.5,3997.0,14134.0,11480.0,3353.0,15350.0,4599.5,12233.0,0.0,6983.0,6435.5,5567.0,6687.0,7054.0,4710.5,6424.5,11775.0,3873.0,10971.0,5816.5,4289.5,6686.0,5447.0,12410.0,7323.0,9012.0,4094.5,6065.0,7409.5,4982.0,6637.0,4533.5,14088.0,16359.5,8564.5,9497.0,6158.5,15604.0,9573.0,4425.5,4833.0,8829.5,7928.0,6507.0,5486.5,6468.0,4960.5,6861.0,10221.0,9432.0,3382.5,8658.5,13982.0,12001.0,5379.5,6370.5,7514.0,17132.0,7837.5,6650.5,4505.5,10550.0,8445.0,6314.0,6280.0,9200.0,17382.0,8356.0,14618.0,13348.5,5459.5,6640.5,5504.5,4193.0,7347.0,7829.0,7144.5,8091.0,1968.5,6894.5,7551.0,12936.5,11989.0,7681.5,4740.5,3601.0,8911.0,5052.0,4872.0,8044.0,11665.5,6160.0,6977.0,7367.5,7229.5,4527.0,7209.5,7456.0,8290.0,12382.0,4909.5,9879.0,8269.0,6171.0,6385.5,11247.0,7098.0,1767.5,3832.5,6546.5,7234.0,5590.5,10880.0,4417.0,3509.5,6159.5,8321.5,10871.5,8443.0,11957.0,4900.5,11017.5,6469.5,4783.0,6690.5,7801.5,6112.5,11567.0,9040.0,1795.5,6197.0,7880.0,7064.5,5036.0,4510.5,6853.5,5096.0,10388.0,9160.0,8241.5,5556.5,6856.0,6649.5,6468.5,6661.5,4920.0,8083.0,6829.0,10414.5,4492.0,13740.5,6568.0,10745.5,2070.0,6054.0,11263.0,7508.5,7670.0,7609.5,5367.0,7373.5,9635.5,6728.5,6924.0,7114.5,7540.5,9501.0,5576.0,7210.5,4439.5,7979.5,4296.0,5836.0,14895.0,6489.5,8858.0,10745.0,4572.0,6132.5,6686.0,12829.0,6989.0,6849.0,7227.0,8442.0,5876.0,7168.0,6409.0,5995.5,7181.5,7846.0,12429.0,5312.0,1832.0,7353.0,1819.5,4767.5,6708.5,4506.5,2600.5,8323.0,3729.5,5327.0
HG01453,7721.0,1883.5,7512.0,2268.0,2172.5,1855.5,1637.0,6622.5,12774.0,2448.0,2359.5,2235.5,4695.5,1972.5,5223.5,4060.0,1766.5,12756.0,1431.0,2222.0,6854.5,3590.0,6195.0,1391.5,3111.5,1756.5,3852.0,1967.5,1855.0,2003.5,3069.5,6447.5,1923.5,11265.0,7319.0,8637.5,3305.0,3536.0,4018.5,2265.5,1900.0,6344.5,2076.5,1439.5,4671.0,3583.5,3906.5,2570.5,5761.5,17386.0,6108.5,9509.0,6631.0,1926.0,3963.5,6983.0,0.0,1694.0,6228.0,1448.0,1691.5,6592.0,6989.5,12352.0,1567.0,5117.0,9268.0,1542.5,2196.0,2078.5,10899.5,1810.5,3143.0,7494.0,1756.5,1904.5,4135.5,6014.0,9850.0,13359.0,10977.0,1053.5,22580.5,1385.0,12331.5,7055.5,2031.0,1972.5,6713.0,2259.0,4944.0,4094.5,1402.0,1390.0,1703.5,10345.5,9581.5,2811.5,1297.0,11815.0,6087.5,3698.0,2493.5,5525.0,1208.5,1695.5,1484.5,8751.0,4596.0,5835.0,5568.0,3201.5,14122.0,10937.5,8713.0,11334.5,6405.0,7659.0,1080.0,9576.0,6108.5,1981.0,6038.5,1880.0,1945.5,6419.5,2359.5,4379.5,5882.0,2319.0,5513.0,1634.0,6418.5,1613.0,1757.0,4250.0,6390.0,10092.5,1440.5,983.5,2050.0,2091.5,1683.0,2281.0,1709.5,5789.0,6306.0,2493.5,11271.0,1366.0,6085.0,5370.5,8471.5,3130.5,8101.5,6473.0,4326.0,1774.0,1714.5,6072.5,6263.5,1849.5,2234.0,1295.0,6710.5,6401.5,10251.0,1347.5,6450.5,1459.0,5938.0,1600.0,5131.0,4539.5,5019.5,6160.0,8297.5,1891.5,3798.5,6254.0,4186.5,6380.0,1533.0,5450.5,11866.0,7520.5,1713.0,4257.0,8036.5,2276.5,5441.0,1760.5,3195.5,1306.5,2092.0,10960.0,6239.0,1614.0,1626.5,8448.5,5120.5,1275.5,1272.5,1324.0,4196.5,5586.5,5764.0,1946.0,6308.5,637.5,6435.5,1440.5,1779.5,2902.0,867.0,2595.5,5432.5,1767.5,3668.5,11478.0,3688.5,1567.0,3592.0,7970.5,4099.5,1532.0,1293.5,6488.5,2459.0,1512.0,5203.5,2272.5,3129.5,1534.5,1522.5,5629.5,2769.5,1883.0,6141.5,2511.5,8543.0,1063.5,5432.5,3525.0,5734.5,1445.0,4611.0,1969.5,1637.0,4414.0
NA19675,7194.5,1703.5,6656.5,2867.0,1958.0,1709.0,1534.5,6082.0,12928.0,2840.5,1702.0,1715.0,5149.5,4248.0,4991.5,3839.5,1777.5,12581.5,2170.0,1656.0,6023.0,2992.0,6454.5,1539.5,3136.0,5903.5,3898.5,1683.5,1633.5,2812.0,2220.5,6508.0,1938.0,11155.5,2056.0,8603.0,4555.0,4267.0,4934.5,2122.5,1770.0,6091.5,2323.5,2853.0,4819.0,2920.5,3727.5,2638.5,5568.5,17073.5,7393.5,9191.5,6462.5,1272.5,4505.0,6435.5,1694.0,0.0,7173.0,1513.5,2866.5,6470.0,7653.0,11822.5,1060.5,5400.5,10313.5,2667.0,2017.5,2106.0,11053.5,1556.5,3023.0,6609.5,1576.5,3243.0,5722.0,2399.0,9879.5,13901.0,12689.5,2906.0,22205.5,1674.0,11677.0,5916.5,1763.0,1310.0,5416.0,3314.0,6419.0,4031.5,1661.5,3199.0,1802.5,7414.5,10421.5,3370.0,2915.5,12295.5,6335.5,4312.5,2346.0,6594.5,2007.0,2270.5,2001.0,11063.5,1815.5,6024.0,6477.0,3307.0,10772.5,11189.5,11042.5,12919.0,6868.0,9939.5,1390.0,7542.5,6173.0,2509.0,5931.5,1905.5,2035.5,8090.0,1744.0,4208.0,6595.0,14070.5,6531.0,3667.0,6878.0,2013.5,1954.0,5513.0,3182.5,11191.5,1709.5,1566.5,2330.0,1613.5,3567.5,2208.5,2153.0,6690.5,6643.0,2347.5,11557.0,2363.0,6122.5,5586.0,8157.5,1621.5,6617.0,6324.0,4623.0,1865.5,1586.5,6930.0,6268.5,2000.5,1568.5,2273.5,7364.5,6738.0,10385.5,1604.5,6166.5,1014.0,5527.5,1913.5,5032.5,4144.5,6032.0,5878.5,9888.5,1098.0,3346.5,3005.5,4149.5,6933.0,1496.5,5616.0,8372.0,7207.5,3214.0,5601.5,8472.0,2168.0,7856.0,1914.0,3837.5,3399.0,1417.5,10615.5,7195.0,2609.0,1892.0,8338.0,4773.5,1916.0,1605.0,1984.0,5270.5,2659.5,5517.5,2701.5,9240.5,1583.5,2762.0,2350.0,1496.5,3307.5,2348.0,2230.0,6228.0,2220.5,4405.0,13764.5,2011.5,2246.0,4061.5,7919.5,3667.5,1936.0,2070.0,6463.5,1772.0,2368.0,2664.0,2235.5,5725.5,1967.5,2359.0,5999.5,2800.0,1487.5,6705.0,3181.0,9963.0,2588.0,5758.5,4257.5,2401.5,1745.5,5997.5,2340.5,2297.5,5536.5
HG01047,8342.0,6948.0,1693.5,6758.5,3768.0,6712.0,7261.5,7729.5,16924.0,8905.0,5766.5,3940.5,4855.0,3310.0,9045.5,3562.5,6595.5,16159.0,3720.5,6212.5,13527.5,9472.0,1876.5,7515.5,7098.0,5616.5,2367.0,7910.5,2635.5,5388.5,7818.0,12753.5,7844.5,14257.5,9000.0,6689.0,1039.5,5491.0,10494.5,1588.5,8081.5,4457.0,3589.5,5514.5,10451.5,1749.0,5335.0,7992.5,8893.0,12860.5,11987.5,15435.5,13557.5,3392.5,3754.5,5567.0,6228.0,7173.0,0.0,6420.5,6461.5,3354.0,4679.5,6589.5,4124.5,3310.0,9571.0,5776.0,1879.0,4000.5,10989.0,3468.0,7037.0,5358.0,4674.0,7613.5,2757.0,3675.0,12974.5,15133.5,7205.5,3635.0,18774.0,2168.5,14558.5,6952.5,4351.5,2427.0,4048.5,5421.5,3301.0,5525.5,7261.5,2887.0,5556.5,6777.0,8132.0,7742.5,2922.0,16052.0,4034.0,5423.0,2188.5,2962.5,2003.5,1254.0,6825.0,8645.0,2911.0,3283.5,2524.5,6755.5,16001.5,12136.0,4673.0,13167.5,13724.0,10061.5,7306.5,2101.0,6126.5,5891.5,4149.5,7485.0,6207.0,1726.0,6093.5,8270.5,10194.5,1795.5,3250.5,2923.5,6757.0,7672.5,3389.5,3088.5,2499.0,10241.5,4604.5,7085.0,7474.5,6508.0,6800.5,6213.5,6355.5,4509.0,11700.5,4855.0,8027.5,4166.0,11108.5,8232.5,13078.5,6980.0,8236.5,12497.5,5231.0,5855.0,2324.0,7557.0,2157.0,3445.0,5082.0,5845.5,10383.5,1325.5,12186.0,3062.0,7538.0,6917.5,2135.0,4922.0,3002.0,2670.5,9220.5,7679.5,5827.0,5475.5,8017.0,5958.0,4946.0,11924.5,5782.5,1699.5,1968.0,4416.5,5698.0,4140.5,11464.0,2945.5,2320.0,5579.0,7004.5,5779.0,5954.5,8868.5,2872.0,4770.0,7025.5,11060.5,6187.5,3008.5,3241.0,3966.0,8009.5,6689.5,3966.5,7271.0,2461.5,7168.0,3598.0,7332.0,5547.0,9688.0,3749.5,5700.0,2572.0,1269.0,3007.5,9532.5,2641.0,2062.0,6801.0,11251.0,5189.0,2498.0,3096.5,13324.0,4952.5,5751.5,2259.5,6717.0,4179.0,5282.5,1767.0,3871.0,3510.5,8037.5,10521.0,4384.5,6257.0,1955.0,3691.5,4430.5,5744.5,3081.0,6606.0,7887.5,3053.0,10349.0
HG01992,7318.5,1483.5,5753.0,2138.5,2247.5,1824.5,1919.0,6013.5,11133.5,2574.5,1895.5,2243.0,2841.0,2244.0,5274.0,3136.5,1180.0,11132.5,2235.5,2152.0,7232.5,3476.5,5625.5,1911.5,4113.5,6567.5,3575.0,2985.5,1775.0,2192.5,1727.5,7133.0,2883.5,11714.5,8089.5,9526.5,3091.5,4123.5,4818.5,1807.0,2211.0,6420.0,2142.5,3044.0,5241.0,1841.0,4273.0,2732.5,4220.5,15899.5,6377.5,9678.0,7471.5,1439.0,3727.0,6687.0,1448.0,1513.5,6420.5,0.0,2125.5,3520.5,7333.5,10148.5,1378.0,5405.0,8419.5,1141.0,1199.0,1652.5,10216.5,1456.0,1754.5,6070.5,2489.0,2176.0,3498.0,6095.0,8975.5,13525.5,10695.5,2014.5,21498.5,1615.0,11618.5,6859.0,1637.5,2295.5,3422.5,1681.0,5477.5,4040.0,1614.0,1897.5,879.5,6872.0,10356.5,3453.0,1717.0,11895.5,6947.5,3706.0,1815.5,5388.0,1391.0,1335.5,1335.0,9617.0,7653.0,6054.5,5356.0,3695.0,10227.0,11613.0,8824.5,10856.5,7465.0,7375.0,1412.0,5084.0,6456.0,2333.5,6484.0,1664.5,1953.5,6220.0,2075.5,3699.0,5448.0,2079.0,6029.5,1848.0,5912.0,2165.0,1877.5,4127.0,5588.0,9678.5,2380.5,1245.5,1657.5,1265.0,1915.0,2566.5,3463.5,6258.0,6917.0,1710.0,10375.5,1152.5,6023.0,6000.0,6634.5,1063.5,5852.0,6732.0,3507.0,1525.5,1410.5,6022.5,4675.5,1720.5,1387.0,2151.5,6012.0,5180.5,10159.0,1534.0,6011.0,1524.5,5005.5,1324.0,5494.0,2562.0,5181.0,6744.5,9182.5,1232.0,4591.5,2447.0,3360.0,6839.5,2395.0,4970.5,5785.5,7512.5,1678.5,3507.5,8235.0,1173.0,5954.0,897.0,3831.0,1211.0,1590.5,10343.5,5616.5,1836.5,1841.0,7262.0,4366.5,1826.5,1541.0,1747.0,4566.5,2284.5,5580.0,2130.5,7188.0,1381.0,2182.0,1762.5,1347.0,3415.5,1998.0,728.5,5776.0,1714.5,2496.0,10023.0,4404.5,1726.0,2384.0,6303.5,3949.0,1468.5,1880.0,7208.5,7091.0,2013.5,3193.0,1456.0,2155.5,1223.5,1342.0,6152.0,2231.5,1678.5,6400.0,1879.0,9616.5,1423.5,5363.0,4049.5,2316.5,1646.0,5130.5,2209.0,1966.0,4775.5
HG02277,7046.5,1972.5,5874.5,2277.5,3804.0,1722.5,1141.0,5443.0,11124.5,3238.5,1537.5,3844.5,3340.5,6161.5,5023.5,4001.0,2459.5,13712.0,1771.5,1113.5,7318.5,4613.0,5918.0,1350.0,4710.0,5363.0,4078.0,2284.0,1704.5,2482.0,1247.0,6037.0,1265.5,10797.0,8497.0,8547.5,1930.5,3802.0,5171.5,1976.5,3077.0,7458.5,2873.5,2101.5,6102.5,1508.0,5090.0,2142.0,5224.5,15300.5,6845.0,9731.0,8107.5,2006.0,3567.5,7054.0,1691.5,2866.5,6461.5,2125.5,0.0,5818.0,6941.0,10696.0,1762.0,5750.0,9639.5,2016.0,2562.0,1352.0,11309.5,3587.0,6453.0,5377.0,2670.0,2428.0,4441.5,1500.5,9604.5,12697.5,10072.5,1776.5,22120.5,1511.0,12333.5,6262.0,2411.0,935.5,4327.0,2063.0,5765.0,3400.0,2179.5,1118.0,2369.0,6728.5,10222.0,4959.0,1718.0,11389.5,6024.5,4525.5,1413.0,5962.5,1921.0,2139.5,2275.0,9570.0,1702.5,7269.0,6109.5,2894.5,10299.5,11180.5,9163.0,11169.5,7419.5,8671.5,1681.0,6694.5,5675.0,2367.0,6863.5,2117.0,3462.0,6011.0,1635.0,3922.5,8021.5,15032.0,7002.0,2121.0,6606.0,1264.0,1824.5,3730.5,2467.0,12501.0,3043.0,1681.5,2179.5,1562.5,1675.0,2054.5,2105.0,8079.5,7880.0,3348.0,10861.0,2665.5,6663.5,5477.0,6756.0,1905.5,5359.0,6434.5,1470.5,1368.0,1580.5,6816.0,5891.5,4214.0,2053.5,1772.0,6421.0,5715.0,11988.0,2433.5,8020.0,1615.0,6853.0,2632.0,5626.0,3868.0,5036.0,5897.5,9059.0,1013.5,4423.5,1854.5,4012.0,6721.5,1784.5,6438.0,5528.0,8879.5,1493.5,3527.0,8526.5,1954.0,6344.5,2668.0,3446.5,1858.0,2388.0,12591.0,7860.5,3421.5,2249.5,7772.5,5382.5,1656.0,1887.0,3294.5,4530.0,2184.5,7080.0,2418.0,6100.0,1966.0,2094.5,2516.0,1573.5,4851.0,1647.5,2089.0,6127.5,2240.5,2386.0,10074.0,2317.5,1830.5,2282.0,7809.0,4203.0,2234.0,2073.5,7462.5,2313.0,2168.5,1905.0,2242.5,1556.0,2477.0,2139.5,5472.5,1445.5,2826.0,6312.0,1471.5,10229.0,1907.5,5499.5,3877.0,1940.5,1968.0,5461.5,3768.0,2134.5,5435.5
HG01464,5651.5,6052.5,11746.0,6176.0,6265.0,3813.0,6047.0,5575.5,15904.0,4834.0,6532.5,4585.0,7551.0,8206.5,7055.5,4744.0,4118.5,12966.0,7373.5,6752.5,12084.5,5337.0,1182.0,6603.5,5443.0,4224.5,1146.5,7259.0,3996.0,6011.0,4975.0,11741.0,7190.0,12289.0,11249.5,8055.5,5285.0,4294.5,9515.0,2108.5,4252.5,2481.0,1974.0,4053.0,9700.5,3191.0,2385.5,6868.0,9573.5,11550.5,10601.5,15137.0,9687.5,9398.5,3535.5,4710.5,6592.0,6470.0,3354.0,3520.5,5818.0,0.0,5949.0,8246.0,2046.5,4539.0,8221.5,3508.5,7188.0,4377.0,9829.5,7159.0,4580.0,8174.5,10053.0,6019.5,2013.0,5624.5,9848.0,13832.5,8132.5,7529.5,20012.0,9583.5,14061.5,9678.0,2217.5,9356.5,8396.5,5103.5,3678.0,4252.5,7247.0,8831.5,9191.5,8672.5,9671.5,5791.0,1740.0,13568.5,5410.5,2833.5,5905.0,1772.0,4023.5,2095.5,3738.5,7539.5,10116.5,2634.5,1995.5,7844.0,15155.0,19603.0,4419.5,16052.5,12025.5,8002.0,6406.0,4464.0,8386.5,3654.5,4866.0,4561.5,2090.5,1832.5,4214.5,9290.0,8662.0,2282.0,9492.5,5959.0,10501.0,6771.5,6655.5,1779.0,4819.5,6841.5,5186.0,6329.5,4596.5,4451.5,2002.5,4653.0,5858.0,2848.0,9052.5,2045.5,6701.5,5136.5,11345.5,7952.0,9224.5,6665.5,8945.5,11450.0,4441.5,4608.0,4727.0,11344.0,1634.0,4380.0,6251.0,3578.0,10417.0,1289.0,8870.0,8981.5,11302.5,6039.0,1276.5,3916.5,4407.5,2017.0,9324.0,8427.0,7491.5,3989.0,6265.0,6860.0,2022.0,8185.5,6363.0,4544.5,1814.5,3225.5,4233.5,2717.0,9679.0,4327.5,1952.5,5494.0,4090.5,6318.0,6703.0,7275.5,2578.5,4023.0,6273.5,6959.0,10216.5,4493.5,9263.0,5430.0,8742.5,6764.5,2548.5,6428.0,1908.5,6665.0,4565.0,6692.5,3784.5,7917.0,6730.5,4570.0,1431.0,4263.0,1733.0,8225.0,10029.0,5723.0,5470.5,7966.5,2660.5,4453.5,4113.5,11568.0,2876.5,3662.5,7105.5,6132.5,4162.0,4504.5,4760.5,2099.0,8367.0,4732.5,8480.0,6099.0,16824.5,4259.0,3761.0,2235.0,5536.0,1964.5,8186.0,6646.0,6811.5,7081.5
HG01412,4219.0,6947.0,4666.5,7806.0,8394.0,7518.5,6985.5,3966.0,10894.0,7323.0,7231.0,7840.5,2110.0,3488.5,6057.5,4871.5,7309.5,12887.5,3444.0,6853.5,5964.0,10503.5,4177.5,6896.5,6155.0,4888.0,3066.0,6943.5,3478.5,5538.5,7221.5,5570.0,6818.5,6680.0,9148.0,6308.5,3680.5,5020.0,10120.0,3298.0,7647.0,4270.0,3504.5,7034.5,9949.5,3640.5,5277.5,8161.5,10942.0,7031.5,5639.5,5575.5,10663.5,3441.0,4708.0,6424.5,6989.5,7653.0,4679.5,7333.5,6941.0,5949.0,0.0,3028.0,5416.5,3465.0,4381.5,5977.5,4125.5,4857.5,12421.5,3368.0,8059.0,8193.0,3317.5,8335.5,5820.5,5033.0,3577.5,8826.5,2396.0,2898.5,10748.0,3055.5,10279.0,1981.0,6722.0,3082.5,5515.5,7976.5,3597.0,5061.0,6949.0,2610.0,7527.5,3190.5,1634.0,4081.5,3352.0,10628.5,3549.0,5654.5,3044.0,3581.5,3256.5,3420.5,7285.0,9251.0,3582.0,4048.0,3418.5,3908.5,9946.0,6482.5,6776.5,7104.5,10584.0,11659.0,7076.5,4209.5,2052.0,7549.5,2914.5,7730.5,10138.5,2514.0,7605.0,6072.0,5778.5,2275.0,4797.5,3760.5,2141.5,7078.0,5569.0,3747.5,6160.0,5114.0,7995.0,6811.0,8049.5,6810.5,6990.0,15592.5,7807.0,8338.5,5756.5,5883.0,3457.5,3698.0,3664.0,3465.5,6123.0,6794.5,10170.0,6354.0,7197.5,6795.5,2703.5,1502.5,4440.5,2476.0,7174.0,7538.5,5844.5,3374.0,3830.5,3968.5,2290.5,7273.5,8113.0,7773.0,3403.5,3898.0,10959.5,1459.0,6637.0,6852.5,8171.5,7967.0,5373.5,6820.0,9960.5,3451.0,3435.0,3873.0,7068.5,5478.5,14135.0,4170.5,4071.0,6894.0,4624.0,8456.5,7744.0,6698.5,3472.5,6706.0,7151.5,4224.0,1765.5,2887.5,3101.0,3470.0,4032.5,8034.5,7784.5,8006.5,3461.0,6824.0,6579.0,7797.0,6775.0,5708.5,3293.0,7921.0,3599.0,3555.5,2286.5,15366.0,4238.0,3608.0,7930.5,7205.0,5258.5,3694.0,3329.0,5783.0,7600.5,7741.0,5525.5,8153.5,9183.0,7630.0,3489.5,3451.0,2976.5,7437.5,5402.5,6092.5,7443.5,3512.5,3930.0,5366.5,8463.0,3391.5,6888.5,7770.0,2136.5,10475.0
HG02292,1665.5,9513.5,6774.0,11694.5,6481.0,9597.5,9649.5,6470.0,9238.0,9677.0,9771.5,6950.0,3544.5,6861.0,4856.0,8005.0,11540.5,9748.0,7943.0,10405.0,5859.5,5244.5,6578.5,10822.5,6894.0,13309.5,6421.5,9885.0,6452.0,7536.5,10049.5,6624.0,11386.0,6740.0,4162.0,9489.0,6467.5,8434.5,13466.5,6368.0,9513.5,6741.5,6631.0,9869.0,12696.5,6545.0,6445.5,10772.5,16157.5,9469.0,7745.5,7884.0,5695.0,7964.0,6585.5,11775.0,12352.0,11822.5,6589.5,10148.5,10696.0,8246.0,3028.0,0.0,10412.5,6862.0,5195.0,4456.5,7521.0,7676.5,16244.5,6501.5,9864.0,10402.5,6697.0,9098.0,6761.0,9803.0,6592.5,7012.0,1380.0,8216.0,10204.5,7632.0,8894.0,3197.5,6695.5,7532.0,7827.5,9851.0,9803.5,7800.0,12619.5,6246.5,15737.5,1890.0,4891.5,1448.0,6207.5,10189.0,6921.0,6972.5,6836.0,7272.5,19850.0,9313.5,9173.5,11899.0,7800.5,6508.0,7509.5,2326.0,9853.5,25087.0,9630.0,7258.5,5955.0,13164.0,11156.5,6260.5,5324.5,10649.5,6897.5,11306.5,6763.0,3607.5,9748.0,11458.0,9198.5,2296.5,7419.5,7643.5,1911.5,9703.5,6536.5,6678.0,7933.0,6145.5,7046.5,15607.0,10697.0,11020.0,6474.5,9918.0,9894.0,6761.5,5038.5,7273.0,1641.5,7407.0,2594.5,5150.0,8342.0,13259.5,9724.0,6166.5,13025.0,17316.5,6613.0,1707.5,6098.5,6808.0,9671.0,10670.0,5143.5,5942.0,4032.5,8065.0,1590.5,9722.0,6497.0,9763.0,8095.5,6543.0,14273.0,2025.5,9730.0,9856.5,5676.0,10695.0,7423.0,6109.5,10507.5,10417.0,9456.5,1907.5,10363.5,9699.0,16001.5,6596.0,7072.5,9162.0,7113.5,12056.5,11084.0,2210.0,7693.5,7602.0,10155.0,4332.5,2679.5,6522.5,7266.5,6573.5,3643.5,10939.0,6530.0,11114.5,16449.5,13973.5,17606.5,10431.5,10452.0,4793.0,6991.0,9107.5,6316.5,6289.0,1929.5,13823.5,6758.0,7076.0,10255.5,7958.0,7921.5,6417.0,6776.0,5193.5,9680.5,10718.0,8267.0,10074.5,6552.5,11159.0,7778.5,6451.5,7150.5,9839.5,4768.0,6873.0,10085.5,7598.0,1510.0,6816.0,12239.5,7536.0,2302.0,9579.0,2268.5,15861.5
